2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
600096.SS,600118.SS,600125.SS,600118.SS,600118.SS,600150.SS,600118.SS,600157.SS,600170.SS,600170.SS,600271.SS,600332.SS,600309.SS,600276.SS,600188.SS,600196.SS
600100.SS,600123.SS,600132.SS,600123.SS,600143.SS,600153.SS,600150.SS,600170.SS,600176.SS,600176.SS,600276.SS,600346.SS,600332.SS,600309.SS,600196.SS,600219.SS
600102.SS,600125.SS,600143.SS,600143.SS,600150.SS,600157.SS,600153.SS,600177.SS,600177.SS,600177.SS,600297.SS,600352.SS,600346.SS,600332.SS,600219.SS,600233.SS
600104.SS,600132.SS,600150.SS,600150.SS,600153.SS,600166.SS,600157.SS,600188.SS,600188.SS,600183.SS,600299.SS,600362.SS,600362.SS,600346.SS,600233.SS,600276.SS
600108.SS,600143.SS,600153.SS,600153.SS,600157.SS,600170.SS,600170.SS,600196.SS,600196.SS,600188.SS,600309.SS,600383.SS,600383.SS,600362.SS,600276.SS,600309.SS
600109.SS,600150.SS,600160.SS,600157.SS,600166.SS,600177.SS,600177.SS,600208.SS,600208.SS,600196.SS,600332.SS,600406.SS,600406.SS,600372.SS,600309.SS,600346.SS
600111.SS,600151.SS,600166.SS,600160.SS,600170.SS,600188.SS,600188.SS,600219.SS,600233.SS,600208.SS,600340.SS,600426.SS,600426.SS,600406.SS,600332.SS,600362.SS
600118.SS,600153.SS,600169.SS,600166.SS,600177.SS,600196.SS,600196.SS,600221.SS,600271.SS,600219.SS,600346.SS,600436.SS,600436.SS,600426.SS,600346.SS,600372.SS
600123.SS,600161.SS,600170.SS,600170.SS,600188.SS,600208.SS,600208.SS,600233.SS,600276.SS,600221.SS,600352.SS,600438.SS,600438.SS,600436.SS,600362.SS,600377.SS
600125.SS,600166.SS,600177.SS,600177.SS,600196.SS,600221.SS,600221.SS,600271.SS,600297.SS,600233.SS,600362.SS,600489.SS,600460.SS,600438.SS,600372.SS,600406.SS
600132.SS,600169.SS,600183.SS,600188.SS,600208.SS,600252.SS,600252.SS,600276.SS,600332.SS,600271.SS,600369.SS,600519.SS,600519.SS,600460.SS,600377.SS,600415.SS
600143.SS,600170.SS,600188.SS,600196.SS,600221.SS,600256.SS,600256.SS,600297.SS,600339.SS,600276.SS,600383.SS,600547.SS,600547.SS,600489.SS,600406.SS,600426.SS
600150.SS,600177.SS,600196.SS,600208.SS,600252.SS,600271.SS,600271.SS,600309.SS,600340.SS,600297.SS,600390.SS,600570.SS,600570.SS,600515.SS,600415.SS,600436.SS
600151.SS,600183.SS,600208.SS,600216.SS,600256.SS,600276.SS,600276.SS,600332.SS,600346.SS,600299.SS,600406.SS,600584.SS,600584.SS,600519.SS,600426.SS,600438.SS
600153.SS,600188.SS,600216.SS,600219.SS,600267.SS,600309.SS,600297.SS,600340.SS,600352.SS,600309.SS,600436.SS,600585.SS,600585.SS,600547.SS,600436.SS,600460.SS
600161.SS,600196.SS,600219.SS,600221.SS,600271.SS,600315.SS,600309.SS,600352.SS,600362.SS,600332.SS,600438.SS,600588.SS,600588.SS,600570.SS,600438.SS,600482.SS
600166.SS,600208.SS,600221.SS,600252.SS,600276.SS,600317.SS,600332.SS,600362.SS,600369.SS,600340.SS,600482.SS,600600.SS,600600.SS,600584.SS,600460.SS,600489.SS
600169.SS,600216.SS,600252.SS,600256.SS,600277.SS,600332.SS,600340.SS,600369.SS,600372.SS,600346.SS,600487.SS,600606.SS,600606.SS,600585.SS,600482.SS,600515.SS
600170.SS,600219.SS,600256.SS,600259.SS,600309.SS,600340.SS,600352.SS,600372.SS,600383.SS,600352.SS,600489.SS,600655.SS,600660.SS,600588.SS,600489.SS,600519.SS
600177.SS,600220.SS,600259.SS,600266.SS,600315.SS,600350.SS,600362.SS,600373.SS,600390.SS,600362.SS,600498.SS,600660.SS,600674.SS,600600.SS,600515.SS,600522.SS
600183.SS,600221.SS,600266.SS,600267.SS,600316.SS,600352.SS,600369.SS,600376.SS,600398.SS,600369.SS,600519.SS,600690.SS,600690.SS,600606.SS,600519.SS,600547.SS
600188.SS,600239.SS,600267.SS,600271.SS,600332.SS,600362.SS,600372.SS,600383.SS,600406.SS,600372.SS,600522.SS,600741.SS,600741.SS,600660.SS,600547.SS,600570.SS
600196.SS,600256.SS,600271.SS,600276.SS,600340.SS,600369.SS,600373.SS,600390.SS,600415.SS,600383.SS,600547.SS,600745.SS,600745.SS,600674.SS,600570.SS,600584.SS
600208.SS,600266.SS,600276.SS,600309.SS,600348.SS,600372.SS,600376.SS,600406.SS,600436.SS,600390.SS,600570.SS,600760.SS,600760.SS,600690.SS,600584.SS,600585.SS
600210.SS,600267.SS,600307.SS,600315.SS,600352.SS,600373.SS,600383.SS,600415.SS,600438.SS,600398.SS,600584.SS,600763.SS,600763.SS,600732.SS,600585.SS,600588.SS
600216.SS,600269.SS,600309.SS,600316.SS,600362.SS,600383.SS,600406.SS,600436.SS,600487.SS,600406.SS,600585.SS,600795.SS,600795.SS,600741.SS,600588.SS,600600.SS
600219.SS,600271.SS,600315.SS,600332.SS,600369.SS,600398.SS,600415.SS,600482.SS,600498.SS,600436.SS,600588.SS,600809.SS,600803.SS,600745.SS,600600.SS,600660.SS
600220.SS,600276.SS,600316.SS,600340.SS,600372.SS,600406.SS,600446.SS,600485.SS,600516.SS,600438.SS,600600.SS,600837.SS,600809.SS,600754.SS,600660.SS,600674.SS
