Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CNA.L,CNE.L,CPG.L,CPI.L,DGE.L,EMG.L,EXPN.L,FRES.L,GSK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,IMI.L,INVP.L,ITRK.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,NG.L,NXT.L,PRU.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SRP.L,SSE.L,STAN.L,SVT.L,TLW.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2010-01-04,2686.58935546875,819.366455078125,1162.182373046875,1020.4613037109376,385.0945129394531,2922.76025390625,358.6233215332031,258.0580444335937,2012.756103515625,463.0933837890625,669.8837890625,608.1585693359375,608.8226318359375,137.86936950683594,279.3588256835937,1682.5318603515625,3.36958384513855,6851.9365234375,1077.95751953125,309.1451110839844,616.6248168945312,797.001220703125,1336.1524658203125,1869.881103515625,720.3720703125,190.44517517089844,10.019203186035156,281.6588134765625,612.0687866210938,317.2282409667969,1255.8673095703125,1734.408203125,234.99777221679688,712.5587768554688,78.68218231201172,52.0163688659668,389.555419921875,652.3565063476562,2126.84619140625,527.5692749023438,888.4188842773438,3393.221923828125,510.2410278320313,3435.75927734375,168.25387573242188,321.5762023925781,228.3041534423828,238.40245056152344,1063.703857421875,639.2699584960938,429.9961853027344,1152.486572265625,1473.4078369140625,1072.073486328125,1137.793701171875,538.76416015625,2122.01220703125,492.5139465332031,147.6337890625,739.1575317382812,613.2149047851562,1198.3516845703125
2010-01-05,2730.727294921875,818.3695678710938,1171.0916748046875,1014.49365234375,393.489501953125,2889.468505859375,364.4844055175781,274.2010498046875,2000.8699951171875,466.2679443359375,660.4205932617188,614.6011352539062,601.3494262695312,140.6505584716797,279.16015625,1641.2657470703125,3.3607606887817383,6806.31787109375,1058.0506591796875,321.91070556640625,607.1537475585938,819.9150390625,1303.73388671875,1855.3651123046875,730.7833862304688,197.22186279296875,9.985965728759766,283.8467102050781,615.4818725585938,325.7530822753906,1240.9163818359375,1747.6480712890625,232.0155792236328,705.6766357421875,79.52345275878906,53.77811813354492,382.4709777832031,653.7943115234375,2088.068359375,529.2178955078125,880.961669921875,3358.793701171875,508.2498168945313,3508.05029296875,168.5278778076172,317.3109130859375,226.4452667236328,237.4600524902344,1032.8570556640625,634.287109375,424.3383483886719,1159.42333984375,1494.4044189453125,1071.0809326171875,1123.3265380859375,528.76611328125,2076.2978515625,490.7277221679688,147.42770385742188,743.1449584960938,602.779541015625,1196.6400146484375
2010-01-06,2777.775146484375,817.3726806640625,1151.2930908203125,1032.3963623046875,400.02978515625,2857.170166015625,368.9548645019531,282.3875732421875,2012.756103515625,454.2640075683594,657.4324340820312,613.9073486328125,594.408935546875,143.63046264648438,276.97540283203125,1642.2281494140625,3.410021543502808,6769.82275390625,1055.064697265625,317.6555480957031,603.165771484375,836.3532104492188,1292.2625732421875,1847.19970703125,734.1546020507812,199.2149658203125,9.952735900878906,283.0511169433594,627.99609375,325.5363464355469,1245.8995361328125,1771.92138671875,228.63577270507807,700.912109375,79.2760238647461,54.33550262451172,356.4942626953125,639.8938598632812,2089.062744140625,532.102783203125,868.0357055664062,3301.076171875,505.7608642578125,3598.1650390625,172.6382598876953,315.42633056640625,221.3755798339844,236.6225433349609,1016.9364624023438,628.8062744140625,426.3590698242188,1165.3687744140625,1478.4287109375,1075.0516357421875,1133.5386962890625,518.2021484375,2078.42431640625,492.7124328613281,146.80950927734375,773.548583984375,607.7487182617188,1194.07177734375
2010-01-07,2758.85888671875,835.8134155273438,1142.3834228515625,1017.4772338867188,393.391845703125,2892.44970703125,369.0540771484375,290.2062072753906,2025.1376953125,455.0577087402344,660.4205932617188,617.772705078125,597.8965454101562,141.8424835205078,272.9037170410156,1683.494384765625,3.356348991394043,6660.337890625,1062.0322265625,323.9888610839844,599.1780395507812,849.8026123046875,1290.2677001953125,1814.5379638671875,730.28759765625,198.0190887451172,10.008119583129885,286.8304748535156,637.6664428710938,332.3996276855469,1232.942626953125,1767.5079345703125,228.4369964599609,702.5003051757812,80.95853424072266,56.66459655761719,350.44873046875,625.5145263671875,2047.3009033203125,518.0892944335938,864.5554809570312,3311.2021484375,500.28509521484375,3602.126220703125,170.95986938476562,325.54376220703125,223.7414093017578,240.3917694091797,997.0355834960938,629.3046264648438,419.084716796875,1148.52294921875,1464.7353515625,1064.132568359375,1138.6448974609375,518.13916015625,2052.908447265625,485.3689270019531,142.99765014648438,802.9552612304688,611.7244262695312,1194.9281005859375
2010-01-08,2810.27197265625,847.276611328125,1137.43408203125,1018.4720458984376,400.8106689453125,2890.4619140625,366.0738525390625,294.8513488769531,2015.7276611328125,457.7362060546875,660.9188842773438,616.1868896484375,596.4017944335938,142.04116821289062,277.5712890625,1715.2562255859375,3.383553028106689,6628.40625,1062.0322265625,316.4679870605469,597.1839599609375,862.7537841796875,1277.7984619140625,1810.00146484375,733.7578735351562,198.5173797607422,10.20750904083252,288.0238952636719,642.2171630859375,334.20574951171875,1229.95263671875,1766.4046630859375,224.2618560791016,703.0296020507812,83.43280029296875,56.63473510742188,346.1036376953125,631.2662353515625,2028.409423828125,526.3325805664062,858.092529296875,3284.8740234375,503.7696838378906,3603.116455078125,171.78195190429688,326.83331298828125,225.600341796875,240.7058563232422,1005.990966796875,630.7991333007812,420.2970886230469,1160.414306640625,1482.536865234375,1076.0440673828125,1123.3265380859375,523.1068115234375,2058.2236328125,492.2161560058594,141.14320373535156,829.3716430664062,622.1598510742188,1207.76708984375
2010-01-11,2759.828857421875,850.765380859375,1122.584716796875,1014.49365234375,395.0512390136719,2936.673583984375,364.981201171875,291.5859069824219,2003.345947265625,469.640869140625,671.3780517578125,629.8646850585938,598.3946533203125,141.64385986328125,278.26641845703125,1755.07861328125,3.4217865467071533,6737.89013671875,1059.0460205078125,310.7284851074219,598.6792602539062,848.8064575195312,1284.781494140625,1814.5379638671875,723.8424072265625,197.32147216796875,10.262898445129396,288.322265625,640.5106811523438,328.570556640625,1225.965576171875,1776.3345947265625,229.43101501464844,723.1466064453125,81.7008285522461,55.86833190917969,354.2271728515625,628.390380859375,2040.3411865234373,516.440673828125,867.5382690429688,3284.8740234375,501.7784423828125,3587.7666015625,170.7886199951172,325.3454284667969,222.8965301513672,240.81057739257807,1015.9415283203124,639.2699584960938,420.2970886230469,1164.3782958984375,1451.49853515625,1082.99267578125,1131.836669921875,525.496337890625,2051.8466796875,490.7277221679688,142.01893615722656,795.4791870117188,612.2208251953125,1200.9193115234375
2010-01-12,2688.044921875,852.7589111328125,1126.54443359375,995.5960693359376,399.73681640625,2910.3388671875,363.8883361816406,291.2178649902344,2005.8221435546875,469.8393859863281,655.9384155273438,628.1796875,583.9456787109375,143.33245849609375,277.8691711425781,1711.887451171875,3.3607606887817383,6728.76708984375,1051.083251953125,308.8482666015625,596.1870727539062,804.97119140625,1286.7769775390625,1816.3526611328125,722.256103515625,190.74411010742188,10.08565902709961,282.9516906738281,627.99609375,323.15234375,1219.9853515625,1769.71435546875,230.1268615722656,734.2640380859375,82.0472183227539,55.70907974243164,351.8656921386719,620.2418823242188,2038.352783203125,518.9137573242188,875.9898681640625,3256.521484375,500.28509521484375,3522.904296875,169.55548095703125,326.83331298828125,220.5306396484375,240.7058563232422,1000.020751953125,646.2454223632812,425.5506896972656,1161.4053955078125,1414.98291015625,1081.007568359375,1104.6043701171875,529.457763671875,2050.781494140625,489.2390747070313,141.91583251953125,791.990234375,606.2578125,1171.81689453125
2010-01-13,2668.642333984375,856.7459716796875,1151.2930908203125,994.601318359375,399.2487487792969,2943.630859375,364.0870971679688,288.5504150390625,2003.8411865234373,462.3630981445313,661.914794921875,621.04345703125,583.447265625,145.91502380371094,279.9547119140625,1715.7374267578125,3.3489973545074463,6683.14794921875,1054.0693359375,308.7492980957031,593.1961059570312,792.5181884765625,1271.814208984375,1814.0843505859373,711.6461181640625,191.9400177001953,10.12442684173584,279.47076416015625,634.822265625,322.9354858398437,1210.0179443359375,1785.1612548828125,229.33157348632807,734.7930297851562,82.0967025756836,55.73893737792969,347.99267578125,623.5971069335938,2013.494384765625,514.3796997070312,878.4757690429688,3280.82373046875,503.7696838378906,3504.0888671875,169.62393188476562,327.82525634765625,226.4452667236328,241.33399963378903,1005.990966796875,639.7681274414062,427.9755859375,1161.4053955078125,1411.3311767578125,1079.022216796875,1101.200439453125,529.457763671875,2052.908447265625,487.4528198242188,142.07041931152344,788.5013427734375,605.26416015625,1178.6641845703125
2010-01-14,2666.702392578125,866.2156982421875,1158.2222900390625,1025.433837890625,404.8128967285156,3001.27099609375,366.0738525390625,293.1036071777344,2002.8505859375,452.2427673339844,643.9849243164062,622.8275146484375,578.9632568359375,145.7163543701172,283.13262939453125,1723.3167724609375,3.394580602645874,6765.2607421875,1066.0135498046875,311.124267578125,596.685546875,801.484375,1279.7938232421875,1793.2169189453125,708.5723266601562,191.3420562744141,10.163198471069336,280.2662658691406,638.8040771484375,327.5592041015625,1210.0179443359375,1781.8511962890625,225.5541229248047,724.2054443359375,83.92766571044922,57.23194122314453,336.56298828125,623.1177368164062,1996.591064453125,511.4945373535156,882.4530029296875,3278.79931640625,504.2674255371094,3582.320556640625,170.24050903320312,327.0317077636719,229.8250274658203,244.4750213623047,1019.92138671875,648.2386474609375,429.1880187988281,1157.441650390625,1429.5889892578125,1088.9490966796875,1119.071533203125,527.3829956054688,2067.79345703125,489.2390747070313,140.93716430664062,819.9015502929688,605.26416015625,1182.0885009765625
2010-01-15,2640.996826171875,862.7269897460938,1136.4439697265625,1019.4664916992188,409.7913513183594,2981.8916015625,365.5771179199219,286.2508239746094,2027.6136474609373,450.9528503417969,638.0083618164062,623.4221801757812,587.9315185546875,144.02774047851562,283.13262939453125,1701.4205322265625,3.382082462310791,6614.72021484375,1059.0460205078125,289.650390625,601.670166015625,794.012451171875,1246.876953125,1795.938720703125,696.5744018554688,191.84036254882807,10.185358047485352,278.8739624023437,634.822265625,321.4183959960937,1230.94921875,1779.644287109375,224.2618560791016,726.8519897460938,83.03691864013672,56.51529693603516,330.23419189453125,616.886474609375,1949.85791015625,502.8392333984375,889.9102783203125,3292.974609375,507.2542114257813,3548.15576171875,167.15769958496094,328.0235595703125,227.29019165039065,244.99856567382807,1035.8424072265625,632.79248046875,425.9549560546875,1158.4324951171875,1416.3521728515625,1081.007568359375,1139.4959716796875,531.6586303710938,2052.908447265625,484.4757995605469,138.7736358642578,802.4569091796875,597.3131103515625,1187.22412109375
