Date,AAL.L,ABF.L,ADM.L,ANTO.L,ASHM.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CNA.L,CNE.L,CPG.L,CPI.L,DGE.L,EMG.L,EXPN.L,FRES.L,GSK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,IMI.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,NG.L,NXT.L,PRU.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SRP.L,SSE.L,STAN.L,SVT.L,TATE.L,TLW.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2011-01-04,3305.2548828125,1160.527587890625,1533.0806884765625,1613.5155029296875,342.0206604003906,397.4643249511719,2972.93212890625,340.1983642578125,250.9199676513672,2465.5615234375,527.0722045898438,728.8680419921875,488.6012268066406,1138.201416015625,183.8410186767578,329.9438171386719,2045.506591796875,4.30214786529541,6497.6337890625,1191.856201171875,302.89508056640625,797.7648315429688,1676.010498046875,1267.1573486328125,1946.880126953125,662.6826171875,284.9202880859375,14.294215202331545,1061.221923828125,1793.4073486328125,73.41595458984375,2263.477783203125,265.4847412109375,720.818115234375,99.21247863769533,67.52374267578125,353.81011962890625,614.6787109375,2004.2630615234373,558.7163696289062,1011.5740356445312,3663.769287109375,539.3178100585938,4459.0556640625,222.1571044921875,380.95257568359375,319.9777526855469,287.911376953125,1292.92724609375,676.741943359375,460.7629089355469,1228.528564453125,1658.6854248046875,1475.876220703125,616.8367309570312,1113.1715087890625,544.8406982421875,2097.3408203125,593.2863159179688,175.26695251464844,1769.76611328125,793.2959594726562,1563.4044189453125
2011-01-05,3248.502197265625,1146.5693359375,1549.9163818359375,1577.703857421875,339.9389038085937,402.5438232421875,2991.824462890625,339.7014465332031,258.5096435546875,2462.588134765625,525.086669921875,742.8177490234375,494.8958435058594,1116.2740478515625,184.93414306640625,333.5204772949219,2095.7958984375,4.340019226074219,6456.56689453125,1198.8262939453125,307.550537109375,792.7786865234375,1661.0638427734375,1249.688720703125,1956.41064453125,683.412841796875,286.6145324707031,14.73525619506836,1049.27197265625,1795.4014892578125,71.48005676269531,2263.477783203125,263.69488525390625,723.4662475585938,102.38093566894533,68.21052551269531,354.3769836425781,626.582763671875,2091.7939453125,562.42724609375,1003.616455078125,3622.2392578125,535.3338623046875,4433.7978515625,224.04119873046875,383.03656005859375,318.7947082519531,289.796630859375,1294.91748046875,671.260009765625,460.3587341308594,1231.503173828125,1676.69384765625,1455.019775390625,622.0492553710938,1145.5111083984375,549.306396484375,2079.260009765625,590.8037719726562,180.78436279296875,1738.8575439453125,775.8992919921875,1568.5411376953125
2011-01-06,3210.666259765625,1135.6024169921875,1551.8968505859375,1528.9600830078125,339.0465393066406,406.45111083984375,3008.72705078125,348.7456359863281,255.74969482421875,2458.624755859375,524.0941162109375,742.3194580078125,492.5662231445313,1117.270751953125,184.238525390625,332.82489013671875,2053.0859375,4.34380578994751,6337.92919921875,1222.7235107421875,299.4283447265625,782.30810546875,1572.380859375,1247.193603515625,1945.97265625,681.7267456054688,299.1713256835937,14.814419746398926,1041.3060302734375,1766.4915771484375,72.52249145507812,2267.891357421875,259.0215148925781,722.4067993164062,103.47010803222656,66.93648529052734,366.8511047363281,627.1237182617188,2062.947998046875,568.1998901367188,1007.5950317382812,3563.48974609375,528.8601684570312,4394.67529296875,225.75408935546875,384.3264465332031,320.8230285644531,292.1006164550781,1284.96435546875,660.296630859375,454.2961730957031,1209.68896484375,1667.68994140625,1453.0328369140625,622.628662109375,1124.235107421875,540.8779907226562,2050.545166015625,592.7899169921875,181.19680786132807,1746.833984375,788.3255615234375,1589.09033203125
2011-01-07,3183.017578125,1146.5693359375,1533.0806884765625,1503.0960693359375,341.52508544921875,400.1017456054688,2971.938232421875,344.670654296875,253.08184814453125,2404.6162109375,524.5903930664062,749.29443359375,488.2046508789063,1123.250732421875,183.8410186767578,334.0171813964844,2069.6884765625,4.286999702453613,6274.0478515625,1215.7530517578125,307.2533569335937,773.3333740234375,1550.459228515625,1236.214111328125,1963.671630859375,674.4862670898438,303.9548645019531,15.02928352355957,1047.5654296875,1760.51025390625,71.9764633178711,2255.752197265625,262.1040344238281,726.6441040039062,102.38093566894533,66.12031555175781,367.0401306152344,623.8772583007812,2075.878173828125,561.6026611328125,991.1832885742188,3535.1279296875,527.8640747070312,4384.2744140625,225.9254150390625,388.4943237304688,321.1611633300781,293.7764587402344,1287.9503173828125,647.8381958007812,447.8292846679688,1218.613037109375,1642.5721435546875,1459.9854736328125,623.2080078125,1132.74560546875,540.5006713867188,2027.146240234375,595.2723388671875,180.21710205078125,1749.8253173828125,789.8167114257812,1615.632080078125
2011-01-10,3130.14453125,1137.596435546875,1528.1287841796875,1497.12744140625,337.0639038085937,396.5851745605469,2949.069091796875,338.3099365234375,254.5537872314453,2396.688232421875,521.6126708984375,754.2763061523438,482.1083679199219,1115.277587890625,186.12661743164065,331.6327819824219,2044.6640625,4.29457426071167,6164.5380859375,1201.8134765625,302.3008728027344,771.83740234375,1515.5838623046875,1231.7218017578125,1946.4261474609373,666.9478759765625,296.779541015625,14.916194915771484,1041.3060302734375,1858.2052001953125,71.48005676269531,2216.02197265625,260.7119445800781,723.9957885742188,101.48978424072266,64.88610076904297,362.8820495605469,611.4320678710938,2053.9970703125,554.1805419921875,977.7551879882812,3533.1015625,535.3338623046875,4347.13330078125,223.6986846923828,386.3113098144531,318.963623046875,289.796630859375,1267.048583984375,709.6320190429688,444.5958251953125,1208.697509765625,1625.51171875,1451.04638671875,627.8413696289062,1148.91552734375,540.5006713867188,2017.5738525390625,587.8253173828125,182.33126831054688,1745.837158203125,772.9170532226562,1599.364013671875
2011-01-11,3185.4423828125,1132.6112060546875,1521.1964111328125,1523.9862060546875,340.93017578125,399.0273742675781,2982.875,337.9123840332031,268.6291198730469,2408.085205078125,521.6126708984375,767.7277221679688,495.6392517089844,1138.201416015625,189.60472106933597,330.9372253417969,2157.8759765625,4.362740993499756,6274.0478515625,1230.689208984375,305.7676696777344,784.3023681640625,1553.4488525390625,1222.239990234375,1954.1412353515625,683.11572265625,299.4703369140625,14.995360374450684,1056.6695556640625,1869.171142578125,72.72102355957031,2240.30224609375,261.50738525390625,732.9995727539062,104.95529174804688,65.8714828491211,352.67596435546875,596.82275390625,2039.076171875,568.1998901367188,982.2310791015624,3522.97216796875,544.79541015625,4403.58935546875,227.80953979492188,387.4027404785156,324.20361328125,295.4522705078125,1287.9503173828125,667.7718505859375,455.9127502441406,1200.7652587890625,1613.190185546875,1451.04638671875,632.4749145507812,1165.0855712890625,535.0912475585938,2023.9554443359373,584.3497924804688,179.13424682617188,1795.6895751953125,774.4083251953125,1606.2139892578125
2011-01-12,3295.06787109375,1127.626220703125,1510.302734375,1562.7823486328125,339.54229736328125,411.530517578125,2996.794921875,343.47802734375,278.38067626953125,2389.25634765625,528.62646484375,767.2296752929688,499.5053405761719,1114.2808837890625,187.12034606933597,325.27423095703125,2131.768310546875,4.298361301422119,6269.48583984375,1206.7919921875,299.6265869140625,778.3192749023438,1527.541259765625,1226.731689453125,1972.747802734375,709.202392578125,302.04541015625,14.995360374450684,1036.1849365234375,1831.2890625,72.1253433227539,2256.85595703125,260.3142395019531,748.8882446289062,107.92571258544922,67.39435577392578,352.1090393066406,583.2957153320312,2042.06005859375,575.2096557617188,979.2470703125,3500.688232421875,540.3136596679688,4499.1669921875,227.63821411132807,379.0672302246094,324.8797607421875,295.55682373046875,1278.9925537109375,678.2369384765625,456.72119140625,1204.731689453125,1653.47216796875,1437.1422119140625,627.8413696289062,1174.4468994140625,533.015380859375,2021.828125,575.90966796875,176.34974670410156,1796.6866455078125,770.4315795898438,1613.063232421875
2011-01-13,3308.164794921875,1122.6409912109375,1553.8782958984375,1530.9498291015625,355.4040832519531,419.1496887207031,2977.903564453125,340.4965515136719,281.5087585449219,2304.03125,523.1663818359375,765.2369384765625,499.3070983886719,1076.4071044921875,184.3379364013672,327.06268310546875,2154.98828125,4.245341300964356,6232.98193359375,1218.7403564453125,302.5980224609375,773.3333740234375,1552.4522705078125,1223.2388916015625,1972.2939453125,707.2184448242188,298.47369384765625,14.961433410644531,1079.9993896484375,1818.330078125,73.86272430419922,2208.29736328125,260.01593017578125,745.7103881835938,109.2129364013672,68.21052551269531,359.1020812988281,573.5559692382812,2082.84130859375,572.3231811523438,1004.6109008789062,3469.286865234375,541.3096923828125,4460.541015625,227.29563903808597,378.5711364746094,320.3158874511719,298.3847351074219,1277.001953125,682.2235717773438,448.6376647949219,1202.748291015625,1634.989990234375,1409.3326416015625,627.8413696289062,1175.2979736328125,510.1827392578125,2017.5738525390625,560.5192260742188,177.27798461914062,1749.8253173828125,769.9347534179688,1589.09033203125
2011-01-14,3201.450439453125,1116.658935546875,1557.8394775390625,1494.143310546875,358.5765686035156,419.6379699707031,2972.93212890625,344.5713806152344,286.10845947265625,2345.157470703125,523.6626586914062,762.24755859375,495.1436462402344,1051.490478515625,180.85986328125,325.07568359375,2148.371337890625,4.264277458190918,6365.30810546875,1219.736083984375,305.3713684082031,772.834716796875,1486.6868896484375,1222.7391357421875,1979.1014404296875,703.9453735351562,293.6901550292969,15.063201904296877,1072.033203125,1805.3704833984373,76.8410415649414,2186.22509765625,261.01025390625,741.4736328125,108.9158935546875,69.2854995727539,356.8340759277344,574.6381225585938,2104.72412109375,574.7973022460938,991.6804809570312,3451.054443359375,545.7913818359375,4393.6845703125,224.2125396728516,376.7849426269531,318.7947082519531,299.1177978515625,1276.0064697265625,682.7218017578125,451.8710632324219,1188.866943359375,1620.7725830078125,1414.2984619140625,630.7372436523438,1181.255615234375,510.1827392578125,2014.38427734375,556.547119140625,177.32943725585938,1733.872314453125,769.4375610351562,1566.8289794921875
2011-01-17,3191.263427734375,1108.682861328125,1555.859130859375,1481.21142578125,352.9256896972656,418.7589721679688,2961.497802734375,347.2547607421875,282.0605773925781,2331.779052734375,516.7134399414062,763.7422485351562,496.333251953125,1055.47705078125,182.0523376464844,326.66522216796875,2119.97802734375,4.29457426071167,6547.8251953125,1229.693359375,300.9141540527344,773.3333740234375,1433.876220703125,1202.7757568359375,1975.9244384765625,697.795654296875,295.9822692871094,14.961433410644531,1073.7398681640625,1837.270751953125,77.18853759765625,2185.122314453125,262.6011962890625,734.058837890625,107.03460693359376,67.78252410888672,360.0470886230469,575.7203979492188,2088.809326171875,569.0244750976562,995.6590576171876,3481.441650390625,551.2693481445312,4342.6748046875,224.04119873046875,377.5787353515625,311.1882019042969,296.4994506835937,1374.54345703125,706.64208984375,457.5295104980469,1190.849609375,1611.2943115234375,1406.3531494140625,627.8413696289062,1161.68115234375,516.4097290039062,2000.5572509765625,559.029541015625,180.4749755859375,1685.016845703125,773.4139404296875,1556.5546875
