Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TLW.L,TPK.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2014-01-02,1254.4151611328125,2482.02099609375,1294.921875,818.9564208984375,434.8726501464844,3543.85302734375,428.5715942382813,1199.9139404296875,270.1302795410156,3182.54345703125,613.8868408203125,1445.957275390625,485.3005676269531,1511.8162841796875,378.1324462890625,1754.67626953125,342.03277587890625,8.003449440002441,9535.564453125,1977.291015625,1097.6170654296875,1546.9581298828125,743.5762939453125,308.87371826171875,1599.613525390625,2280.7001953125,655.19970703125,404.70849609375,26.177318572998047,382.9552001953125,3108.586669921875,192.7566375732422,3434.163330078125,384.3966064453125,1005.3853149414062,220.8256072998047,78.75114440917969,404.3173522949219,1143.190673828125,854.08544921875,5505.20556640625,1109.63916015625,1247.12744140625,1335.364501953125,4782.94580078125,899.3522338867188,3340.915771484375,433.9422302246094,365.0882873535156,440.6689147949219,392.9192810058594,1465.872802734375,854.1574096679688,1329.9404296875,1278.452392578125,716.4679565429688,1685.3031005859375,727.8524780273438,1765.3089599609375,415.7105102539063,112.0173568725586,2593.76953125,666.2677612304688,245.4117431640625,2096.91455078125,1364.1009521484375,3202.041748046875
2014-01-03,1259.2696533203125,2517.933837890625,1295.914306640625,817.960205078125,433.6002502441406,3571.24365234375,430.2639770507813,1208.7113037109375,271.9242858886719,3175.1015625,618.3606567382812,1442.9659423828125,484.3574523925781,1508.8245849609375,379.82366943359375,1717.829833984375,343.1271057128906,8.03256607055664,9489.89453125,1979.7825927734373,1105.5994873046875,1559.9158935546875,769.5093383789062,305.8893737792969,1604.6138916015625,2267.07080078125,651.9224243164062,406.4026184082031,26.047016143798828,384.1501159667969,3116.564697265625,193.551513671875,3447.874755859375,388.576904296875,1017.0510864257812,220.7264404296875,79.38819122314453,420.1191711425781,1122.405517578125,856.7951049804688,6057.7138671875,1105.5108642578125,1250.1060791015625,1312.4610595703125,4851.89794921875,896.8596801757812,3340.915771484375,435.656005859375,371.6468505859375,445.9129943847656,399.4995727539063,1457.90087890625,856.6505126953125,1341.859619140625,1270.38818359375,716.9656372070312,1701.2208251953125,728.2782592773438,1782.2830810546875,416.2772216796875,113.3071517944336,2603.3525390625,671.239990234375,243.85983276367188,2103.897216796875,1375.0458984375,3208.04052734375
2014-01-06,1237.90966796875,2529.90576171875,1310.7984619140625,784.0860595703125,433.6002502441406,3584.192138671875,429.6665954589844,1214.8692626953125,276.5585021972656,3180.55810546875,616.8695068359375,1440.9716796875,485.39990234375,1500.846923828125,383.3055725097656,1746.70947265625,340.7395324707031,8.007608413696289,9517.294921875,1970.31494140625,1117.5736083984375,1591.8118896484375,733.6022338867188,304.6956787109375,1617.114990234375,2271.61376953125,655.4976806640625,412.5813293457031,25.91671371459961,387.33642578125,3105.594482421875,196.43292236328125,3448.929931640625,389.6717834472656,1019.7023315429688,223.99864196777344,79.7365493774414,416.6180725097656,1112.559814453125,851.3756713867188,6142.33544921875,1104.6854248046875,1280.88720703125,1312.4610595703125,4821.47705078125,900.8477172851562,3237.814208984375,441.8257751464844,365.4857177734375,443.8829650878906,394.3150024414063,1464.8760986328125,865.12744140625,1350.7984619140625,1265.1697998046875,720.9486694335938,1695.2518310546875,721.042236328125,1787.941162109375,418.41839599609375,115.09309387207033,2599.093994140625,668.7539672851562,243.9115753173828,2086.9384765625,1354.151611328125,3246.597900390625
2014-01-07,1239.365966796875,2526.912841796875,1321.713623046875,777.6101684570312,444.5626220703125,3548.335205078125,424.4898681640625,1206.0718994140625,279.99676513671875,3160.71435546875,622.3372192382812,1426.0135498046875,490.4131774902344,1475.9158935546875,382.0121765136719,1792.51806640625,335.66571044921875,7.995129108428955,9471.626953125,1958.355224609375,1099.612548828125,1599.7860107421875,703.6796264648438,307.2323913574219,1616.6146240234375,2276.157470703125,671.1898193359375,426.7327270507813,26.086111068725582,386.5398254394531,3077.669921875,196.63162231445312,3494.282470703125,384.3966064453125,1035.6102294921875,226.9734039306641,82.1253662109375,417.3750915527344,1108.18408203125,848.6663208007812,6102.51171875,1113.76708984375,1284.8592529296875,1303.4990234375,4775.85009765625,898.3551025390625,3187.25390625,441.8257751464844,366.578857421875,440.6689147949219,392.4207153320313,1474.841552734375,862.634033203125,1348.8118896484375,1265.1697998046875,725.9277954101562,1658.44189453125,717.6370849609375,1775.6822509765625,417.8516540527344,115.4899673461914,2601.22412109375,662.2901000976562,246.13601684570312,2086.9384765625,1360.1212158203125,3286.870361328125
2014-01-08,1225.7735595703125,2511.948486328125,1327.6669921875,769.6398315429688,450.4352416992188,3535.38623046875,424.5895080566406,1206.9517822265625,282.7373962402344,3129.955078125,620.4158935546875,1422.0242919921875,489.27154541015625,1445.998291015625,377.1376647949219,1772.6011962890625,328.4032897949219,7.895294189453125,9444.2265625,1931.9449462890625,1098.6146240234375,1620.7177734375,690.2144775390625,313.15118408203125,1599.113525390625,2282.97216796875,669.8988037109375,432.6125183105469,25.82550621032715,378.6736145019531,3063.707275390625,195.43931579589844,3489.008056640625,386.0885620117188,1037.7313232421875,225.18858337402344,83.40933990478516,420.9706726074219,1097.2445068359375,838.9114379882812,6142.33544921875,1122.0234375,1279.8944091796875,1293.540771484375,4748.47314453125,900.3493041992188,3162.469970703125,440.7974853515625,357.73486328125,442.6988220214844,396.3089904785156,1486.799560546875,866.1245727539062,1336.893310546875,1244.771240234375,728.9150390625,1628.5960693359375,698.0574340820312,1761.537109375,413.5062561035156,114.89468383789062,2565.021728515625,655.8262329101562,244.17019653320312,2069.97998046875,1338.231689453125,3288.58349609375
2014-01-09,1190.82080078125,2543.871826171875,1313.775390625,765.6544799804688,453.8609619140625,3558.29541015625,427.9741821289063,1215.7490234375,283.43505859375,3087.28955078125,629.3641967773438,1412.0521240234375,491.7036437988281,1417.0784912109375,382.0121765136719,1761.647216796875,328.5026550292969,7.849536895751953,9334.623046875,1932.4434814453125,1098.6146240234375,1640.6529541015625,672.7597045898438,308.028076171875,1597.613525390625,2294.330322265625,663.54248046875,427.1313171386719,25.61701774597168,375.4872741699219,3039.772705078125,198.02267456054688,3506.939697265625,382.2068786621094,1037.201416015625,225.4860076904297,84.86253356933594,436.1100769042969,1072.630126953125,839.9953002929688,6022.8720703125,1125.3255615234375,1265.0006103515625,1299.515869140625,4711.96728515625,900.8477172851562,3088.1171875,427.7724304199219,349.1890563964844,442.19134521484375,395.1126098632813,1475.837646484375,868.1189575195312,1337.88671875,1217.73193359375,722.9404296875,1634.5653076171875,719.3395385742188,1753.9927978515625,408.5310363769531,113.3071517944336,2523.49560546875,654.8319702148438,243.85983276367188,2062.99658203125,1328.2822265625,3327.99853515625
2014-01-10,1213.1517333984375,2584.7744140625,1325.6824951171875,779.1046752929688,459.929443359375,3637.479248046875,432.0558166503906,1223.666259765625,282.6377868652344,3060.50048828125,634.8325805664062,1418.0357666015625,493.3914184570313,1468.93505859375,381.3158874511719,1788.5347900390625,328.8012084960937,7.928572177886963,9526.4296875,1971.3114013671875,1104.601806640625,1643.6431884765625,677.2479248046875,317.0805358886719,1598.113525390625,2307.95947265625,670.9912719726562,426.4336853027344,25.799448013305664,387.5355529785156,3043.762451171875,198.2213592529297,3491.118408203125,387.4819946289063,1047.806396484375,226.3784637451172,82.65288543701172,443.5853271484375,1096.1502685546875,847.0404052734375,6132.380859375,1136.0592041015625,1344.4351806640625,1315.4486083984375,4743.40234375,904.8359985351562,3112.9013671875,424.6875,343.8229675292969,444.728759765625,399.6988830566406,1484.8065185546875,878.091796875,1354.7716064453125,1220.578125,743.3538208007812,1663.4161376953125,774.2479248046875,1776.6253662109375,405.3191223144531,119.06182098388672,2542.66162109375,655.8262329101562,242.77345275878903,2084.943603515625,1357.13671875,3324.5712890625
2014-01-13,1235.9681396484375,2653.607666015625,1324.6905517578125,781.0971069335938,466.09576416015625,3648.932861328125,427.7750549316406,1224.5458984375,290.710205078125,3018.826171875,641.7923583984375,1413.0494384765625,492.2002258300781,1456.9681396484375,382.7086486816406,1790.5267333984375,324.5232849121094,7.974331855773926,9471.626953125,1989.250732421875,1128.5496826171875,1685.5064697265625,701.6848754882812,317.27947998046875,1591.113037109375,2303.416259765625,672.3817749023438,429.0247802734375,25.96884155273437,392.3150329589844,3060.7158203125,201.500244140625,3560.729248046875,383.20208740234375,1055.7607421875,226.18011474609372,83.63826751708984,448.8840942382813,1120.2176513671875,842.1629638671875,6167.2236328125,1131.1051025390625,1336.4918212890625,1312.4610595703125,4713.99755859375,904.3375244140624,3149.582275390625,426.74407958984375,348.9902648925781,438.1313781738281,400.4964904785156,1499.754638671875,872.1080322265625,1334.90673828125,1225.79638671875,750.3245239257812,1646.5032958984375,747.43212890625,1772.8531494140625,411.302001953125,118.56571197509766,2557.568359375,655.8262329101562,241.84225463867188,2097.91162109375,1352.1612548828125,3333.996337890625
2014-01-14,1225.7735595703125,2656.600341796875,1326.6749267578125,786.07861328125,463.8446044921875,3740.5673828125,426.2818908691406,1234.2225341796875,290.7601318359375,3030.236572265625,642.2894287109375,1422.0242919921875,487.4846801757813,1464.9459228515625,382.8081359863281,1769.61376953125,325.3192138671875,7.978489875793457,9517.294921875,1996.7252197265625,1133.5390625,1689.49365234375,708.1680297851562,315.737548828125,1591.6131591796875,2298.87255859375,668.309814453125,432.3134765625,26.216405868530277,397.3932495117188,2984.9208984375,205.9713897705078,3571.277587890625,385.09320068359375,1049.3973388671875,227.4691925048828,84.93220520019531,450.0194091796875,1118.0299072265625,845.95654296875,6172.2001953125,1114.5927734375,1326.5625,1309.4737548828125,4780.9189453125,915.8037719726562,3140.65966796875,425.3730773925781,358.2318115234375,430.85748291015625,392.4207153320313,1510.716064453125,864.62890625,1339.873046875,1247.617919921875,750.3245239257812,1643.5191650390625,729.12939453125,1764.3658447265625,417.1589050292969,118.86338806152344,2569.281005859375,661.295654296875,244.06674194335935,2091.9267578125,1357.13671875,3354.560791015625
2014-01-15,1293.7373046875,2689.52099609375,1326.6749267578125,787.074951171875,466.48724365234375,3829.711669921875,434.6442565917969,1230.703857421875,295.4940795898437,3060.003662109375,653.2266235351562,1426.0135498046875,489.27154541015625,1532.75830078125,384.0019226074219,1739.738525390625,313.87823486328125,8.03256607055664,9581.232421875,1974.7996826171875,1147.5089111328125,1679.5260009765625,694.2041015625,317.7768249511719,1619.11474609375,2287.515380859375,676.3544311523438,437.794677734375,26.320650100708008,402.3718872070313,2970.958740234375,208.2566680908203,3605.028076171875,388.6765441894531,1066.8961181640625,229.84898376464844,85.8976821899414,454.3722229003906,1141.0029296875,848.6663208007812,6197.587890625,1136.8846435546875,1323.5836181640625,1305.490234375,4756.5830078125,924.77734375,3225.91748046875,427.0868225097656,353.9588623046875,438.4698791503906,399.300048828125,1509.7197265625,869.1163940429688,1311.0693359375,1267.5418701171875,771.2360229492188,1632.5753173828125,734.6629028320312,1778.510986328125,418.4813537597656,116.87903594970705,2561.8271484375,655.3289794921875,246.7049865722656,2128.8369140625,1376.0406494140625,3406.82861328125
