Date,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PRU.L,PSH.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2021-01-04,2504.519775390625,2222.575439453125,2988.470947265625,1499.512939453125,604.7991943359375,320.7372131347656,7412.79443359375,493.1265563964844,143.25936889648438,2742.176025390625,4861.0693359375,474.3445739746094,521.1692504882812,2526.513427734375,253.8078155517578,1817.0748291015625,135.4886932373047,2378.6572265625,12.506627082824709,580.64990234375,5331.2216796875,2943.570068359375,2906.4423828125,1246.9482421875,244.75099182128903,1382.5667724609375,2568.840576171875,2528.8828125,379.101806640625,149.76513671875,59.117454528808594,1169.6214599609375,540.5223999023438,5861.330078125,106.4172134399414,162.8124237060547,275.0033569335937,662.6423950195312,259.5607604980469,34.74734878540039,1920.9273681640625,413.178466796875,880.2625122070312,6899.9853515625,2360.0,1341.2325439453125,2602.98046875,2709.978515625,680.8629150390625,7050.02392578125,1835.824951171875,5728.40673828125,650.835693359375,103.18264770507812,528.2890625,225.30323791503903,579.0490112304688,587.6220092773438,975.1978759765624,3573.015625,1542.9688720703125,1219.7027587890625,1564.7698974609375,11673.4794921875,1532.9031982421875,462.5689697265625,1140.790283203125,2330.601318359375,298.9045104980469,157.16868591308594,4761.14453125,909.7367553710938,123.17599487304688,794.9666137695312,3013.8310546875
2021-01-05,2519.126220703125,2198.612548828125,3018.365478515625,1503.5064697265625,600.2021484375,322.3085632324219,7429.7734375,500.01568603515625,142.9399871826172,2777.0322265625,4884.88232421875,467.2662963867188,531.3258056640625,2518.52490234375,271.7588195800781,1792.6075439453125,135.08958435058594,2387.640625,12.71180248260498,569.39990234375,5375.1337890625,2941.073486328125,2847.494873046875,1237.963134765625,253.4279937744141,1381.9642333984375,2614.76611328125,2519.886474609375,377.3575439453125,149.36537170410156,59.91513442993164,1163.1319580078125,536.5260009765625,5793.4306640625,105.27082061767578,165.65122985839844,283.6813659667969,664.6358642578125,257.1711730957031,35.12140655517578,1908.314697265625,412.13128662109375,866.4990844726562,7455.01806640625,2396.0,1336.8717041015625,2573.004150390625,2714.960205078125,670.8765869140625,6971.04296875,1814.8499755859373,5743.34228515625,639.6453857421875,107.7318878173828,524.6924438476562,224.9044952392578,578.7099609375,581.6297607421875,974.7986450195312,3453.31640625,1539.972900390625,1220.70263671875,1570.2623291015625,11473.673828125,1513.947509765625,465.2641296386719,1152.7672119140625,2310.647705078125,300.41796875,160.6049041748047,4734.46240234375,897.7666625976562,123.95307159423828,775.0175170898438,3043.78955078125
2021-01-06,2684.1787109375,2258.520263671875,3008.40087890625,1581.377197265625,609.396240234375,341.3602905273437,7502.6826171875,504.2090759277344,154.75845336914062,2801.430908203125,4942.86376953125,487.3047180175781,527.7410888671875,2497.553955078125,289.0118713378906,1832.0546875,140.72665405273438,2412.59521484375,12.825788497924805,577.0499267578125,5588.7021484375,2942.072509765625,2876.468994140625,1244.9515380859375,273.2255249023437,1415.1214599609375,2665.683837890625,2568.865234375,414.7843322753906,158.01046752929688,60.953399658203125,1200.0726318359375,571.0953979492188,5865.32470703125,109.85648345947266,170.8890838623047,284.3796081542969,690.8504638671875,272.6034240722656,37.06650161743164,2000.9886474609373,423.3013916015625,880.0629272460938,7668.646484375,2396.0,1404.708740234375,2612.9736328125,2781.712646484375,697.2403564453125,7000.140625,1898.7506103515625,6088.85888671875,644.2413940429688,111.03133392333984,538.0795288085938,231.783203125,597.8701782226562,579.2329711914062,974.998291015625,3604.935302734375,1582.4169921875,1239.6982421875,1622.188232421875,11628.5205078125,1590.2681884765625,508.8857421875,1187.69970703125,2373.501953125,309.2463684082031,163.94151306152344,4767.54833984375,930.086181640625,129.05386352539062,836.8594970703125,3137.659912109375
2021-01-07,2745.038818359375,2226.569580078125,2966.548095703125,1585.86962890625,583.0136108398438,343.6189270019531,7465.72900390625,498.51806640625,155.83648681640625,2788.4853515625,4897.30712890625,465.5517578125,529.13525390625,2527.51220703125,294.1976928710937,1857.0216064453125,146.5133514404297,2395.62646484375,12.88962173461914,578.5499267578125,5530.818359375,2984.509033203125,2820.622802734375,1245.4508056640625,277.8133239746094,1404.6722412109375,2634.7333984375,2558.86962890625,415.681396484375,157.26089477539062,60.29499435424805,1193.5831298828125,569.6966552734375,5801.4189453125,110.30508422851562,167.97027587890625,283.7811279296875,685.6673583984375,273.7981872558594,36.79718780517578,2068.986083984375,423.4177551269531,877.4699096679688,7680.62548828125,2379.0,1395.5020751953125,2647.946044921875,2793.668212890625,681.6617431640625,6929.47509765625,1864.791015625,6283.02490234375,626.456787109375,111.0813217163086,530.4868774414062,247.73385620117188,603.8047485351562,575.0384521484375,960.4251708984376,3658.799072265625,1573.428955078125,1248.6956787109375,1599.220947265625,11688.4638671875,1596.254638671875,511.2814331054688,1182.7093505859375,2352.550537109375,310.25537109375,164.2901153564453,4746.20263671875,922.70458984375,130.66778564453125,820.900146484375,3109.69873046875
2021-01-08,2748.934326171875,2215.586181640625,2953.594482421875,1564.4051513671875,594.60595703125,342.3423767089844,7461.73193359375,499.8160400390625,152.64231872558594,2788.4853515625,4904.5537109375,463.7569580078125,542.2789306640625,2501.548095703125,297.8876342773437,1832.0546875,142.67214965820312,2426.56982421875,13.436758041381836,587.39990234375,5514.8505859375,3033.4345703125,2875.576416015625,1202.5213623046875,275.7189025878906,1415.1214599609375,2673.670654296875,2610.8466796875,410.3987426757813,156.66122436523438,60.97871780395508,1168.1239013671875,565.7001342773438,5827.38134765625,109.65709686279295,170.0894012451172,285.27734375,680.8829956054688,275.7894592285156,36.73234558105469,2058.01904296875,432.95892333984375,877.66943359375,7670.64208984375,2481.0,1385.8111572265625,2677.922607421875,2860.421875,680.2635498046875,6921.1611328125,1884.767333984375,6283.02490234375,634.25,107.2819595336914,545.0728149414062,242.0514373779297,602.7874755859375,584.2263793945312,961.4234008789062,3656.804443359375,1581.4183349609375,1277.688720703125,1617.1954345703125,11708.443359375,1608.2264404296875,507.48828125,1184.705322265625,2363.525146484375,309.8769226074219,168.7720947265625,4749.40478515625,933.2781982421876,127.95800018310548,826.6854248046875,3080.73876953125
2021-01-11,2686.12646484375,2216.58447265625,2964.554931640625,1547.9324951171875,590.8084716796875,339.49432373046875,7546.62841796875,495.6226196289063,150.92544555664062,2768.06884765625,4801.01806640625,450.6947326660156,547.4566040039062,2479.57861328125,297.9873962402344,1804.092041015625,142.3728485107422,2345.717529296875,12.857706069946287,568.0499267578125,5496.88623046875,2952.05712890625,2830.6142578125,1177.0634765625,269.83447265625,1401.6575927734375,2652.70458984375,2593.853759765625,406.8603515625,152.76345825195312,60.00377655029297,1155.144775390625,544.9186401367188,5713.548828125,109.65709686279295,176.5667266845703,278.7937927246094,655.9639892578125,274.1964416503906,36.07400131225586,2030.600341796875,427.02484130859375,875.2757568359375,7590.7822265625,2500.0,1376.6044921875,2732.880615234375,2797.654052734375,676.0694580078125,6813.083984375,1865.78955078125,6167.521484375,631.0527954101562,105.7322235107422,537.8798217773438,235.7708282470703,596.683349609375,579.4327392578125,953.2384033203124,3612.91552734375,1554.4539794921875,1242.6971435546875,1574.7557373046875,11628.5205078125,1590.7672119140625,505.8911437988281,1175.2236328125,2334.592041015625,308.237548828125,166.4315185546875,4713.11669921875,928.8892211914062,127.81851196289062,811.5242309570312,3022.81884765625
2021-01-12,2662.26904296875,2217.583251953125,2950.604736328125,1539.44677734375,582.6138916015625,340.0836181640625,7395.8154296875,493.3262023925781,153.9599151611328,2717.776611328125,4691.2685546875,451.1933288574219,542.0797729492188,2463.60009765625,304.17047119140625,1759.152099609375,143.6698760986328,2339.728271484375,12.812111854553224,575.5499267578125,5558.76171875,2919.6064453125,2726.7021484375,1128.1439208984375,275.6689758300781,1373.52392578125,2557.858642578125,2537.879150390625,411.4452819824219,157.81057739257812,61.73842239379883,1148.1561279296875,547.1167602539062,5569.76220703125,111.35181427001952,171.52879333496094,283.880859375,645.4981689453125,274.09686279296875,36.65254974365234,2032.2457275390625,434.587890625,853.7330322265625,7656.66748046875,2489.0,1383.8729248046875,2707.89990234375,2774.73876953125,670.4771728515625,6607.31884765625,1823.33984375,6101.8037109375,622.6600952148438,107.7318878173828,528.4888916015625,234.47483825683597,590.2401123046875,566.8492431640625,937.2680053710938,3636.85498046875,1516.00439453125,1211.7049560546875,1530.818359375,11283.8623046875,1565.826171875,510.48291015625,1181.2122802734375,2312.643310546875,303.9493408203125,162.19850158691406,4611.72509765625,918.9140014648438,125.22828674316406,810.52685546875,3090.72509765625
2021-01-13,2653.991943359375,2217.583251953125,2937.650390625,1527.466552734375,586.6112670898438,345.58306884765625,7519.66162109375,493.0267028808594,152.0833282470703,2743.171875,4625.00390625,451.69189453125,547.85498046875,2487.5673828125,303.07354736328125,1725.1973876953125,142.47264099121094,2321.760986328125,12.76651668548584,560.6998901367188,5688.5,2926.595947265625,2731.6982421875,1122.6527099609375,276.5167236328125,1379.15087890625,2564.846923828125,2544.87548828125,401.8269958496094,152.4136505126953,61.39656448364258,1156.642578125,536.3262329101562,5643.65234375,108.06208801269533,171.12896728515625,282.1851806640625,650.3823852539062,273.7981872558594,36.15380859375,2034.4388427734373,430.1664733886719,872.0841674804688,7866.30224609375,2577.0,1370.7900390625,2682.919921875,2602.3759765625,673.8724975585938,6555.3583984375,1812.8524169921875,5968.37646484375,626.257080078125,105.58224487304688,532.4849853515625,239.55914306640625,589.05322265625,564.8519287109375,949.0462646484376,3650.8193359375,1517.5025634765625,1220.70263671875,1570.76123046875,11398.75,1572.8095703125,498.1050720214844,1186.701904296875,2344.5693359375,305.3366394042969,160.35592651367188,4644.8115234375,935.4727172851562,127.04142761230467,796.1636962890625,3055.773193359375
2021-01-14,2739.19677734375,2251.53076171875,2940.639892578125,1569.39697265625,577.4172973632812,344.2082214355469,7549.62451171875,500.814453125,152.58242797851562,2769.064697265625,4636.39404296875,453.7858276367188,516.5775146484375,2453.6142578125,308.408935546875,1729.6915283203125,140.92617797851562,2329.746826171875,13.02184772491455,559.9498901367188,5706.462890625,2921.10400390625,2708.717041015625,1118.1602783203125,284.2462463378906,1400.0501708984375,2588.80810546875,2561.867919921875,406.8603515625,162.10813903808594,61.91569137573242,1159.6376953125,542.9203491210938,5591.72900390625,108.3113021850586,170.2093505859375,278.8934936523437,663.240478515625,278.7763977050781,36.36328506469727,2043.212890625,431.6790466308594,870.0895385742188,7946.1630859375,2584.0,1387.7493896484375,2692.910400390625,2660.161865234375,678.6658325195312,6574.06494140625,1826.336181640625,6105.787109375,613.4680786132812,106.63207244873048,526.6905517578125,241.65264892578125,590.7486572265625,564.3657836914062,964.4176635742188,3692.714599609375,1524.99267578125,1236.69873046875,1585.240966796875,11518.6298828125,1525.6568603515625,497.3065490722656,1194.68603515625,2334.592041015625,304.4538269042969,164.33987426757812,4646.94677734375,932.081298828125,128.45611572265625,813.1202392578125,3187.591064453125
2021-01-15,2593.61865234375,2245.539794921875,2912.738525390625,1511.9921875,565.6251220703125,342.2440795898437,7582.58251953125,494.8238220214844,148.52980041503906,2758.60791015625,4625.00390625,448.5011291503906,502.2337036132813,2434.640380859375,301.6274108886719,1713.7127685546875,140.52708435058594,2300.799560546875,12.775634765625,555.7498779296875,5702.470703125,2898.637451171875,2679.741455078125,1085.713623046875,279.1597595214844,1420.3466796875,2535.893310546875,2555.870849609375,401.9266052246094,162.1581268310547,61.38390350341797,1140.1689453125,536.5260009765625,5565.7685546875,109.30819702148438,165.8911590576172,268.7192687988281,655.5654296875,271.8069152832031,35.8445930480957,1984.5377197265625,423.4177551269531,873.0816040039062,8004.06103515625,2513.0,1386.295654296875,2672.92626953125,2680.088623046875,677.0680541992188,6520.02490234375,1823.33984375,5920.58154296875,610.2708740234375,105.88219451904295,520.2966918945312,237.2662353515625,584.305419921875,564.3657836914062,959.2274169921876,3584.9853515625,1493.03466796875,1233.699462890625,1574.7557373046875,11423.724609375,1516.177490234375,488.8218383789063,1169.2354736328125,2337.5849609375,304.7060546875,162.94549560546875,4689.63671875,934.4752807617188,126.74256896972656,812.1227416992188,3164.62255859375
