Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HIK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SKG.L,SMIN.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2016-01-04,270.0622253417969,3268.82275390625,1598.755126953125,444.4423522949219,487.36712646484375,4463.884765625,491.7354736328125,988.1660766601562,213.6324157714844,3660.00439453125,766.5596313476562,1836.584716796875,345.44122314453125,1137.376708984375,457.78076171875,1421.8179931640625,211.21713256835935,9.352057456970217,10810.53515625,5473.74169921875,1811.9974365234373,1155.002685546875,1732.5499267578125,707.7565307617188,84.93476867675781,1366.4052734375,2227.52587890625,2698.162109375,517.4110107421875,594.0592651367188,33.729671478271484,463.9994812011719,554.4921875,2741.57666015625,268.300048828125,2743.218017578125,320.60723876953125,1237.2635498046875,257.1439208984375,71.0506591796875,412.175048828125,1416.358154296875,1004.41162109375,7164.6865234375,1204.0538330078125,1976.935546875,718.0808715820312,6343.8564453125,1167.16943359375,1887.869873046875,192.04690551757807,253.9496917724609,484.9053955078125,589.0391235351562,2328.774169921875,919.4444580078124,1166.2215576171875,1496.544189453125,540.4495239257812,973.3819580078124,2141.65771484375,179.24107360839844,197.8830718994141,3005.789794921875,928.5435791015624,214.55230712890625,1511.21630859375,3681.41064453125
2016-01-05,275.26226806640625,3242.87939453125,1613.65966796875,445.6389465332031,489.7177734375,4547.61962890625,492.2337341308594,986.6688232421876,214.6295318603516,3683.3408203125,780.4879760742188,1877.486328125,346.03759765625,1118.4205322265625,462.309814453125,1421.8179931640625,213.9058837890625,9.43437957763672,10847.08984375,5578.4296875,1840.9173583984373,1154.004150390625,1757.4859619140625,717.73193359375,87.91302490234375,1387.934814453125,2261.442138671875,2716.3466796875,519.5983276367188,609.0106201171875,33.87324905395508,470.17816162109375,556.3296508789062,2740.578369140625,269.39385986328125,2806.5234375,326.3840026855469,1258.486083984375,259.6248779296875,71.24974822998047,411.8909606933594,1411.9801025390625,1012.4390258789062,6835.85009765625,1219.33740234375,1988.8504638671875,723.5625,6338.66748046875,1172.1572265625,1924.58544921875,193.59014892578125,240.81951904296875,486.9364013671875,591.532958984375,2346.694580078125,919.9429931640624,1176.1976318359375,1511.4595947265625,531.0711059570312,966.40771484375,2145.64013671875,181.9500732421875,197.7838287353516,3037.220947265625,936.0077514648438,218.2275238037109,1533.1181640625,3690.83935546875
2016-01-06,262.821044921875,3186.00439453125,1618.6278076171875,432.4761657714844,485.1143798828125,4508.24462890625,510.6675415039063,969.2012329101562,211.13958740234372,3702.21044921875,767.5543212890625,1852.5462646484373,341.3662414550781,1095.4736328125,465.1964111328125,1423.8106689453125,212.7108917236328,9.352057456970217,10819.673828125,5533.5634765625,1835.931396484375,1144.021484375,1753.49609375,719.7269897460938,85.51248931884766,1382.4276123046875,2224.533447265625,2689.070068359375,505.3806457519531,604.525146484375,33.12921905517578,463.9994812011719,557.7078247070312,2715.636474609375,267.3056030273437,2767.485595703125,336.642578125,1236.2025146484375,254.364990234375,70.68229675292969,415.3944396972656,1404.3179931640625,1030.554931640625,6840.83154296875,1182.98828125,1951.119140625,713.5960693359375,6333.47900390625,1165.1744384765625,1832.3004150390625,192.04690551757807,239.72532653808597,476.7814331054688,584.5502319335938,2270.0322265625,904.4860229492188,1173.204833984375,1511.4595947265625,514.4097290039062,948.474365234375,2142.6533203125,178.35899353027344,195.59947204589844,3002.593017578125,931.5291748046876,217.6811370849609,1519.1806640625,3599.982666015625
2016-01-07,233.90489196777344,3105.181884765625,1590.8062744140625,409.44140625,471.9899291992188,4367.189453125,503.692626953125,965.2085571289062,204.9574737548828,3639.14990234375,751.7054443359375,1818.6275634765625,335.65106201171875,1075.5198974609375,460.1199035644531,1404.879638671875,209.3250274658203,9.220335006713867,10572.9423828125,5393.97802734375,1795.5426025390625,1122.0595703125,1664.72412109375,703.7662963867188,78.40055084228516,1346.376708984375,2186.62646484375,2657.246826171875,499.1167907714844,588.0789794921875,32.43739318847656,449.6489868164063,555.4107666015625,2675.730712890625,266.510009765625,2683.27783203125,327.8779602050781,1211.7965087890625,245.53219604492188,69.17903900146484,415.8677978515625,1363.8192138671875,1030.33837890625,6915.56689453125,1144.987548828125,1948.1405029296875,696.6531372070312,6257.70751953125,1163.1793212890625,1770.77734375,187.2457733154297,237.4374847412109,460.1947021484375,572.5800170898438,2262.067138671875,885.5388793945312,1164.226318359375,1478.6453857421875,504.6323547363281,923.06884765625,2137.6748046875,175.39794921875,190.83355712890625,2974.889892578125,926.0556640625,216.7375030517578,1478.36376953125,3535.697265625
2016-01-08,222.77584838867188,3026.354736328125,1609.685302734375,397.1761474609375,467.09271240234375,4335.29248046875,517.6424560546875,951.234619140625,199.57302856445312,3605.882080078125,737.7758178710938,1827.6058349609373,326.70574951171875,1092.4805908203125,463.5043029785156,1395.91259765625,206.9350128173828,9.236804008483888,10655.1865234375,5359.08154296875,1805.0166015625,1109.082275390625,1708.6114501953125,691.2970581054688,77.1753921508789,1373.414794921875,2191.6142578125,2629.969482421875,496.2334289550781,588.5772705078125,32.88120651245117,447.45654296875,555.4107666015625,2651.786865234375,265.0183410644531,2669.560546875,329.5711669921875,1186.330078125,244.1427154541016,68.56184387207031,407.8193664550781,1338.64453125,1019.8158569335938,6800.97216796875,1136.7261962890625,1977.928466796875,687.1849365234375,6220.3427734375,1166.1715087890625,1725.6270751953125,191.87551879882807,240.6205291748047,453.7632141113281,576.0711669921875,2254.1015625,894.0151977539062,1152.2548828125,1469.6956787109375,504.3330383300781,918.0872192382812,2130.70556640625,185.10025024414065,192.3228912353516,2960.506103515625,929.5388793945312,221.55502319335935,1457.4576416015625,3531.411376953125
2016-01-11,223.99078369140625,3029.3486328125,1604.71728515625,386.6059875488281,463.9585876464844,4242.08642578125,524.6174926757812,940.2548828125,199.12435913085935,3623.260009765625,737.2782592773438,1825.6109619140625,326.0595703125,1081.506103515625,460.866455078125,1401.890625,205.34164428710935,9.327359199523926,10563.8037109375,5329.1708984375,1800.528564453125,1099.099365234375,1713.5986328125,679.8253173828125,73.14131164550781,1349.3809814453125,2150.715087890625,2625.422607421875,494.9408874511719,587.5805053710938,32.959529876708984,444.8655090332031,556.3296508789062,2682.714111328125,264.6205444335937,2669.560546875,329.2723388671875,1186.330078125,242.9517822265625,68.6215591430664,400.3390808105469,1332.0770263671875,1020.7918701171876,6761.11279296875,1126.400146484375,1976.935546875,680.2086181640625,6203.7353515625,1157.1934814453125,1683.949951171875,189.3034210205078,242.0131683349609,448.0085754394531,586.5452880859375,2338.73046875,885.5388793945312,1135.2952880859375,1466.712646484375,505.4305419921875,903.6408081054688,2120.7490234375,183.27313232421875,193.51437377929688,2943.98974609375,932.02685546875,219.32012939453125,1446.5067138671875,3599.1259765625
2016-01-12,225.98329162597656,3042.319580078125,1624.5897216796875,373.0443420410156,470.8146667480469,4310.37060546875,519.6353759765625,952.731689453125,201.76670837402344,3672.417724609375,741.258056640625,1843.56787109375,321.1396179199219,1100.4622802734375,471.2184753417969,1409.861328125,205.7400360107422,9.43437957763672,10655.1865234375,5304.24560546875,1831.942138671875,1131.0440673828125,1715.5936279296875,679.8253173828125,71.7169418334961,1365.4036865234375,2186.62646484375,2648.154541015625,502.1991271972656,596.5512084960938,32.828983306884766,451.0442199707031,562.7613525390625,2718.62939453125,267.70330810546875,2669.560546875,335.14862060546875,1193.7576904296875,243.84500122070312,68.98990631103516,404.1266174316406,1374.7647705078125,1029.4700927734375,6746.16552734375,1132.5958251953125,1994.808349609375,691.6698608398438,6306.490234375,1173.154541015625,1639.296142578125,190.6752014160156,249.87136840820312,454.1016540527344,588.0416259765625,2368.598876953125,887.5332641601562,1157.2430419921875,1462.7353515625,512.7136840820312,914.6002807617188,2119.753662109375,195.5585784912109,197.4859161376953,3012.715087890625,933.0222778320312,219.81675720214844,1476.37255859375,3599.1259765625
2016-01-13,224.9627685546875,3034.337646484375,1624.5897216796875,367.7593383789063,471.8919982910156,4382.64208984375,522.6246948242188,989.1641845703124,201.1186065673828,3695.2578125,738.7706909179688,1833.591796875,333.812255859375,1109.4415283203125,473.955810546875,1408.8653564453125,209.3250274658203,9.450844764709473,10883.6416015625,5324.185546875,1846.4022216796875,1141.026611328125,1685.670166015625,690.2994384765625,71.58744812011719,1386.4324951171875,2205.57958984375,2673.157470703125,501.9006958007813,587.5805053710938,32.4765510559082,458.0201416015625,564.5986938476562,2745.566650390625,266.60943603515625,2564.10205078125,337.7382202148437,1192.6968994140625,245.7306671142578,67.49661254882812,405.9256286621094,1391.18310546875,1022.2022094726562,6681.39306640625,1143.3345947265625,1994.808349609375,698.1481323242188,6376.03369140625,1177.14501953125,1670.553955078125,192.21841430664065,246.3899078369141,453.9324645996094,582.0564575195312,2319.813720703125,890.0263061523438,1147.2667236328125,1474.6676025390625,515.1080932617188,933.03173828125,2124.73193359375,199.4647216796875,197.585205078125,3047.8759765625,937.0031127929688,221.0086975097656,1470.3995361328125,3545.126220703125
2016-01-14,255.57981872558597,3012.386474609375,1600.7425537109375,371.8478393554688,464.840087890625,4309.373046875,516.6461181640625,972.6947021484376,197.13009643554688,3614.322021484375,728.3234252929688,1807.6541748046875,345.5903625488281,1118.4205322265625,464.8480224609375,1378.9742431640625,211.21713256835935,9.335591316223145,10700.8779296875,5214.5107421875,1805.0166015625,1130.045654296875,1637.793212890625,700.7734985351562,78.31090545654297,1382.4276123046875,2098.841552734375,2620.876708984375,499.1167907714844,562.16357421875,30.1400089263916,446.6593322753906,557.7078247070312,2707.65576171875,258.3555908203125,2485.37548828125,332.85791015625,1164.0465087890625,243.34878540039065,66.23231506347656,402.5167846679688,1347.40087890625,1016.669677734375,6647.11279296875,1134.2479248046875,1926.2955322265625,717.0843505859375,6260.82177734375,1168.166748046875,1721.6578369140625,190.84657287597656,248.67774963378903,438.86907958984375,574.0761108398438,2263.062744140625,917.4500122070312,1123.32373046875,1451.7967529296875,517.6024169921875,914.6002807617188,2095.857421875,211.68716430664065,187.6562957763672,3004.723876953125,919.0889282226562,218.72409057617188,1439.538330078125,3437.12646484375
2016-01-15,226.22630310058597,2979.457763671875,1619.621337890625,349.6106872558594,454.9478149414063,4216.666015625,511.6638793945313,942.750244140625,191.24708557128903,3570.1298828125,711.4087524414062,1774.733154296875,336.098388671875,1117.4228515625,461.16510009765625,1361.039306640625,206.1383514404297,9.228570938110352,10435.869140625,5124.77685546875,1786.0689697265625,1127.051025390625,1607.8702392578125,688.3043823242188,73.21102905273438,1365.4036865234375,2020.035888671875,2595.87255859375,482.9106140136719,549.2059326171875,29.604829788208008,431.5115356445313,554.4921875,2649.791015625,257.9578857421875,2405.65234375,332.85791015625,1141.762939453125,237.2948303222656,64.42044067382812,400.3390808105469,1298.1456298828125,1013.8493041992188,6716.8720703125,1104.5079345703125,1903.458251953125,706.1210327148438,6235.91259765625,1156.1962890625,1630.8612060546875,186.5598297119141,242.6099548339844,431.0834655761719,555.6220092773438,2248.128173828125,893.5164794921875,1100.3782958984375,1415.9991455078125,495.1543273925781,889.1947021484375,2074.94873046875,207.21401977539065,182.59251403808597,2981.816650390625,905.653564453125,214.80062866210935,1428.5870361328125,3413.12646484375
