Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CNA.L,CPG.L,CPI.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,IMI.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,MRO.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SSE.L,STAN.L,SVT.L,TATE.L,TLW.L,TPK.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2013-01-02,1944.4901123046875,1586.9398193359375,1191.83837890625,1374.978759765625,373.6254577636719,2955.4853515625,348.7640991210937,875.5391235351562,253.66488647460935,3065.7578125,569.8307495117188,1023.9060668945312,427.9309997558594,1261.24462890625,235.9055633544922,338.9045715332031,5.9635396003723145,6999.10205078125,1810.8880615234373,1009.609130859375,791.2500610351562,1894.3311767578125,374.3516845703125,1357.7884521484375,2260.336181640625,660.8783569335938,192.239013671875,21.73857879638672,1289.1026611328125,3209.89306640625,108.1459732055664,2518.13671875,284.674560546875,873.5836181640625,147.2828826904297,49.45834732055664,361.9903869628906,750.2581176757812,129.18695068359375,765.38232421875,3754.225341796875,744.0540771484375,814.7039794921875,1199.4393310546875,4029.34521484375,650.8845825195312,3657.7568359375,312.0564880371094,333.7435302734375,297.4888610839844,316.49432373046875,1216.1474609375,681.9725341796875,1428.4984130859375,1526.985107421875,1596.047119140625,901.3131713867188,1090.3643798828125,1038.0181884765625,431.5341491699219,2546.018310546875,681.3442993164062,162.75401306152344,1964.892333984375,915.6286010742188,2181.093017578125
2013-01-03,1955.1663818359373,1568.986083984375,1189.855224609375,1364.0267333984375,375.8754577636719,2966.435791015625,350.5551452636719,884.7737426757812,254.0330810546875,3098.48828125,569.8307495117188,1018.92138671875,438.2497253417969,1257.2564697265625,236.9995574951172,334.9268798828125,5.943322658538818,7021.93017578125,1811.38623046875,1012.60205078125,814.17041015625,1879.3763427734373,375.3458862304688,1362.786376953125,2257.61083984375,657.7013549804688,193.335205078125,21.974201202392575,1287.9638671875,3175.989013671875,107.64945220947266,2491.774169921875,284.8736267089844,871.46337890625,148.27407836914062,49.47328567504883,367.3819885253906,761.1948852539062,129.02101135253906,765.38232421875,3854.74951171875,748.593505859375,816.6898193359375,1205.4110107421875,3992.85205078125,654.3733520507812,3625.54931640625,312.5705261230469,334.3395690917969,298.1653137207031,318.2760314941406,1210.1712646484375,685.9605102539062,1439.4180908203125,1535.046875,1581.1307373046875,906.52978515625,1097.1741943359375,1043.6751708984375,440.66204833984375,2553.469482421875,683.8291015625,162.70233154296875,1967.885009765625,912.147216796875,2169.099609375
2013-01-04,1943.034423828125,1575.9681396484375,1191.83837890625,1337.144287109375,378.5170593261719,2986.344970703125,350.95318603515625,887.412353515625,254.67739868164065,3148.576416015625,573.3082885742188,1024.903076171875,449.95745849609375,1286.170166015625,241.4749755859375,339.1034240722656,5.995884895324707,7012.798828125,1817.8623046875,1030.5592041015625,818.156494140625,1804.599853515625,378.62701416015625,1380.776611328125,2240.353271484375,662.7646484375,194.4314422607422,22.036205291748047,1299.351806640625,3185.96044921875,107.74874877929688,2462.247802734375,286.2665710449219,878.884521484375,149.76077270507812,49.62755584716797,356.0313720703125,766.1163330078125,129.2976531982422,770.2572631835938,3886.59814453125,757.6723022460938,823.1439208984375,1216.360595703125,4012.11279296875,658.8588256835938,3580.458740234375,314.6269226074219,331.5583190917969,304.7611694335937,320.6863708496094,1210.1712646484375,685.9605102539062,1455.30126953125,1549.2733154296875,1601.0194091796875,915.2241821289062,1085.2574462890625,1059.7030029296875,439.9695739746094,2570.50048828125,680.3502197265625,165.44163513183594,1964.892333984375,920.6022338867188,2167.38671875
2013-01-07,1941.5787353515625,1546.0439453125,1187.8719482421875,1316.2357177734375,379.9845886230469,2971.412841796875,348.56500244140625,877.2982177734375,264.3417663574219,3167.91650390625,572.8116455078125,1020.915283203125,445.2445373535156,1277.197021484375,241.6739501953125,332.0429382324219,6.003970146179199,6980.83935546875,1806.404541015625,1021.5807495117188,837.5889282226562,1769.7041015625,377.5831298828125,1371.28173828125,2234.449462890625,661.3746337890625,190.94342041015625,21.887393951416016,1279.9925537109375,3141.088134765625,108.84113311767578,2461.193359375,284.8736267089844,882.0652465820312,149.95899963378906,50.26456832885742,351.8695373535156,762.8353271484375,128.13580322265625,751.8404541015625,3871.669677734375,751.8947143554688,831.08740234375,1204.4158935546875,3976.633544921875,649.8878784179688,3542.305908203125,310.0000305175781,329.4723815917969,302.0552062988281,320.6863708496094,1202.203125,686.4591674804688,1454.3087158203125,1538.840576171875,1578.147216796875,919.8612060546876,1081.8525390625,1067.2452392578125,439.7807312011719,2552.406005859375,671.90185546875,165.02810668945312,1947.9365234375,912.6446533203124,2152.8232421875
2013-01-08,1968.2684326171875,1546.0439453125,1180.93115234375,1282.384033203125,373.6254577636719,2986.344970703125,349.8586730957031,869.8224487304688,264.3417663574219,3159.48583984375,573.3082885742188,1010.9454956054688,445.4430541992188,1271.2147216796875,243.7624664306641,334.03173828125,5.98375415802002,6958.01171875,1797.935546875,1012.60205078125,818.156494140625,1736.802734375,374.7990112304688,1372.7806396484375,2234.9033203125,654.4254150390625,190.2458648681641,21.75098419189453,1262.91064453125,3128.124755859375,107.94738006591795,2444.321533203125,283.58013916015625,881.0048217773438,149.56251525878906,50.62290191650391,349.5994567871094,766.1163330078125,129.2976531982422,746.4237670898438,3905.509765625,748.593505859375,830.094482421875,1201.4296875,3953.3193359375,645.4024047851562,3515.053466796875,308.971923828125,336.7232971191406,297.9961853027344,321.2102966308594,1198.2191162109375,689.9487915039062,1445.3746337890625,1523.6654052734375,1587.0972900390625,907.1095581054688,1042.6981201171875,1054.0457763671875,442.5506286621094,2566.241943359375,670.9077758789062,167.87078857421875,1931.9779052734373,903.6921997070312,2109.1328125
2013-01-09,1980.885986328125,1542.054931640625,1186.88037109375,1305.28369140625,365.6030883789063,2972.408203125,348.3659973144531,872.900634765625,271.290771484375,3157.005859375,564.9434814453125,1011.9425048828124,455.0672912597656,1291.1553955078125,245.7515411376953,335.3245544433594,5.97162675857544,6999.10205078125,1791.957275390625,1007.6138916015624,819.153076171875,1764.7188720703125,382.9523315429688,1381.276123046875,2224.4580078125,665.0477294921875,194.0328369140625,21.713777542114254,1262.91064453125,3151.05908203125,108.54320526123048,2450.648681640625,282.4855041503906,882.5951538085938,150.1571807861328,53.121192932128906,350.9236755371094,772.1316528320312,129.74017333984375,746.4237670898438,3882.6181640625,757.6723022460938,829.5980224609375,1193.4669189453125,3946.2236328125,638.4249267578125,3516.044677734375,307.0867919921875,326.9891967773437,298.50360107421875,324.5639343261719,1209.1754150390625,690.4472045898438,1453.31591796875,1572.0360107421875,1569.1973876953125,903.6316528320312,1058.01953125,1100.2430419921875,439.59185791015625,2547.083251953125,682.835205078125,171.07516479492188,1907.0428466796875,900.7081298828125,2091.99951171875
2013-01-10,2010.97265625,1516.1214599609375,1174.9822998046875,1316.2357177734375,360.02655029296875,2982.861328125,346.2764892578125,871.1416015625,271.1527709960937,3144.1123046875,564.9434814453125,1045.83984375,457.4486389160156,1294.1468505859375,244.95591735839844,334.03173828125,5.975670337677002,7049.32421875,1781.495361328125,1012.60205078125,831.1114501953125,1744.779052734375,384.6922607421875,1375.7784423828125,2216.7373046875,668.5223999023438,196.2252960205078,21.70138359069824,1272.020751953125,3091.229248046875,106.95429229736328,2420.06884765625,281.88848876953125,882.0652465820312,149.46339416503906,53.0515251159668,348.8427124023437,761.1948852539062,133.3917236328125,744.2570190429688,3906.504150390625,756.4341430664062,841.0167846679688,1187.494873046875,3968.52490234375,646.897705078125,3479.87255859375,305.3731994628906,323.5127868652344,300.87127685546875,325.1926574707031,1208.179443359375,686.9576416015625,1439.4180908203125,1583.8914794921875,1577.15283203125,892.0394287109375,1042.6981201171875,1126.6412353515625,447.46087646484375,2540.69677734375,688.3018798828125,170.04150390625,1906.0452880859373,915.6286010742188,2082.576171875
2013-01-11,1981.8563232421875,1526.0955810546875,1181.9228515625,1297.3187255859375,371.8644104003906,3004.262939453125,347.9681091308594,874.6594848632812,275.80078125,3121.299560546875,565.9371337890625,1056.8067626953125,458.341552734375,1301.125732421875,244.65756225585935,334.03173828125,6.044401168823242,7072.15234375,1781.9937744140625,1027.5665283203125,845.06298828125,1737.7994384765625,389.26605224609375,1381.77587890625,2204.02099609375,672.7911376953125,206.88864135742188,21.99899673461914,1286.824951171875,3091.229248046875,109.23834991455078,2372.615966796875,283.58013916015625,881.5350341796875,149.76077270507812,53.78807830810547,352.3424987792969,761.1948852539062,135.66015625,744.2570190429688,3976.17431640625,760.5608520507812,864.3505859375,1193.4669189453125,4050.631591796875,657.86181640625,3436.764892578125,305.2017517089844,321.8241577148437,307.6363220214844,328.65106201171875,1208.179443359375,684.465087890625,1439.4180908203125,1593.849853515625,1564.2252197265625,891.4596557617188,1009.5022583007812,1148.32568359375,444.6909484863281,2537.503662109375,690.7866821289062,170.76502990722656,1935.967529296875,934.528076171875,2108.276123046875
2013-01-14,1976.5185546875,1496.172119140625,1172.998779296875,1291.3448486328125,368.6360473632813,3016.208740234375,346.8735046386719,871.5813598632812,275.11053466796875,3116.34130859375,563.4528198242188,1060.795166015625,455.7121887207031,1321.0665283203125,241.9722900390625,331.04852294921875,6.028230667114258,7117.80810546875,1781.495361328125,1024.5736083984375,842.0733642578125,1743.781982421875,389.5146179199219,1371.7808837890625,2207.20068359375,670.9052124023438,209.67901611328125,21.92459297180176,1272.020751953125,3044.3623046875,110.92659759521484,2365.23486328125,285.4705505371094,876.76416015625,148.47227478027344,54.66397476196289,347.3292541503906,768.3038330078125,134.99620056152344,744.7987060546875,3941.33984375,764.2749633789062,856.90380859375,1176.545166015625,4004.00341796875,656.8651123046875,3442.21484375,307.7723083496094,323.4133605957031,315.92340087890625,324.8782043457031,1213.15966796875,689.4502563476562,1425.520263671875,1596.2210693359375,1541.353515625,879.867431640625,997.5856323242188,1141.7255859375,442.1729431152344,2531.11669921875,680.8473510742188,169.36968994140625,1930.98046875,939.9990234375,2067.15625
2013-01-15,1903.2415771484373,1528.09033203125,1168.04150390625,1291.3448486328125,364.4291687011719,3027.656005859375,341.500244140625,873.3402709960938,271.88916015625,3134.68994140625,564.4466552734375,1070.7647705078125,455.9106750488281,1381.8853759765625,238.9886474609375,333.3357849121094,6.060573577880859,7172.595703125,1795.4444580078125,1035.5478515625,858.5162353515625,1760.73095703125,390.459228515625,1362.285888671875,2204.928955078125,674.6775512695312,205.493408203125,22.08580017089844,1275.4375,3041.370849609375,111.62174224853516,2368.3984375,288.55499267578125,878.884521484375,148.17494201660156,54.11652755737305,345.4374694824219,762.8353271484375,135.3281707763672,752.9238891601562,3956.268310546875,765.1005249023438,867.8258666992188,1215.3651123046875,4083.069091796875,662.8458251953125,3458.56640625,307.2582092285156,319.7383117675781,315.7541809082031,326.45025634765625,1194.2349853515625,691.4443359375,1432.4693603515625,1592.42724609375,1574.1695556640625,891.4596557617188,1003.5438842773438,1149.2681884765625,440.1584777832031,2559.85546875,693.2714233398438,168.4910125732422,1943.94677734375,956.9089965820312,2096.28271484375
