Date,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,JD.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PNN.L,PRU.L,PSH.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2020-01-02,2143.33349609375,2576.031005859375,2292.623779296875,943.3079833984376,593.6065673828125,415.8263854980469,7648.37451171875,572.8345336914062,184.8636932373047,3249.134765625,5120.35595703125,626.2783813476562,403.2708129882813,2088.690673828125,479.1802062988281,2198.066162109375,195.61053466796875,2586.4833984375,17.116573333740234,2525.25,6593.125,3177.412841796875,2547.521484375,642.8526000976562,240.4125061035156,1784.587890625,1981.4207763671875,2151.893798828125,593.14697265625,635.8397216796875,66.13203430175781,1114.3095703125,866.6343994140625,5812.2431640625,166.21099853515625,3024.540283203125,220.6410369873047,990.6026000976562,309.38165283203125,63.54969787597656,1940.09912109375,563.8590087890625,947.4387817382812,6945.904296875,1259.5,1533.39501953125,1418.4146728515625,1480.4451904296875,2718.86474609375,648.8698120117188,6441.47216796875,1900.2559814453125,4504.025390625,640.2448120117188,233.72679138183597,455.1597595214844,231.2683258056641,574.3923950195312,746.439453125,898.09521484375,2933.517822265625,1723.2880859375,585.83447265625,1828.51513671875,9030.0166015625,1452.2857666015625,718.7088012695312,1176.4388427734375,2508.1650390625,322.4790954589844,196.21185302734372,4637.89990234375,951.205810546875,147.15646362304688,1065.611572265625,4200.45556640625
2020-01-03,2128.24658203125,2589.0107421875,2280.672119140625,921.147705078125,584.2128295898438,411.7034912109375,7688.31494140625,579.6207275390625,182.96714782714844,3335.712158203125,5051.02294921875,627.8734741210938,398.5966796875,2090.687744140625,492.3343505859375,2221.035888671875,193.2559356689453,2599.455810546875,16.999637603759766,2475.0,6481.37744140625,3183.90185546875,2547.521484375,659.8223266601562,241.01089477539065,1791.8177490234375,1982.418701171875,2110.91455078125,592.4494018554688,625.0458374023438,65.7015380859375,1105.8262939453125,857.642333984375,5802.2607421875,162.17269897460938,2983.640869140625,218.44664001464844,986.0185546875,304.4076538085937,62.89136505126953,1937.358154296875,563.1608276367188,947.8374633789062,6929.93212890625,1265.5,1519.203369140625,1404.3663330078125,1480.4451904296875,2675.04443359375,641.8819580078125,6432.12060546875,1907.24609375,4481.63720703125,637.6470947265625,232.5601959228516,457.4575500488281,228.3787078857422,565.5791015625,737.2537841796875,894.1036987304688,2907.5927734375,1706.31494140625,586.3341674804688,1843.989990234375,9010.037109375,1440.8189697265625,719.5072631835938,1164.4649658203125,2509.162109375,321.5966796875,194.07049560546875,4648.56884765625,947.01806640625,147.2958221435547,1067.6065673828125,4173.859375
2020-01-06,2087.85205078125,2610.9765625,2271.708740234375,907.1727905273438,576.6177368164062,406.4026489257813,7611.431640625,587.4048461914062,180.65138244628903,3333.721435546875,5028.25634765625,613.1187133789062,401.182373046875,2064.728759765625,502.3494567871094,2185.08349609375,192.7969970703125,2622.406982421875,16.72081184387207,2465.25,6389.58447265625,3177.912109375,2533.53564453125,659.8223266601562,235.6750640869141,1777.7589111328125,1908.5523681640625,2089.925537109375,583.2793579101562,609.6546020507812,64.4227066040039,1086.36474609375,851.0481567382812,5800.263671875,163.21226501464844,2928.77587890625,219.04515075683597,979.6400756835938,303.412841796875,63.09086227416992,1893.50146484375,554.783203125,943.3515625,6931.9287109375,1271.5,1503.5189208984375,1384.989013671875,1462.464111328125,2678.0322265625,633.6962280273438,6395.75830078125,1895.7628173828125,4408.00390625,639.6453857421875,232.2857360839844,452.062744140625,225.7880401611328,552.359130859375,735.0570678710938,889.1141967773438,2861.72509765625,1696.33056640625,580.8357543945312,1809.047119140625,8950.103515625,1437.8277587890625,705.7320556640625,1144.508544921875,2491.211669921875,320.2098693847656,192.62625122070312,4613.8935546875,934.853759765625,146.4395751953125,1061.1240234375,4119.80908203125
2020-01-07,2102.452880859375,2667.8896484375,2279.67626953125,920.3490600585938,569.6223754882812,409.7402038574219,7633.39697265625,589.0017700195312,182.80740356445312,3389.44970703125,5012.734375,616.7077026367188,402.7735595703125,2048.753662109375,497.0679321289063,2161.11572265625,191.6396331787109,2614.423828125,16.73879623413086,2490.75,6415.5263671875,3178.91064453125,2527.541015625,654.831298828125,236.3732147216797,1769.726318359375,1879.1055908203125,2091.923583984375,581.4854125976562,616.6505737304688,64.24544525146484,1084.3685302734375,852.6467895507812,5698.43505859375,163.292236328125,2927.77880859375,227.42388916015625,989.8052978515624,305.6014099121094,62.95121383666992,1904.4659423828125,555.2485961914062,939.6629638671876,6890.00146484375,1325.5,1493.80908203125,1397.099853515625,1478.4473876953125,2715.876953125,641.6824340820312,6377.0576171875,1890.2703857421875,4417.9560546875,634.25,229.26634216308597,441.9725036621094,230.1722717285156,553.54541015625,734.058837890625,881.5303344726562,2885.656494140625,1717.297607421875,586.8340454101562,1829.5135498046875,8940.11328125,1419.381103515625,700.341796875,1148.5,2467.27685546875,320.84014892578125,193.6222686767578,4574.41845703125,931.264404296875,146.02142333984375,1068.1048583984375,4113.8037109375
2020-01-08,2095.638916015625,2657.904541015625,2258.761474609375,929.3330078125,557.830322265625,408.4640808105469,7614.4267578125,590.7980346679688,181.7094268798828,3452.64111328125,5018.943359375,600.9560546875,402.9725036621094,2026.7886962890625,492.5835876464844,2173.099853515625,195.4508819580078,2612.42822265625,17.067094802856445,2448.75,6433.4853515625,3202.868408203125,2530.5380859375,640.8560791015625,239.16580200195312,1778.563232421875,1871.1197509765625,2073.933837890625,579.392333984375,618.0498657226562,64.10616302490234,1085.865478515625,842.8554077148438,5698.43505859375,163.73204040527344,2902.84033203125,223.4339904785156,975.4545288085938,306.4967956542969,62.63201522827149,1891.8570556640625,551.99072265625,936.9715576171876,6893.99462890625,1334.0,1508.0001220703125,1415.50830078125,1488.4366455078125,2711.89404296875,634.2952880859375,6305.36962890625,1897.260498046875,4477.6572265625,634.4498901367188,228.37429809570312,445.0695190429688,226.38584899902344,550.6641845703125,732.6609497070312,876.3413696289062,2851.753662109375,1742.25830078125,589.8333129882812,1829.5135498046875,8940.11328125,1403.9261474609375,697.5466918945312,1146.0052490234375,2464.284912109375,316.4278869628906,192.5764923095703,4523.73974609375,942.0326538085938,146.85777282714844,1064.6146240234375,4064.04345703125
2020-01-09,2086.87890625,2655.907958984375,2303.578369140625,932.926513671875,562.8269653320312,410.0347290039063,7669.34375,591.7958984375,182.5279693603516,3442.192138671875,4994.1064453125,590.7871704101562,395.0164794921875,2038.7694091796875,490.34130859375,2216.04248046875,192.5575408935547,2621.408935546875,17.179527282714844,2454.75,6507.31884765625,3239.8037109375,2576.493408203125,618.8953857421875,237.8193359375,1797.6416015625,1898.5701904296875,2095.92236328125,586.1699829101562,634.2406005859375,64.13148498535156,1091.8538818359375,840.857177734375,5770.3134765625,165.4113311767578,2938.75146484375,216.95040893554688,960.5059814453124,307.29266357421875,61.69438171386719,1877.0555419921875,554.3178100585938,933.5819702148438,6788.17919921875,1276.5,1508.746826171875,1431.010009765625,1508.415771484375,2718.86474609375,623.9134521484375,6319.9150390625,1926.2183837890625,4428.900390625,640.64453125,235.1678466796875,454.560302734375,223.4962921142578,556.0878295898438,741.24755859375,870.154541015625,2861.72509765625,1745.2535400390625,600.3303833007812,1843.989990234375,8920.13671875,1406.418701171875,706.5307006835938,1154.9857177734375,2475.25537109375,319.32733154296875,195.3154754638672,4567.48291015625,940.636962890625,151.29833984375,1057.135009765625,4050.316162109375
2020-01-10,2107.319091796875,2616.967529296875,2289.635986328125,943.507568359375,565.8250122070312,405.2246398925781,7633.39697265625,591.596435546875,180.6712951660156,3465.07958984375,4974.4443359375,583.4098510742188,370.9495239257813,2036.772705078125,493.5301513671875,2214.045166015625,191.7593688964844,2655.336669921875,17.202014923095703,2511.75,6491.35498046875,3239.304443359375,2566.5029296875,624.0861206054688,239.56475830078125,1804.8719482421875,1903.062255859375,2090.925048828125,582.681396484375,663.6239013671875,63.56170272827149,1086.36474609375,833.4637451171875,5740.3642578125,166.33096313476562,2931.7685546875,209.86834716796875,953.5297241210938,304.5071716308594,60.1782112121582,1839.7774658203125,552.2234497070312,932.0867309570312,6742.2587890625,1259.5,1504.2657470703125,1433.9166259765625,1502.4219970703125,2694.96337890625,626.7084350585938,6274.201171875,1929.2142333984373,4465.716796875,637.247314453125,234.20721435546875,454.76019287109375,219.2116851806641,553.884521484375,738.8513793945312,868.3582763671875,2817.852294921875,1740.760498046875,598.330810546875,1862.958984375,8905.154296875,1420.8768310546875,709.32568359375,1136.5260009765625,2452.317626953125,314.4107971191406,196.85926818847656,4592.55615234375,944.2262573242188,150.9796905517578,1058.1318359375,3988.544677734375
2020-01-13,2127.27294921875,2571.038330078125,2296.60693359375,969.0618286132812,574.6192016601562,404.046630859375,7638.390625,612.7532348632812,181.35006713867188,3478.016845703125,5016.87255859375,585.6031494140625,370.2532958984375,2077.707763671875,495.3737487792969,2239.011474609375,188.9658050537109,2674.29638671875,17.359420776367188,2500.5,6529.26806640625,3226.826171875,2563.50537109375,617.8971557617188,241.65921020507807,1816.720947265625,1924.5235595703125,2113.9130859375,588.8609619140625,655.4285888671875,63.9542236328125,1101.3353271484375,842.6556396484375,5838.19970703125,168.09024047851562,2975.660888671875,213.45928955078125,949.9421997070312,300.6274719238281,58.59221267700195,1834.29541015625,549.8963012695312,938.3670654296876,6716.3037109375,1280.0,1611.0731201171875,1425.68115234375,1528.394775390625,2723.844482421875,624.51220703125,6325.10888671875,1943.693359375,4532.38427734375,645.240478515625,231.8054351806641,451.2635192871094,219.7098846435547,552.5286254882812,734.6576538085938,871.7511596679688,2865.713134765625,1744.2552490234375,601.3298950195312,1865.9542236328125,9005.041015625,1440.320556640625,712.7196655273438,1117.5672607421875,2511.157470703125,313.4022827148437,201.1918792724609,4633.63232421875,968.1559448242188,150.9598388671875,1059.6279296875,4040.879150390625
2020-01-14,2114.618896484375,2557.06005859375,2308.55810546875,975.2506103515624,577.6170654296875,403.4575500488281,7679.328125,610.95703125,180.6712951660156,3466.075439453125,5049.98779296875,583.4098510742188,380.0989379882813,2094.680908203125,494.1779479980469,2267.97314453125,185.17449951171875,2705.230224609375,17.59327507019043,2550.0,6561.19677734375,3225.328857421875,2595.474609375,607.9148559570312,242.0082550048828,1811.9005126953125,1940.993896484375,2101.9189453125,588.4623413085938,646.4337158203125,63.75164031982422,1098.3411865234375,838.8589477539062,5882.1259765625,170.76913452148438,2923.788818359375,217.9478759765625,956.51953125,301.4233093261719,58.60218048095703,1787.1497802734375,553.6196899414062,935.5758056640624,6826.11279296875,1303.0,1587.9189453125,1408.7261962890625,1536.38623046875,2784.595947265625,603.9481201171875,6382.25146484375,1971.6529541015625,4522.43408203125,655.6314086914062,231.119140625,456.25872802734375,219.7098846435547,554.9013671875,732.8604736328125,870.3540649414062,2817.852294921875,1730.7763671875,599.33056640625,1872.443603515625,9054.9873046875,1454.27978515625,715.3148803710938,1109.584716796875,2514.149169921875,315.2933654785156,209.06024169921875,4608.5595703125,972.9419555664062,155.85838317871094,1036.690185546875,4100.07666015625
2020-01-15,2103.912841796875,2551.06884765625,2297.602783203125,968.0635375976562,568.2233276367188,401.0036010742188,7824.1083984375,611.7554931640625,178.17584228515625,3489.958984375,5013.7685546875,586.9989624023438,374.828125,2097.67626953125,493.4803466796875,2309.9169921875,182.48068237304688,2742.1513671875,17.732690811157227,2586.75,6635.03076171875,3270.25048828125,2639.432373046875,622.4888305664062,240.71170043945312,1842.8287353515625,1971.438720703125,2119.91015625,587.864501953125,643.0357055664062,64.10616302490234,1092.8521728515625,856.0436401367188,5926.05322265625,169.92945861816406,2894.859619140625,213.45928955078125,960.5059814453124,294.9571228027344,57.664546966552734,1765.2215576171875,551.059814453125,953.6193237304688,6856.06005859375,1338.5,1623.023681640625,1356.8919677734375,1548.3736572265625,2795.55126953125,617.3248901367188,6474.716796875,1998.1146240234373,4500.5439453125,650.6359252929688,232.21713256835935,463.8513488769531,214.22959899902344,550.8336791992188,737.0540161132812,877.3392333984375,2829.817138671875,1731.275390625,596.3314819335938,1886.919677734375,9124.9091796875,1482.198974609375,701.9389038085938,1100.1051025390625,2539.080810546875,312.1415710449219,208.5622711181641,4643.234375,979.9214477539062,157.27220153808594,1032.7008056640625,4149.8369140625
