Date,AAF.L,AAL.L,ABDN.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BEZ.L,BKG.L,BLND.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,CTEC.L,DCC.L,DGE.L,EDV.L,EXPN.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PRU.L,PSH.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2022-01-04,140.8736114501953,3031.821533203125,247.09402465820312,2038.2838134765625,3069.40478515625,1367.154052734375,732.9722900390625,421.4148254394531,8464.7939453125,553.973876953125,196.33587646484372,2776.6787109375,464.7651062011719,5076.53125,543.8004760742188,623.0037231445312,2863.693115234375,350.218994140625,1850.535888671875,172.27755737304688,2640.819091796875,73.7324447631836,15.52499771118164,575.0999145507812,193.2105407714844,6141.2294921875,4098.24267578125,1631.45654296875,3633.2431640625,236.29156494140625,787.0,851.4284057617188,386.7990112304688,1606.1502685546875,3150.802978515625,470.125732421875,158.4302215576172,63.66299819946289,1501.54150390625,541.32177734375,5774.55908203125,215.7139129638672,346.8434143066406,771.0197143554688,303.95513916015625,49.797950744628906,2033.8885498046875,351.99127197265625,1075.6448974609375,8047.083984375,1556.0,1313.87353515625,2983.092041015625,2874.584716796875,600.5241088867188,6581.142578125,2367.76171875,4922.84814453125,790.0076904296875,127.05863189697266,568.732177734375,276.6529846191406,609.596923828125,840.3311157226562,1381.2611083984375,1697.8363037109375,4102.98095703125,1618.2789306640625,1291.2196044921875,1303.404052734375,15980.7529296875,1660.974609375,462.08349609375,1728.91943359375,2933.3330078125,293.4127502441406,177.37820434570312,4266.498046875,1121.7987060546875,1089.239990234375,114.95706176757812,1803.5567626953125,1143.38134765625,3129.6708984375
2022-01-05,140.67391967773438,3115.535888671875,245.6991271972656,2054.262451171875,3063.42138671875,1370.1502685546875,735.1709594726562,418.1724243164063,8451.806640625,546.382568359375,197.59378051757807,2781.16357421875,471.3575439453125,5023.7265625,536.8184814453125,632.1743774414062,2867.68896484375,354.010498046875,1859.026611328125,175.3708953857422,2640.819091796875,73.43278503417969,15.502197265625,567.89990234375,195.1586456298828,6163.19140625,4057.7939453125,1626.467529296875,3569.2919921875,234.79290771484372,791.0,854.4241943359375,392.1372985839844,1613.7919921875,3133.80908203125,466.93505859375,160.7289276123047,64.09349822998047,1478.5716552734375,542.7205200195312,5692.66552734375,218.91261291503903,355.2251281738281,762.6432495117188,301.1655578613281,50.56622314453125,2050.34375,352.8301086425781,1061.276123046875,8025.119140625,1605.5,1293.3912353515625,3013.072509765625,2868.601806640625,610.712646484375,6592.57763671875,2346.78125,5019.04150390625,781.8138427734375,128.5183868408203,557.9411010742188,279.0465393066406,606.883056640625,840.5311279296875,1383.2576904296875,1719.1988525390625,4158.85888671875,1624.7720947265625,1249.228759765625,1317.88623046875,16080.6630859375,1640.511962890625,459.4874877929688,1724.4261474609375,2921.35595703125,296.1576843261719,177.27854919433594,4226.99365234375,1104.8319091796875,1080.757568359375,113.94026947021484,1827.5377197265625,1157.34912109375,3151.64013671875
2022-01-06,136.7801971435547,3097.91162109375,241.21560668945312,2051.2666015625,3070.402099609375,1326.20947265625,716.608154296875,418.4671936035156,8347.908203125,549.1795043945312,200.11962890625,2800.10009765625,475.552734375,4970.92138671875,542.20458984375,617.6209716796875,2773.797607421875,354.3597412109375,1818.070068359375,175.17132568359375,2612.86328125,72.63375091552734,15.44748592376709,554.9998779296875,192.11163330078125,6091.31640625,3973.402099609375,1541.6514892578125,3409.52490234375,231.05360412597656,784.5,819.4723510742188,387.49749755859375,1597.5032958984375,3005.85791015625,476.8561096191406,161.48849487304688,63.713653564453125,1442.618408203125,540.5223999023438,5632.74267578125,212.715087890625,354.9257507324219,766.8316650390625,298.8742370605469,51.88325881958008,2034.4371337890625,349.3699951171875,1052.096435546875,7757.54833984375,1589.5,1284.3988037109375,2923.13037109375,2791.826904296875,604.9191284179688,6566.58984375,2234.886962890625,5061.90625,766.6251831054688,126.2587661743164,547.1498413085938,279.345703125,595.1796875,823.9481201171875,1352.3077392578125,1715.205810546875,4130.91943359375,1596.30224609375,1215.2359619140625,1309.89599609375,15521.1611328125,1622.045654296875,476.5609130859375,1687.9805908203125,2916.36572265625,291.76568603515625,173.99008178710938,4182.68408203125,1090.859375,1070.279296875,113.62128448486328,1748.600830078125,1161.8389892578125,3164.62255859375
2022-01-07,138.67713928222656,3188.969482421875,242.3115692138672,2048.2705078125,3073.3935546875,1351.1759033203125,714.0095825195312,424.5588684082031,8390.8671875,557.9694213867188,204.9117126464844,2810.564697265625,484.7420959472656,4931.57568359375,548.9871826171875,603.864990234375,2761.810791015625,361.7432861328125,1784.605712890625,175.67027282714844,2609.867919921875,73.51270294189453,15.461164474487305,559.3499145507812,190.66305541992188,6111.28125,3869.53515625,1546.640869140625,3411.5234375,228.0561370849609,785.5,818.6734008789062,394.4821472167969,1607.15625,2972.870361328125,480.8942565917969,160.92881774902344,63.19453430175781,1450.1085205078125,542.520751953125,5608.7734375,213.9146270751953,348.7392272949219,775.2078247070312,306.6449584960937,52.72137451171875,2072.284423828125,354.0883178710937,1051.497802734375,7775.52001953125,1560.0,1318.869140625,2938.121337890625,2785.84423828125,598.5262451171875,6547.8798828125,2230.890869140625,5195.48193359375,764.2269287109375,127.11862182617188,543.35302734375,274.458984375,599.7592163085938,823.9481201171875,1340.826416015625,1733.573974609375,4129.921875,1597.30126953125,1197.2401123046875,1298.41015625,15196.4501953125,1631.029296875,486.2459716796875,1667.0118408203125,2907.383056640625,288.5216979980469,172.3458251953125,4200.83544921875,1079.880615234375,1065.78857421875,114.23932647705078,1763.5889892578125,1163.83447265625,3160.628173828125
2022-01-10,134.38401794433594,3174.2822265625,240.5181121826172,2078.23046875,3070.402099609375,1343.6859130859375,694.8200073242188,426.3275146484375,8325.9287109375,571.3544311523438,207.5573272705078,2859.401611328125,485.5411987304688,4752.45361328125,548.7876586914062,599.0803833007812,2692.890625,362.2420959472656,1743.1497802734375,177.41647338867188,2666.778076171875,73.9122314453125,15.49307918548584,559.1998901367188,188.0655670166016,6143.22607421875,3843.568603515625,1536.6624755859375,3226.657470703125,223.0603485107422,786.5,802.6953735351562,388.09619140625,1620.227294921875,2821.927978515625,490.5660095214844,162.64784240722656,62.47280502319336,1412.157958984375,537.9246826171875,5488.927734375,212.715087890625,338.8608093261719,771.8174438476562,304.2539978027344,52.69144821166992,2050.34375,355.6611328125,1051.098876953125,7641.73388671875,1547.5,1294.8896484375,2878.158935546875,2642.2646484375,597.1278686523438,6570.7490234375,2185.93359375,5185.51318359375,731.851318359375,127.63854217529295,531.5628051757812,278.3484191894531,596.5365600585938,806.3663330078125,1309.8765869140625,1727.58447265625,4069.0556640625,1591.3076171875,1138.7528076171875,1318.88525390625,14202.3369140625,1635.5211181640625,491.7374267578125,1648.0400390625,2856.48095703125,291.9154052734375,166.36680603027344,4235.0009765625,1072.89453125,1052.815673828125,117.09033203125,1768.0853271484375,1152.3607177734375,3157.63232421875
2022-01-11,135.78179931640625,3171.34521484375,241.11593627929688,2089.216064453125,3092.34033203125,1340.190673828125,707.013427734375,428.2926330566406,8467.7919921875,570.5552978515625,206.6588134765625,2904.74853515625,484.5423583984375,4812.505859375,543.6010131835938,609.646484375,2719.859130859375,368.777587890625,1744.148681640625,176.7678680419922,2676.761962890625,74.35169982910156,15.561471939086914,559.3499145507812,187.66598510742188,6139.23291015625,3800.12451171875,1571.5867919921875,3232.6533203125,226.80723571777344,805.0,823.4667358398438,386.94873046875,1640.5380859375,2871.90869140625,493.5572814941406,163.2474822998047,62.44747161865234,1415.1541748046875,547.1167602539062,5524.88134765625,218.71270751953125,338.2621154785156,766.4326171875,306.4457397460937,52.77126693725586,2039.92236328125,363.8396606445313,1047.50634765625,7987.1796875,1572.0,1296.3885498046875,2878.158935546875,2672.177490234375,598.32666015625,6474.07373046875,2205.91455078125,5284.19970703125,740.2449951171875,126.97865295410156,533.3612060546875,278.5478820800781,598.06298828125,809.56298828125,1311.8736572265625,1755.3363037109375,4063.068603515625,1604.7933349609375,1195.7403564453125,1336.8631591796875,14307.244140625,1619.550048828125,492.0369873046875,1655.5289306640625,2844.50439453125,291.76568603515625,169.3563232421875,4208.8427734375,1062.9140625,1047.3271484375,115.7345962524414,1803.5567626953125,1163.83447265625,3194.581298828125
2022-01-12,138.8768310546875,3294.22412109375,243.30789184570312,2089.216064453125,3092.34033203125,1440.55517578125,710.211669921875,427.40826416015625,8470.7900390625,573.1522827148438,211.45091247558597,2913.22021484375,472.0567321777344,4723.46240234375,540.0101928710938,606.2573852539062,2773.797607421875,380.6012268066406,1742.15087890625,174.2732696533203,2671.770263671875,72.89344024658203,15.54323387145996,565.0499267578125,181.12240600585935,6267.0087890625,3784.644287109375,1596.5325927734375,3228.65625,229.3050842285156,813.5,835.4503173828125,400.3691711425781,1644.9619140625,2891.90087890625,499.73919677734375,161.0487518310547,62.726036071777344,1432.63134765625,556.108642578125,5450.9765625,211.4156036376953,343.8498840332031,771.8174438476562,298.67498779296875,53.06060791015625,2075.5751953125,354.40289306640625,1052.096435546875,7989.1767578125,1527.0,1297.8870849609375,2888.152587890625,2613.34912109375,602.7217407226562,6470.955078125,2210.90966796875,5434.720703125,746.04052734375,126.8586654663086,533.161376953125,287.2244873046875,596.3668823242188,818.9531860351562,1321.358154296875,1803.2523193359373,4080.03125,1604.2938232421875,1219.235107421875,1275.937744140625,14482.0869140625,1607.0728759765625,499.8249206542969,1655.5289306640625,2825.541015625,291.7158203125,161.2347869873047,4166.134765625,1068.9024658203125,1046.827880859375,116.73146057128906,1824.5400390625,1180.2967529296875,3137.659912109375
2022-01-13,138.8768310546875,3284.92236328125,244.8024139404297,2107.19140625,3104.306640625,1433.065185546875,705.6141357421875,428.5873718261719,8440.8173828125,577.5474243164062,216.74220275878903,2965.046630859375,484.44244384765625,4644.7724609375,540.2096557617188,594.6943969726562,2737.838623046875,383.0457458496094,1749.642822265625,177.7657012939453,2682.752685546875,73.51270294189453,15.48395824432373,564.2999267578125,176.97647094726562,6177.166015625,3757.17919921875,1596.5325927734375,3150.712890625,225.5582427978516,795.0,836.249267578125,405.2085571289063,1640.1356201171875,2778.944091796875,511.5047302246094,165.42625427246094,62.65006637573242,1405.666748046875,559.7054443359375,5409.0302734375,197.87103271484372,340.2577819824219,775.6065673828125,297.8779602050781,53.84883499145508,2093.676513671875,357.6533508300781,1064.269775390625,7661.23779296875,1519.0,1335.854736328125,2918.133544921875,2600.38671875,605.7183227539062,6480.310546875,2183.935546875,5445.685546875,725.0563354492188,127.67852783203124,526.56689453125,290.8147888183594,588.5647583007812,800.08642578125,1312.37255859375,1803.052734375,4056.083740234375,1609.7879638671875,1180.243896484375,1272.44189453125,13887.6162109375,1585.863037109375,510.6082153320313,1651.0357666015625,2845.50244140625,289.17047119140625,158.79335021972656,4167.20166015625,1067.904296875,1052.31689453125,117.40930938720705,1858.512939453125,1184.786376953125,3135.662841796875
2022-01-14,142.7705535888672,3236.946044921875,241.6141357421875,2114.1826171875,3102.3125,1377.140625,687.22412109375,428.4891662597656,8535.724609375,579.1455688476562,215.1448211669922,3022.852294921875,481.4459228515625,4614.74609375,542.6035766601562,562.99609375,2690.892822265625,387.8350830078125,1717.17724609375,179.2126007080078,2640.819091796875,74.5914077758789,15.670899391174316,558.7498779296875,175.9774627685547,6235.06494140625,3712.73681640625,1576.575927734375,3074.76806640625,222.8105926513672,774.5,806.490234375,402.4147033691406,1649.9891357421875,2655.990478515625,515.0943603515625,165.32630920410156,61.75109100341797,1413.65625,555.5092163085938,5359.095703125,192.9229888916016,328.4834289550781,785.5785522460938,295.885498046875,54.84659194946289,2057.474365234375,354.5077819824219,1078.6385498046875,7417.57958984375,1445.0,1315.372314453125,2858.172119140625,2541.5595703125,603.7205200195312,6439.77001953125,2193.92626953125,5374.91064453125,692.2809448242188,125.21894073486328,518.37353515625,287.922607421875,585.0028076171875,797.48876953125,1279.9251708984375,1817.4278564453125,3982.245849609375,1598.799560546875,1140.25244140625,1258.9586181640625,13418.03515625,1573.8829345703125,522.389892578125,1641.5498046875,2885.42578125,284.4790344238281,153.41221618652344,4202.9697265625,1057.923583984375,1063.79296875,117.90773010253906,1829.0364990234373,1185.7841796875,3086.730224609375
2022-01-17,144.06849670410156,3301.0771484375,243.00901794433597,2120.174560546875,3231.949462890625,1434.5631103515625,691.6217651367188,431.9280700683594,8761.505859375,589.733642578125,214.44595336914065,3133.48095703125,488.5377502441406,4625.099609375,553.9742431640625,561.9991455078125,2726.8515625,392.8738403320313,1751.141357421875,180.6594390869141,2658.79052734375,74.0121078491211,15.839601516723633,558.2999267578125,177.82565307617188,6263.01611328125,3728.716064453125,1596.5325927734375,3091.755615234375,224.55911254882807,777.0,803.0949096679688,410.3971252441406,1717.155029296875,2668.986083984375,517.4873046875,166.8254852294922,62.06764221191406,1430.1346435546875,576.0910034179688,5401.041015625,195.92181396484372,336.9649353027344,810.7074584960938,298.8742370605469,55.006229400634766,2066.25048828125,355.2418212890625,1078.2392578125,7615.30224609375,1458.5,1311.3756103515625,2878.158935546875,2570.474853515625,615.3074340820312,6649.7509765625,2246.876220703125,5375.908203125,689.682861328125,125.87882995605467,521.3711547851562,291.8121032714844,587.0380249023438,809.4780883789062,1293.902587890625,1839.589111328125,3990.228515625,1627.269287109375,1149.250244140625,1255.962158203125,13497.9658203125,1580.3721923828125,526.1839599609375,1649.5380859375,2887.421875,288.9209289550781,159.8396759033203,3909.888916015625,1063.4129638671875,1062.2960205078125,118.505859375,1855.515380859375,1214.7177734375,3146.64794921875
