Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HLMA.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2017-01-03,1129.4307861328125,2705.4189453125,1830.3348388671875,688.0845336914062,483.38818359375,4426.95068359375,589.1227416992188,231.29379272460935,4581.8623046875,2931.602294921875,624.55810546875,2118.313720703125,514.5636596679688,1496.9989013671875,369.8740234375,1767.0379638671875,234.6530914306641,12.466370582580566,4813.119140625,6197.5693359375,2093.82373046875,1583.6165771484375,987.3250122070312,1262.9586181640625,284.27789306640625,1565.464111328125,885.7692260742188,2546.8662109375,662.47705078125,443.8875732421875,46.2901496887207,709.8508911132812,680.8233032226562,3475.4189453125,206.99807739257807,3175.7197265625,340.7208251953125,1108.186279296875,247.2705535888672,64.35961151123047,326.40966796875,1816.4521484375,1022.9458618164062,4755.193359375,1353.7626953125,1748.4644775390625,813.7450561523438,7042.81005859375,1443.867919921875,3114.034423828125,229.8084716796875,222.19790649414065,251.1801300048828,514.8578491210938,649.5387573242188,431.7852783203125,1888.4190673828125,1409.5279541015625,321.8467102050781,1209.3502197265625,1547.1583251953125,676.2354125976562,1032.4896240234375,2213.168212890625,259.7577209472656,154.4806365966797,3490.69873046875,894.5780639648438,201.15167236328125,1817.366455078125,3241.574462890625
2017-01-04,1110.4775390625,2604.62744140625,1818.404296875,689.5802612304688,482.9963684082031,4464.35009765625,583.1417846679688,234.38568115234372,4561.49853515625,2927.46533203125,623.5629272460938,2089.3779296875,516.552978515625,1466.060791015625,378.9353942871094,1776.0078125,232.0624542236328,12.441033363342283,4790.26513671875,6212.52734375,2118.76220703125,1577.62548828125,1006.7820434570312,1310.843505859375,281.73797607421875,1574.985107421875,893.2628784179688,2569.60595703125,666.7555541992188,447.8766784667969,46.604270935058594,714.8358764648438,674.3345947265625,3459.453857421875,200.4298858642578,3165.75244140625,339.1268310546875,1109.247802734375,250.4483184814453,64.50900268554688,306.4176330566406,1809.8828125,1014.6979370117188,4072.3193359375,1357.0687255859375,1798.1370849609375,801.778076171875,7007.5126953125,1433.8895263671875,3087.724609375,228.95098876953125,219.50157165527344,251.1801300048828,511.302490234375,651.5343017578125,438.1715087890625,1912.3233642578125,1410.5255126953125,321.6467590332031,1208.3524169921875,1528.2542724609375,681.6229248046875,1043.452392578125,2191.255859375,258.938720703125,160.3419189453125,3504.022705078125,887.1106567382812,204.4313507080078,1804.4205322265625,3283.584716796875
2017-01-05,1112.9073486328125,2679.47314453125,1817.4097900390625,697.5582885742188,480.1546020507813,4537.65087890625,585.6336669921875,231.9420623779297,4550.0732421875,3016.396240234375,624.630859375,2077.40380859375,514.5636596679688,1447.0987548828125,382.76904296875,1763.0516357421875,232.46099853515625,12.339678764343262,4753.6982421875,6287.3173828125,2129.7353515625,1566.6422119140625,1052.6810302734375,1394.6416015625,289.70654296875,1587.011962890625,899.2581787109375,2590.072021484375,658.198486328125,466.7252502441406,46.692230224609375,720.3191528320312,685.8146362304688,3429.51953125,203.61448669433597,3132.85888671875,342.0159912109375,1107.1246337890625,245.6816864013672,64.3895034790039,313.4290771484375,1820.83203125,1020.9920654296876,4076.30712890625,1323.1834716796875,1927.284423828125,810.2545166015625,6967.025390625,1428.9002685546875,3088.22021484375,219.3470458984375,221.5987091064453,249.28933715820312,511.4718322753906,652.033203125,443.3186645507813,1965.1109619140625,1421.4986572265625,322.8462219238281,1217.3323974609375,1537.208984375,688.70654296875,1046.4422607421875,2209.1845703125,250.81141662597656,168.2895050048828,3516.280517578125,896.0714721679688,208.1581878662109,1822.3453369140625,3344.455322265625
2017-01-06,1103.1876220703125,2649.534912109375,1819.3980712890625,692.0735473632812,479.566650390625,4538.1494140625,603.0781860351562,234.6350555419922,4544.10986328125,2989.510009765625,633.5897216796875,2076.406494140625,511.77838134765625,1470.0526123046875,382.91839599609375,1782.9842529296875,232.6603240966797,12.314342498779297,4712.560546875,6192.5830078125,2138.21435546875,1566.6422119140625,1056.672119140625,1345.75927734375,287.3159484863281,1587.011962890625,908.7501220703124,2596.89404296875,665.6610717773438,465.32904052734375,46.06397247314453,721.3162231445312,684.81640625,3472.42578125,204.51014709472656,3149.803955078125,343.31109619140625,1121.985107421875,247.8663787841797,65.63444519042969,316.1767883300781,1803.3135986328125,1024.899169921875,4086.27587890625,1332.687744140625,1921.3238525390625,811.2518920898438,6942.107421875,1435.8851318359375,3072.83154296875,223.1201019287109,221.7984771728516,250.78204345703125,511.13330078125,656.0242309570312,451.0392761230469,1982.0433349609373,1440.4517822265625,328.1436767578125,1209.3502197265625,1532.2342529296875,694.0941162109375,1056.4083251953125,2206.196044921875,251.3784637451172,167.39540100097656,3510.950439453125,893.08447265625,210.0465087890625,1832.3035888671875,3378.748291015625
2017-01-09,1122.140869140625,2662.508056640625,1817.4097900390625,702.045654296875,476.7248840332031,4594.9951171875,595.60205078125,233.43817138671875,4644.4501953125,2967.7939453125,623.1377563476562,2106.340087890625,510.7836608886719,1497.9967041015625,384.3125,1803.91357421875,229.57144165039065,12.297451972961426,4575.4345703125,6187.59619140625,2164.149658203125,1576.627197265625,1049.6876220703125,1366.7086181640625,297.5256652832031,1599.5396728515625,924.2376098632812,2576.427734375,665.5616455078125,465.9274291992188,46.50374984741211,723.31005859375,695.2982788085938,3471.427490234375,206.50051879882807,3177.713623046875,346.1005859375,1097.571533203125,247.07192993164065,64.95719146728516,319.9667663574219,1804.4085693359373,1031.736083984375,4024.46875,1322.3570556640625,1926.291015625,816.2379760742188,7062.53369140625,1451.8505859375,3110.559326171875,226.72149658203125,223.19656372070312,253.56854248046875,513.334228515625,669.493896484375,447.6078796386719,2016.903076171875,1446.43701171875,334.3407592773437,1217.3323974609375,1530.2440185546875,695.49072265625,1053.41845703125,2205.19970703125,253.20558166503903,168.3888397216797,3564.7763671875,894.0802001953125,206.6674652099609,1857.1990966796875,3313.591064453125
2017-01-10,1202.8148193359375,2658.51611328125,1769.688232421875,720.9930419921875,477.0188598632813,4647.35205078125,608.0621948242188,235.6324005126953,4641.4716796875,3049.486328125,625.1285400390625,2103.34619140625,508.9931945800781,1529.9324951171875,386.0550537109375,1777.0042724609375,225.984375,12.365017890930176,4739.98583984375,6077.90576171875,2160.159912109375,1576.627197265625,1076.6282958984375,1428.5595703125,305.9923400878906,1597.53515625,933.7296142578124,2594.620361328125,668.049072265625,477.4957885742188,47.2325325012207,713.8387451171875,696.296630859375,3459.453857421875,206.20193481445312,3182.697509765625,343.9089050292969,1102.87890625,246.6747131347656,66.31172180175781,321.8616638183594,1821.927001953125,1014.2638549804688,4139.1123046875,1305.8271484375,1975.96337890625,816.2379760742188,7041.771484375,1447.8592529296875,3269.90966796875,228.95098876953125,223.0966796875,257.5491943359375,514.1807250976562,660.0152587890625,450.0861511230469,2094.591552734375,1479.3558349609375,339.9380798339844,1223.3193359375,1519.2994384765625,699.08251953125,1060.39501953125,2187.27099609375,268.3890991210937,173.75343322753906,3554.65087890625,886.6129150390625,208.9532623291016,1870.1448974609373,3473.054931640625
2017-01-11,1248.9835205078125,2692.446044921875,1759.745849609375,718.99853515625,472.119384765625,4564.57763671875,608.0621948242188,233.58775329589844,4682.20361328125,2996.748291015625,627.1195068359375,2111.328857421875,510.5848388671875,1557.87646484375,395.1661987304688,1773.017578125,224.68902587890625,12.314342498779297,4735.4150390625,6132.7509765625,2168.639404296875,1580.620849609375,1052.6810302734375,1377.6822509765625,308.78131103515625,1585.00732421875,941.72314453125,2608.263671875,672.0292358398438,479.7895202636719,47.14457321166992,717.8267211914062,693.3018798828125,3502.360107421875,205.5053253173828,3199.642578125,342.4144592285156,1097.571533203125,244.88722229003903,66.07268524169922,322.5249328613281,1806.59814453125,1013.3953857421876,4124.1572265625,1314.50537109375,1968.0157470703125,814.2435913085938,7012.703125,1448.8570556640625,3322.032958984375,229.8084716796875,224.29502868652344,260.1366882324219,513.8421630859375,668.4962158203125,449.8953552246094,2066.704345703125,1508.28466796875,341.837158203125,1226.3131103515625,1520.29443359375,701.7763061523438,1069.364013671875,2192.25146484375,263.0968017578125,169.4816436767578,3573.836669921875,890.0977172851562,211.78567504882807,1871.1407470703125,3447.3349609375
2017-01-12,1273.7689208984375,2570.697509765625,1746.8212890625,719.4971923828125,472.0213317871094,4543.13525390625,615.5385131835938,231.64285278320312,4674.255859375,2980.20361328125,619.1560668945312,2122.304443359375,512.6736450195312,1571.8485107421875,390.3367919921875,1787.967529296875,226.1836395263672,12.381912231445312,4744.55615234375,6097.849609375,2171.1328125,1594.6002197265625,1033.7227783203125,1418.5841064453125,311.2714538574219,1569.47314453125,939.22509765625,2578.7021484375,669.840087890625,477.8947448730469,47.031494140625,715.3342895507812,690.3070678710938,3542.2734375,202.02215576171875,3209.610595703125,342.91265869140625,1086.956787109375,244.29136657714844,65.763916015625,326.78863525390625,1907.32958984375,1031.62744140625,4020.480712890625,1314.0919189453125,1957.0880126953125,810.7532958984375,7109.2509765625,1457.83740234375,3380.11474609375,232.2094573974609,223.69586181640625,258.5443725585937,509.2708740234375,663.5073852539062,448.275146484375,2144.391357421875,1504.2945556640625,338.8385925292969,1216.334716796875,1539.1986083984375,701.5767211914062,1055.411865234375,2203.2080078125,259.6318359375,169.97837829589844,3593.02197265625,892.0889892578125,213.02798461914065,1860.1866455078125,3461.052490234375
2017-01-13,1292.2359619140625,2574.689208984375,1763.722900390625,722.9874267578125,479.27252197265625,4596.48974609375,609.5576782226562,234.6350555419922,4698.59521484375,3008.12353515625,615.1743774414062,2131.284912109375,515.259765625,1607.7764892578125,390.087890625,1795.9404296875,229.3721618652344,12.331232070922852,4712.560546875,6102.83544921875,2192.08056640625,1598.593994140625,1033.7227783203125,1409.6055908203125,315.4549255371094,1589.0159912109375,939.22509765625,2565.05810546875,674.6162109375,487.3688049316406,47.2325325012207,722.8117065429688,692.303466796875,3539.280517578125,207.5951995849609,3237.520263671875,351.6796569824219,1082.7105712890625,246.97259521484372,65.77389526367188,321.2931823730469,1935.797607421875,1038.4644775390625,4029.452880859375,1332.687744140625,1983.9107666015625,814.7421875,7106.13720703125,1460.8310546875,3393.021484375,226.89300537109372,224.29502868652344,263.3211364746094,515.8738403320312,672.9861450195312,447.6078796386719,2120.487548828125,1522.250244140625,343.6362609863281,1233.2974853515625,1545.16845703125,716.84130859375,1081.3233642578125,2206.196044921875,259.56884765625,171.46847534179688,3605.8115234375,886.1150512695312,213.3758544921875,1880.102783203125,3509.06298828125
2017-01-16,1317.5074462890625,2573.691650390625,1755.769287109375,731.4638061523438,472.3152465820313,4563.08154296875,609.5576782226562,230.4958953857422,4731.3798828125,2935.738037109375,611.6903076171875,2150.24267578125,509.888427734375,1633.7244873046875,386.9512023925781,1791.9539794921875,229.6710662841797,12.373465538024902,4707.9892578125,6092.8642578125,2190.0859375,1609.577392578125,1020.7513427734376,1432.5501708984375,320.6344909667969,1584.0052490234375,941.72314453125,2549.1396484375,676.9046020507812,480.5873718261719,47.27022171020508,720.8176879882812,691.30517578125,3555.244873046875,203.2164001464844,3216.587890625,346.89764404296875,1073.15771484375,244.29136657714844,64.42933654785156,324.41998291015625,1919.373779296875,1048.7745361328125,4033.440673828125,1304.174560546875,1955.1014404296875,808.7586669921875,7220.33251953125,1467.816162109375,3463.016357421875,228.09353637695312,225.2937164306641,261.7289123535156,513.8421630859375,671.9884033203125,449.3235473632813,2104.551025390625,1508.28466796875,344.2359619140625,1234.29541015625,1548.153076171875,722.6279907226562,1063.384765625,2210.180419921875,256.166748046875,167.99148559570312,3626.596435546875,890.5953979492188,209.20172119140625,1884.0859375,3455.05126953125
