Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HIK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,III.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TPK.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2015-01-02,1150.98095703125,3186.6689453125,1305.8013916015625,745.8007202148438,474.2664489746094,4563.677734375,467.3277282714844,1055.8016357421875,242.38807678222656,3427.092041015625,2546.680419921875,757.84619140625,1777.3851318359375,407.6793823242188,1619.8670654296875,399.0415344238281,1183.376953125,275.5184020996094,8.810636520385742,9912.4765625,3506.009521484375,1823.34033203125,1092.8763427734375,1678.267822265625,763.0842895507812,295.69140625,1383.9840087890625,1976.95703125,2745.020263671875,608.1124267578125,485.3312072753906,33.310916900634766,452.264892578125,2337.06591796875,212.0213165283203,3571.969482421875,334.8561706542969,1222.0875244140625,244.03805541992188,75.79499816894531,451.6081237792969,1147.9332275390625,984.8970336914062,6727.7373046875,1231.801025390625,1553.9447021484375,1171.5946044921875,5359.779296875,1089.0960693359375,2945.53466796875,296.3923645019531,242.0023956298828,453.3074340820313,466.5268249511719,1092.54248046875,1162.0291748046875,1596.07275390625,913.277099609375,805.7877197265625,1990.5533447265625,1732.7088623046875,236.88803100585935,133.87289428710938,2775.8408203125,913.7562866210938,220.30772399902344,1335.6243896484375,4042.42822265625
2015-01-05,1094.1602783203125,3088.8935546875,1293.88525390625,719.8770751953125,460.9509887695313,4567.16552734375,460.1565551757813,1041.8306884765625,233.96450805664065,3387.883544921875,2546.680419921875,762.3217163085938,1747.4632568359375,387.0694274902344,1602.91064453125,390.4835205078125,1145.525146484375,266.9581298828125,8.641974449157715,9757.1669921875,3491.056640625,1815.365234375,1068.9228515625,1698.2117919921875,766.575439453125,281.1606140136719,1370.4742431640625,2124.580322265625,2749.5654296875,600.06396484375,491.8088684082031,33.11807632446289,440.7092590332031,2270.235595703125,208.14468383789065,3571.969482421875,326.6914367675781,1232.696044921875,240.6651763916016,74.27215576171875,432.3927307128906,1117.2926025390625,986.4152221679688,6712.79833984375,1208.6768798828125,1542.029541015625,1155.6541748046875,5375.3466796875,1078.12548828125,2859.747314453125,292.6209411621094,232.15924072265625,445.693115234375,466.5268249511719,1073.6021728515625,1172.0030517578125,1574.208251953125,899.0397338867188,784.8710327148438,1978.6102294921875,1709.128173828125,228.82373046875,132.78131103515625,2740.69091796875,907.2898559570312,214.89686584472656,1318.7052001953125,4017.574462890625
2015-01-06,1121.842041015625,3080.912353515625,1283.955322265625,715.3902587890625,454.2932739257813,4472.5048828125,454.877685546875,1030.8533935546875,229.62814331054688,3395.823974609375,2520.8525390625,759.8353271484375,1741.4788818359375,388.4102783203125,1597.9232177734375,384.0152282714844,1139.5482177734375,262.6781005859375,8.473311424255371,9684.078125,3464.140869140625,1776.4854736328125,1043.9713134765625,1677.2706298828125,788.5204467773438,282.7530517578125,1357.9654541015625,2142.534912109375,2729.114501953125,589.9287109375,479.15240478515625,32.56525039672852,431.5444946289063,2292.179931640625,205.95785522460935,3555.091064453125,315.4398803710937,1221.02685546875,236.69711303710935,72.53028869628906,430.1210632324219,1114.009521484375,972.42724609375,6712.79833984375,1186.3773193359375,1517.2061767578125,1139.71435546875,5302.70556640625,1063.1654052734375,2920.2451171875,292.7923889160156,233.25294494628903,433.6793518066406,458.5486450195313,1043.69677734375,1173.0009765625,1590.109375,898.9447021484375,764.9503784179688,1966.6669921875,1666.682861328125,225.2956695556641,130.10186767578125,2741.7548828125,895.3517456054688,213.8047637939453,1301.78564453125,3945.587646484375
2015-01-07,1119.899658203125,3046.989501953125,1295.8712158203125,717.3843994140625,453.6078796386719,4463.53662109375,460.8536987304688,1039.8348388671875,229.8773956298828,3384.9052734375,2527.051513671875,774.7537231445312,1756.4395751953125,391.0921020507813,1621.862060546875,391.4785461425781,1130.583251953125,263.9720458984375,8.513470649719238,9766.3017578125,3473.11328125,1803.90087890625,1068.9228515625,1639.3775634765625,796.0014038085938,283.4497375488281,1379.9808349609375,2166.47314453125,2785.92431640625,597.1824340820312,479.5510864257813,33.272342681884766,424.0730895996094,2303.15185546875,205.56028747558597,3551.927001953125,317.73004150390625,1244.3653564453125,239.1772003173828,72.66962432861328,438.4508361816406,1119.481201171875,994.8729248046876,6822.35498046875,1214.87060546875,1530.1141357421875,1135.729248046875,5364.96826171875,1074.1357421875,2938.096435546875,294.67803955078125,228.2816162109375,437.2327575683594,458.7481384277344,1053.6654052734375,1181.9779052734375,1590.109375,912.8974609375,764.4525146484375,2011.4541015625,1675.172119140625,229.32778930664065,131.39190673828125,2759.863037109375,924.2020263671876,214.45008850097656,1316.7142333984375,3976.439697265625
2015-01-08,1147.095947265625,3088.8935546875,1327.647216796875,743.8065185546875,473.0916137695313,4556.20556640625,467.0289611816406,1063.7850341796875,236.30718994140625,3486.650634765625,2531.18408203125,774.324951171875,1801.3236083984375,402.2660827636719,1646.7987060546875,397.3497314453125,1151.5015869140625,270.0437927246094,8.762446403503418,9958.1572265625,3485.0751953125,1843.7767333984373,1088.8841552734375,1611.456298828125,822.4351196289062,291.0634460449219,1428.51513671875,2169.46630859375,2835.915283203125,602.3493041992188,472.0767822265625,33.863746643066406,431.34515380859375,2423.845458984375,208.2441253662109,3645.814208984375,321.3145446777344,1252.8519287109375,242.84762573242188,73.75456237792969,423.0217590332031,1152.310302734375,1011.029541015625,6877.13232421875,1242.125,1528.12841796875,1158.643310546875,5458.36328125,1090.093505859375,3002.56103515625,302.39208984375,250.95069885253903,450.092529296875,464.3328857421875,1087.55810546875,1192.949951171875,1590.109375,921.3450317382812,792.34130859375,2048.279296875,1710.0712890625,263.6638488769531,131.78890991210938,2841.881591796875,937.1348876953124,224.13011169433597,1354.5340576171875,4056.9970703125
2015-01-09,1119.41357421875,3070.93505859375,1343.5355224609375,747.7947998046875,480.1409301757813,4570.6533203125,465.8337097167969,1028.8577880859375,230.27610778808597,3446.44873046875,2422.705078125,769.3517456054688,1807.307861328125,395.9590148925781,1642.8084716796875,390.5830078125,1123.610595703125,267.5554504394531,8.68213176727295,9839.3896484375,3471.11865234375,1817.857177734375,1090.880126953125,1625.4168701171875,813.9564208984375,284.8430480957031,1410.502685546875,2277.19140625,2810.9189453125,598.1759643554688,463.8052062988281,33.40091323852539,429.0540161132813,2452.771240234375,212.22015380859372,3698.56005859375,320.0201110839844,1253.9129638671875,242.15321350097656,73.39620971679688,424.0630493164063,1147.9332275390625,1000.294677734375,6862.19287109375,1220.6514892578125,1448.693603515625,1172.591064453125,5442.79833984375,1087.1015625,2960.41162109375,295.53515625,240.4116058349609,445.5239562988281,461.3410339355469,1073.6021728515625,1178.985595703125,1585.1405029296875,897.0465087890625,780.3889770507812,2043.3031005859373,1679.8880615234375,257.1746826171875,124.74295806884766,2797.144775390625,933.1553955078124,223.2862091064453,1351.548095703125,4039.000732421875
2015-01-12,1107.2725830078125,3099.867919921875,1358.4307861328125,725.36083984375,473.9726257324219,4655.84912109375,468.3237609863281,1017.880615234375,230.6748962402344,3496.080810546875,2390.677001953125,779.795654296875,1824.263671875,393.8732299804688,1658.7679443359375,395.9565734863281,1120.6221923828125,259.79156494140625,8.907015800476074,9793.708984375,3459.156494140625,1837.7952880859373,1087.885986328125,1626.4141845703125,823.4326782226562,278.1250915527344,1413.5050048828125,2373.9443359375,2835.915283203125,598.87158203125,467.69183349609375,33.88945770263672,428.1574401855469,2386.939453125,211.22610473632807,3682.736328125,323.0072937011719,1265.582275390625,242.7484588623047,73.22702026367188,424.3470153808594,1167.630615234375,998.2343139648438,6916.97119140625,1221.064697265625,1457.6298828125,1180.5606689453125,5531.0048828125,1097.0748291015625,2900.409423828125,297.7636108398437,238.92019653320312,443.4934997558594,463.7344970703125,1063.6336669921875,1176.99072265625,1493.70947265625,874.3616943359375,784.8710327148438,2061.218017578125,1694.9798583984375,257.74169921875,123.25438690185548,2852.533203125,945.0935668945312,225.17259216308597,1373.4439697265625,4091.27587890625
2015-01-13,1112.614990234375,3124.811279296875,1421.9833984375,706.9154052734375,480.5325317382813,4700.189453125,473.2041015625,1022.8701782226562,232.2698516845703,3558.1201171875,2434.069091796875,781.2874755859375,1820.2740478515625,393.6248779296875,1659.7652587890625,397.8473205566406,1133.5714111328125,270.54150390625,8.971268653869629,9830.25390625,3464.140869140625,1859.7274169921875,1084.89208984375,1651.3438720703125,829.4176635742188,267.67486572265625,1424.012451171875,2423.817138671875,2849.5498046875,600.3619995117188,487.4240112304688,34.01802444458008,434.3336791992188,2357.0146484375,218.5818328857422,3671.1328125,331.669921875,1281.49462890625,244.930908203125,73.66497802734375,438.2615661621094,1182.9512939453125,1009.5113525390624,7026.52734375,1231.801025390625,1476.49560546875,1190.523193359375,5541.38037109375,1103.0587158203125,2895.94677734375,295.7065734863281,247.5702362060547,453.4766540527344,462.1388244628906,1082.5738525390625,1156.0443115234375,1514.5792236328125,884.2329711914062,800.8074340820312,2085.10498046875,1717.6171875,267.12908935546875,126.62850189208984,2879.162353515625,938.1296997070312,227.3568115234375,1394.343994140625,4104.98876953125
2015-01-14,1012.5718383789062,3028.033447265625,1380.2767333984375,673.0153198242188,481.1199951171875,4663.322265625,466.7301635742188,992.4336547851562,222.84947204589844,3488.635498046875,2412.373291015625,777.3089599609375,1787.359130859375,379.5703430175781,1637.8214111328125,399.4394836425781,1064.84033203125,259.8910217285156,8.874890327453613,9547.041015625,3425.262451171875,1822.841796875,1062.9345703125,1614.4478759765625,813.9564208984375,242.84315490722656,1396.4927978515625,2360.976806640625,2867.728515625,586.3515014648438,482.3414916992188,33.632328033447266,422.8776245117188,2238.31640625,217.6871337890625,3602.56298828125,327.7866516113281,1275.1298828125,241.06202697753903,72.56015014648438,427.1866760253906,1151.21630859375,981.3187866210938,6887.09130859375,1208.6768798828125,1457.6298828125,1182.5533447265625,5453.1748046875,1101.0640869140625,2781.398193359375,292.278076171875,241.7040863037109,440.4477233886719,460.6429138183594,1059.6461181640625,1145.072509765625,1478.8018798828125,841.0462036132812,777.4007568359375,2061.218017578125,1673.2855224609375,269.64910888671875,124.84221649169922,2853.598388671875,936.6376342773438,223.6337127685547,1369.462646484375,4032.14404296875
2015-01-15,1029.083984375,3139.776611328125,1423.9688720703125,668.0299682617188,496.3937377929688,4712.146484375,477.6862182617188,1016.8827514648438,227.23568725585935,3563.083984375,2414.439453125,791.2339477539062,1820.2740478515625,389.9499816894531,1679.7144775390625,398.2454528808594,1076.7933349609375,263.9720458984375,8.762446403503418,9610.990234375,3397.3505859375,1879.66552734375,1118.8260498046875,1640.374755859375,852.85888671875,239.45928955078125,1414.0048828125,2244.275146484375,2913.176025390625,593.1083984375,487.9223327636719,33.439476013183594,433.0387268066406,2282.205322265625,218.1841583251953,3653.19873046875,317.23211669921875,1300.5899658203125,246.1213531494141,73.83419036865234,432.3927307128906,1179.66845703125,987.7163696289062,6872.6484375,1251.6220703125,1445.71484375,1195.5045166015625,5593.2666015625,1099.069580078125,2819.085205078125,292.44952392578125,253.8340759277344,446.0315551757813,466.4271545410156,1077.58935546875,1165.0213623046875,1470.8514404296875,851.487060546875,797.3214721679688,2094.0615234375,1679.8880615234375,276.26434326171875,123.15515899658205,2910.052001953125,946.08837890625,226.26467895507807,1376.429443359375,4090.42041015625
