2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
JMAT.L,JMAT.L,JMAT.L,JMAT.L,ITV.L,IHG.L,III.L,III.L,IAG.L,III.L,III.L,III.L,FRES.L,GLEN.L,GAW.L,FCIT.L
KGF.L,KGF.L,KGF.L,KGF.L,JMAT.L,III.L,INF.L,INF.L,IHG.L,INF.L,INF.L,INF.L,GLEN.L,GSK.L,GLEN.L,FRES.L
LAND.L,LAND.L,LAND.L,LAND.L,KGF.L,ITRK.L,ITRK.L,ITRK.L,III.L,ITRK.L,ITRK.L,ITRK.L,GSK.L,HIK.L,GSK.L,GAW.L
LGEN.L,LGEN.L,LGEN.L,LGEN.L,LAND.L,ITV.L,ITV.L,ITV.L,INF.L,ITV.L,JD.L,ITV.L,HLMA.L,HLMA.L,HIK.L,GLEN.L
LLOY.L,LLOY.L,LLOY.L,LLOY.L,LGEN.L,JMAT.L,JMAT.L,JMAT.L,ITRK.L,JD.L,JMAT.L,JD.L,HSBA.L,HLN.L,HLMA.L,GSK.L
MKS.L,MKS.L,MKS.L,MKS.L,LLOY.L,KGF.L,KGF.L,KGF.L,ITV.L,JMAT.L,KGF.L,KGF.L,IAG.L,HSBA.L,HLN.L,HIK.L
NG.L,NG.L,MRO.L,MNDI.L,MKS.L,LAND.L,LAND.L,LAND.L,JMAT.L,KGF.L,LAND.L,LAND.L,IHG.L,HWDN.L,HSBA.L,HLMA.L
NXT.L,NXT.L,NG.L,MRO.L,MNDI.L,LGEN.L,LGEN.L,LGEN.L,KGF.L,LAND.L,LGEN.L,LGEN.L,III.L,IAG.L,HSX.L,HLN.L
PRU.L,PRU.L,NXT.L,NG.L,NG.L,LLOY.L,LLOY.L,LLOY.L,LAND.L,LGEN.L,LLOY.L,LLOY.L,INF.L,IHG.L,HWDN.L,HSBA.L
PSON.L,PSON.L,PRU.L,NXT.L,NXT.L,MKS.L,MKS.L,MKS.L,LGEN.L,LLOY.L,MNDI.L,MNDI.L,ITRK.L,III.L,IAG.L,HSX.L
RKT.L,RKT.L,PSON.L,PRU.L,PRU.L,MNDI.L,MNDI.L,MNDI.L,LLOY.L,MNDI.L,MRO.L,MRO.L,JD.L,IMI.L,IHG.L,HWDN.L
REL.L,REL.L,RKT.L,PSN.L,PSN.L,NG.L,NG.L,NG.L,MKS.L,MRO.L,NG.L,NG.L,KGF.L,INF.L,III.L,IAG.L
RIO.L,RIO.L,REL.L,PSON.L,PSON.L,NXT.L,NXT.L,NXT.L,MNDI.L,NG.L,NXT.L,NXT.L,LAND.L,ITRK.L,IMI.L,IHG.L
RR.L,RR.L,RIO.L,RKT.L,RKT.L,PRU.L,PRU.L,PRU.L,MRO.L,NXT.L,OCDO.L,OCDO.L,LGEN.L,JD.L,INF.L,III.L
SBRY.L,SBRY.L,RR.L,REL.L,REL.L,PSN.L,PSN.L,PSN.L,NG.L,OCDO.L,PNN.L,PRU.L,LLOY.L,KGF.L,ITRK.L,IMI.L
