Date,AAL.L,ABF.L,ADM.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CNA.L,CPG.L,CPI.L,CRDA.L,DGE.L,EXPN.L,FRES.L,GLEN.L,GSK.L,HMSO.L,HSBA.L,IAG.L,IHG.L,IMI.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MRO.L,NG.L,NXT.L,PRU.L,PSON.L,RKT.L,REL.L,RIO.L,RR.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SN.L,SRP.L,SSE.L,STAN.L,SVT.L,TATE.L,TLW.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2012-01-03,2422.838623046875,1111.924072265625,871.9436645507812,1298.96923828125,304.89862060546875,3034.301513671875,293.2607727050781,648.0232543945312,171.42735290527344,3052.63671875,464.6645812988281,880.1008911132812,467.1298522949219,1239.0638427734375,197.93841552734372,295.3059387207031,4.822478771209717,5928.982421875,2011.0078125,1422.388671875,877.730712890625,1588.893310546875,415.5932312011719,1482.71826171875,1648.406982421875,501.0204162597656,150.68190002441406,13.641995429992676,914.1262817382812,2065.861328125,69.84659576416016,2121.636962890625,248.66212463378903,680.3727416992188,105.30182647705078,26.91394805908203,299.7037353515625,109.5539321899414,683.76953125,2727.315185546875,532.1461791992188,1227.8472900390625,3322.632080078125,521.5916137695312,3293.95703125,259.3905029296875,308.0567932128906,228.93017578125,314.1783142089844,944.3895263671876,624.0186157226562,390.6510620117188,1292.71142578125,1378.509521484375,1510.328857421875,834.9265747070312,1205.1632080078125,517.5407104492188,2329.08642578125,607.4996948242188,186.65036010742188,2079.18701171875,678.1659545898438,1368.6083984375
2012-01-04,2398.095458984375,1101.9512939453125,869.4664306640625,1263.13525390625,302.0637512207031,3018.880615234375,285.0069274902344,640.9889526367188,173.31373596191406,3038.26025390625,461.2880554199219,885.5826416015625,469.5099182128906,1215.1396484375,196.8448638916016,295.2064514160156,4.798993110656738,5887.9033203125,1997.9013671875,1406.45166015625,864.265625,1563.9737548828125,402.5236511230469,1481.2203369140625,1620.7142333984375,496.1580810546875,148.88804626464844,13.5148286819458,901.0347900390624,2056.8876953125,70.54159545898438,2109.4951171875,247.4685516357422,666.0658569335938,104.31121063232422,26.47101593017578,291.9510803222656,110.55817413330078,682.1452026367188,2642.739501953125,530.9083862304688,1222.8726806640625,3308.444580078125,516.6097412109375,3310.799072265625,256.9918518066406,303.29156494140625,222.3361358642578,306.9497985839844,934.4327392578124,624.0186157226562,396.1485595703125,1299.65576171875,1367.13232421875,1527.22119140625,822.1797485351562,1198.354248046875,510.3045043945313,2293.974609375,616.4407958984375,185.87583923339844,2094.14501953125,675.1828002929688,1352.3360595703125
2012-01-05,2382.08544921875,1109.929443359375,858.0718994140625,1257.163330078125,296.68719482421875,2994.010009765625,285.4046630859375,641.8682250976562,168.98887634277344,3006.533447265625,464.8631286621094,879.1041259765625,470.1048583984375,1199.1903076171875,193.76292419433597,289.0438842773437,4.70113468170166,5878.775390625,1990.185302734375,1409.439697265625,851.7980346679688,1614.810302734375,391.8393249511719,1480.2218017578125,1632.064208984375,493.7765197753906,145.0014190673828,13.410778999328612,899.8963623046875,2040.935791015625,68.9530258178711,2086.313232421875,246.07601928710935,674.5443115234375,102.03279876708984,26.227163314819336,289.4928894042969,108.8635482788086,663.7382202148438,2600.949462890625,522.6581420898438,1205.9573974609375,3317.564453125,508.1406555175781,3289.9951171875,258.362548828125,295.8458557128906,217.94015502929688,308.7308044433594,932.44140625,604.08203125,394.8550109863281,1280.80615234375,1360.4957275390625,1522.2528076171875,818.1240234375,1185.5877685546875,495.7064514160156,2308.870361328125,614.4539184570312,183.0877685546875,2085.170654296875,665.2390747070312,1341.2020263671875
2012-01-06,2395.669677734375,1115.9127197265625,836.7685546875,1264.1309814453125,294.73211669921875,3026.840576171875,286.2002868652344,645.385498046875,171.51937866210938,3011.987060546875,457.1171569824219,884.5858764648438,473.079833984375,1246.04150390625,194.8565216064453,285.56500244140625,4.73636531829834,5842.2607421875,1997.9013671875,1408.9415283203125,850.8006591796875,1655.67919921875,392.8331909179688,1495.2034912109375,1619.3526611328125,494.3719787597656,145.9979705810547,13.5726318359375,905.5885009765624,2055.8916015625,70.83942413330078,2117.22216796875,248.36376953125,658.6473999023438,103.22151184082033,26.98361587524414,293.7473449707031,109.3970184326172,659.9486694335938,2566.1240234375,525.958251953125,1222.8726806640625,3316.55126953125,507.14447021484375,3282.564453125,258.8764038085937,296.63995361328125,218.9546356201172,313.3402404785156,937.9176025390624,605.0787353515625,397.1996154785156,1274.8533935546875,1347.2227783203125,1524.2398681640625,817.5446166992188,1198.354248046875,491.9309692382813,2258.863037109375,608.989990234375,185.3595428466797,2140.016845703125,686.1209716796875,1360.9002685546875
2012-01-09,2366.075927734375,1112.9207763671875,817.9425659179688,1228.2974853515625,292.2881774902344,2993.511962890625,287.59246826171875,649.34228515625,163.88198852539062,2984.2255859375,452.1517333984375,889.0712280273438,469.6585693359375,1273.95263671875,195.254150390625,284.372314453125,4.73636531829834,5855.95361328125,1997.9013671875,1410.4356689453125,862.2706909179688,1632.752685546875,396.2124633789063,1433.2783203125,1609.3648681640625,487.6241455078125,143.7058868408203,13.815417289733888,911.8495483398438,2081.814453125,69.84659576416016,2121.636962890625,250.2535858154297,654.9383544921875,102.1318588256836,26.067907333374023,291.6674194335937,109.33433532714844,675.648681640625,2560.154541015625,524.7208251953125,1219.8875732421875,3351.004638671875,506.6462097167969,3280.08740234375,259.2191467285156,297.831298828125,212.36062622070312,313.9687805175781,935.9262084960938,598.59912109375,404.23333740234375,1281.7978515625,1324.943115234375,1518.2781982421875,818.7033081054688,1203.4608154296875,491.36474609375,2271.631591796875,607.9964599609375,182.88128662109372,2167.93896484375,697.0591430664062,1367.752197265625
2012-01-10,2443.699951171875,1128.8768310546875,835.7777099609375,1290.0108642578125,300.10858154296875,3008.932373046875,302.40966796875,646.7041625976562,173.26766967773438,3002.56787109375,467.5445251464844,903.5235595703124,475.6087646484375,1274.94970703125,198.33612060546875,285.7638244628906,4.795079231262207,5924.41796875,2056.986328125,1410.4356689453125,874.2399291992188,1726.451416015625,399.2438049316406,1418.296142578125,1666.5662841796875,500.822021484375,146.39659118652344,14.220047950744627,926.648681640625,2094.77587890625,71.28621673583984,2207.738525390625,253.6353912353516,669.2451782226562,105.99522399902344,27.18268394470215,300.3655090332031,110.46402740478516,683.76953125,2577.0693359375,537.9212036132812,1230.8326416015625,3399.642822265625,515.6134033203125,3396.49072265625,263.5024108886719,303.6887512207031,214.8967742919922,314.7020263671875,939.4113159179688,597.1040649414062,413.9348754882813,1290.72705078125,1358.125732421875,1529.2080078125,826.2355346679688,1223.0362548828125,490.7984008789063,2288.65478515625,609.9832153320312,184.58506774902344,2185.888916015625,720.4270629882812,1408.8619384765625
2012-01-11,2451.947265625,1126.8822021484375,836.7685546875,1276.0755615234375,308.2223815917969,3033.306884765625,306.2879333496094,644.066650390625,175.1080322265625,2952.00390625,458.1734008789063,897.0451049804688,471.3445129394531,1281.9273681640625,200.3243865966797,282.086181640625,4.783336162567139,6011.1396484375,2041.66015625,1393.5025634765625,863.268310546875,1751.3712158203125,394.2245788574219,1443.76611328125,1656.5789794921875,499.7304382324219,152.17674255371094,14.254735946655272,944.2938232421876,2070.84716796875,73.22225952148438,2217.673583984375,254.1327209472656,668.71533203125,108.76895141601562,28.03867530822754,304.52545166015625,111.1230926513672,682.6868286132812,2585.030029296875,544.5217895507812,1225.857421875,3429.029296875,515.6134033203125,3456.426025390625,262.1316833496094,299.9161682128906,219.63092041015625,315.3307189941406,955.3416137695312,601.58984375,413.12646484375,1254.019287109375,1358.599853515625,1519.271728515625,818.7033081054688,1207.7164306640625,484.5060424804688,2217.3681640625,605.5128784179688,185.153076171875,2140.016845703125,712.4719848632812,1395.1580810546875
2012-01-12,2479.115966796875,1134.8604736328125,863.5214233398438,1300.9600830078125,317.6069030761719,3054.198486328125,300.6197509765625,653.738525390625,178.0065460205078,2964.397705078125,467.3111267089844,892.5595092773438,475.5094604492188,1280.930908203125,198.53494262695312,278.8060607910156,4.744193077087402,5983.75390625,2089.858642578125,1394.00048828125,860.2760009765625,1727.4481201171875,397.4547424316406,1449.758544921875,1694.259521484375,495.76116943359375,154.26956176757812,14.27785873413086,977.8760375976562,2081.814453125,72.52729797363281,2256.30908203125,249.7563018798828,679.3128662109375,111.04733276367188,29.01411247253418,298.3800048828125,110.99750518798828,682.6868286132812,2582.04443359375,550.2969360351562,1215.907470703125,3380.390380859375,516.111572265625,3514.380859375,261.4464111328125,283.8332214355469,227.40841674804688,311.4545593261719,950.8611450195312,594.1136474609375,415.1476135253906,1253.0272216796875,1371.8729248046875,1531.195068359375,810.0122680664062,1230.696044921875,407.0480041503906,2218.430908203125,607.0029296875,185.3595428466797,2105.114501953125,728.3819580078125,1402.8665771484375
2012-01-13,2494.155517578125,1124.8880615234375,870.9527587890625,1292.9967041015625,315.9449768066406,3031.31689453125,301.3158264160156,654.1781616210938,185.13784790039065,2944.568115234375,462.8415222167969,879.6023559570312,472.336181640625,1266.9752197265625,202.21331787109372,281.2909545898437,4.77550745010376,6006.5751953125,2075.58837890625,1384.5379638671875,869.7516479492188,1681.5955810546875,397.5541687011719,1432.778564453125,1680.6400146484375,500.822021484375,156.06338500976562,14.27785873413086,990.9677734375,2064.864013671875,73.12298583984375,2236.439697265625,250.55197143554688,673.4839477539062,110.5520477294922,29.362478256225582,299.7037353515625,111.56240844726562,676.731201171875,2583.0390625,546.5841674804688,1210.932373046875,3354.04296875,520.0969848632812,3527.754150390625,261.275146484375,282.0463256835937,228.42295837402344,314.28326416015625,931.4459228515624,596.1071166992188,414.339111328125,1241.1219482421875,1389.886474609375,1532.189208984375,794.367919921875,1216.2274169921875,398.6792602539063,2186.511474609375,606.0094604492188,180.7127227783203,2104.117431640625,726.890380859375,1394.3018798828125
2012-01-16,2517.92822265625,1127.8800048828125,869.9619140625,1294.9879150390625,317.21588134765625,3054.696044921875,303.2052307128906,653.738525390625,183.20558166503903,2964.397705078125,463.8348388671875,877.110595703125,474.0219421386719,1295.8831787109375,206.3887939453125,281.9867553710937,4.77550745010376,5910.7255859375,2087.638671875,1400.474853515625,873.2425537109375,1701.5316162109375,394.3736877441406,1443.76611328125,1677.9158935546875,503.79888916015625,154.86749267578125,14.104442596435549,989.829345703125,2078.822998046875,73.42081451416016,2235.33642578125,245.18087768554688,671.8944702148438,111.64170837402344,29.327640533447266,299.2309265136719,112.25276947021484,680.5211791992188,2593.984619140625,552.7720336914062,1243.76806640625,3363.163330078125,522.5879516601562,3555.4921875,261.7889404296875,281.1528015136719,227.9156951904297,316.0640869140625,933.4371337890624,594.1136474609375,414.7433776855469,1236.16162109375,1391.7825927734375,1539.144287109375,807.694580078125,1215.376220703125,393.0791320800781,2209.91845703125,606.50634765625,181.59039306640625,2092.151123046875,733.8511962890625,1384.0245361328125
