Date,AAF.L,AAL.L,ABF.L,ADM.L,ALW.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BEZ.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCEP.L,CCH.L,CNA.L,CPG.L,CPI.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,EXPN.L,EZJ.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,HSX.L,HWDN.L,IAG.L,IHG.L,III.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,MKS.L,MNDI.L,NG.L,NXT.L,PCT.L,PRU.L,PSH.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WTB.L
2025-01-02,117.0622100830078,2335.736083984375,2059.1591796875,2672.438232421875,1257.5804443359375,1613.5792236328125,794.679443359375,472.9846496582031,10626.646484375,1153.156005859375,266.7997741699219,2949.251708984375,818.11376953125,3899.64208984375,358.9042358398437,3304.241455078125,402.8211669921875,978.0,147.14051818847656,6337.349609375,2772.49365234375,137.13587951660156,25.80363273620605,206.99989318847656,220.3199005126953,5206.47412109375,2546.09912109375,4268.96142578125,1493.90576171875,3482.90283203125,557.1150512695312,280.93975830078125,648.9926147460938,13302.501953125,362.5081176757813,1360.6864013671875,2012.6865234375,2701.69482421875,378.68072509765625,782.7382202148438,1108.51220703125,779.6077880859375,302.4773864746094,132.60626220703125,3618.467041015625,1843.54296875,808.0479736328125,4675.51318359375,95.11904907226562,247.22821044921875,580.914306640625,229.67124938964844,55.00035095214844,179.62313842773438,389.2281188964844,1182.8126220703125,959.3447265625,9694.4365234375,354.5,640.3865966796875,3987.043701171875,1183.03125,1298.5079345703125,5056.24072265625,3678.7265625,4759.9130859375,648.2154541015625,588.3010864257812,401.7506408691406,275.496826171875,323.1350402832031,1278.49951171875,694.4786987304688,2525.522705078125,1730.5316162109375,961.53857421875,992.8135986328124,6847.04296875,1627.977294921875,984.3833618164062,853.2539672851562,2509.273193359375,372.4861755371094,4906.21044921875,1052.748046875,68.83325958251953,2209.442626953125,3002.256103515625
2025-01-03,117.36211395263672,2301.40869140625,2036.1685791015625,2666.44384765625,1255.5810546875,1590.585205078125,793.2797241210938,473.9835815429688,10590.658203125,1152.656005859375,266.3499755859375,2970.231689453125,813.615966796875,3851.646484375,362.10162353515625,3264.2626953125,407.6173095703125,962.0,145.84103393554688,6217.39990234375,2752.50439453125,137.9355010986328,25.59228515625,208.49989318847656,219.12033081054688,5251.443359375,2447.153564453125,4216.9736328125,1474.9195556640625,3448.913330078125,540.1236572265625,279.93994140625,648.4929809570312,13232.541015625,361.4585571289063,1339.1993408203125,1991.7001953125,2673.69775390625,377.98095703125,781.63916015625,1098.5167236328125,782.6062622070312,298.7789001464844,130.04141235351562,3602.4736328125,1820.548583984375,793.2543334960938,4631.537109375,94.13926696777344,243.83056640625,578.916259765625,228.6726837158203,54.320838928222656,178.7240447998047,390.4279479980469,1174.817138671875,951.1503295898438,9516.5390625,357.0,624.7918090820312,4033.032470703125,1138.567626953125,1290.01123046875,5066.64697265625,3648.737060546875,4693.96923828125,647.8156127929688,584.9016723632812,395.6529235839844,276.0961608886719,321.3365173339844,1277.99951171875,694.4786987304688,2564.99951171875,1737.52978515625,971.3380126953124,980.4183959960938,6682.11376953125,1626.477783203125,988.380859375,848.75537109375,2463.304931640625,372.0863952636719,4875.21337890625,1040.2569580078125,68.57344818115234,2195.44580078125,2929.298828125
2025-01-06,118.96160125732422,2346.5244140625,2053.16162109375,2647.4619140625,1257.5804443359375,1642.0718994140625,787.2806396484375,485.271240234375,10708.6201171875,1145.1583251953125,272.69757080078125,2965.236572265625,812.6163940429688,3837.647705078125,361.1023864746094,3250.270263671875,413.7122802734375,953.5999755859376,147.79026794433594,6137.4326171875,2744.5087890625,136.73605346679688,25.39054298400879,207.2998962402344,220.919677734375,5231.45703125,2502.12353515625,4260.96240234375,1458.93115234375,3489.900390625,534.9263305664062,282.4394226074219,643.4968872070312,13302.501953125,366.55657958984375,1348.6934814453125,2018.6826171875,2702.694580078125,376.7812805175781,783.8372802734375,1100.5157470703125,787.6038208007812,296.4798278808594,129.6183319091797,3620.46630859375,1846.542236328125,790.4556274414062,4693.50390625,97.9184341430664,244.4301605224609,579.4158325195312,230.1705474853516,55.71983337402344,177.82492065429688,382.7293395996094,1172.818359375,941.556884765625,9548.5205078125,363.0,636.787841796875,4109.01416015625,1160.549560546875,1287.51220703125,5004.2109375,3664.7314453125,4709.45654296875,639.81787109375,569.9041748046875,391.2545471191406,276.89532470703125,326.5322265625,1290.4947509765625,690.08203125,2575.9931640625,1749.5264892578125,992.7366333007812,989.6148071289062,6767.0771484375,1615.4813232421875,1003.3714599609376,859.7521362304688,2447.315673828125,372.7860107421875,4754.42822265625,1034.26123046875,67.953857421875,2209.442626953125,2960.28076171875
2025-01-07,118.16185760498048,2323.966552734375,2024.173583984375,2638.470703125,1247.5838623046875,1633.07421875,796.0792846679688,483.5731506347656,10664.6337890625,1153.65576171875,265.6002502441406,2959.242431640625,818.11376953125,3785.652587890625,358.3047180175781,3256.266845703125,421.6558227539063,971.4000244140624,145.4412078857422,6157.4248046875,2772.49365234375,138.08541870117188,25.256052017211918,202.1999053955078,221.91932678222656,5186.4873046875,2505.121826171875,4266.96142578125,1470.922607421875,3424.9208984375,537.5250244140625,281.43963623046875,644.49609375,13182.568359375,361.0587463378906,1356.688720703125,2010.6878662109373,2744.689697265625,376.4814147949219,775.3444213867188,1108.51220703125,773.61083984375,304.37664794921875,129.8034210205078,3653.452392578125,1841.5433349609373,787.4569702148438,4727.48583984375,101.47765350341795,240.9326019287109,571.92333984375,229.87095642089844,55.30013656616211,177.42532348632812,380.7296752929688,1158.3267822265625,939.1585693359376,9906.3154296875,358.5,633.98876953125,4017.03662109375,1114.087646484375,1302.006591796875,5041.67236328125,3697.72021484375,4661.49755859375,636.6187744140625,576.5029907226562,389.5552062988281,272.1005859375,319.5379943847656,1299.990966796875,682.2879028320312,2615.47021484375,1743.5281982421875,985.1371459960938,986.0161743164062,6802.0625,1611.9825439453125,986.3821411132812,862.751220703125,2452.3125,370.3873596191406,4806.8037109375,1023.7687377929688,67.55413055419922,2201.444580078125,2935.295166015625
2025-01-08,114.56301879882812,2316.120361328125,2000.1834716796875,2607.50048828125,1255.5810546875,1663.5662841796875,787.8805541992188,471.5862121582031,10750.6064453125,1189.6448974609375,264.9005126953125,2966.23583984375,814.1156616210938,3735.656982421875,345.5152587890625,3256.266845703125,420.05712890625,951.5999755859376,143.69190979003906,6157.4248046875,2768.495849609375,136.18630981445312,25.582677841186523,199.49989318847656,224.71829223632807,5156.50732421875,2524.61083984375,4196.97802734375,1483.912841796875,3454.911376953125,522.3327026367188,281.93951416015625,647.4937744140625,13172.57421875,363.8076477050781,1359.187255859375,2012.6865234375,2693.695556640625,381.179931640625,790.5316162109375,1090.520263671875,755.6198120117188,306.6756896972656,129.301025390625,3632.4609375,1825.5474853515625,786.0575561523438,4781.45703125,97.51851654052734,235.13661193847656,558.4369506835938,221.0835418701172,53.82120132446289,172.330322265625,376.7304382324219,1162.3243408203125,931.3638305664062,9674.4482421875,353.5,614.795166015625,4115.01318359375,1086.610107421875,1298.5079345703125,5108.2705078125,3773.69384765625,4717.44921875,628.8209228515625,577.9027709960938,384.6570129394531,271.7010192871094,314.54205322265625,1306.4884033203125,669.897216796875,2577.99169921875,1750.5262451171875,991.13671875,987.2156372070312,6612.14404296875,1571.4954833984375,1006.8692626953124,820.2634887695312,2381.361328125,369.7876892089844,4838.87060546875,973.5047607421876,66.61477661132812,2197.445556640625,2903.31396484375
2025-01-09,115.56270599365234,2392.621826171875,1965.697509765625,2569.53662109375,1263.5784912109375,1717.5521240234375,781.0816040039062,478.9781188964844,10984.533203125,1186.14599609375,265.75018310546875,2988.21533203125,814.615478515625,3677.662353515625,345.9149475097656,3300.243408203125,422.3552551269531,956.7999877929688,143.39202880859375,6237.39111328125,2796.48046875,132.58799743652344,26.24554252624512,197.99989318847656,226.91751098632807,5141.517578125,2553.594970703125,4214.97412109375,1505.8968505859375,3465.06640625,517.1354370117188,284.9388732910156,668.4774169921875,13393.263671875,365.5569458007813,1348.6934814453125,2060.655029296875,2721.6923828125,382.7794189453125,801.822021484375,1069.5294189453125,758.618408203125,312.6732482910156,130.72889709472656,3647.45458984375,1852.5406494140625,798.0523681640625,4845.4228515625,99.6380615234375,230.2400054931641,549.945556640625,223.1805419921875,53.86116790771485,174.4282684326172,345.2362365722656,1175.31689453125,934.1619262695312,9508.54296875,353.0,620.5932006835938,4163.0009765625,1091.1065673828125,1304.0059814453125,5122.8388671875,3804.68310546875,4801.876953125,642.4171142578125,581.3023071289062,387.3560180664063,262.91070556640625,317.3397827148437,1298.1258544921875,671.2962036132812,2611.97216796875,1769.52099609375,988.1369018554688,1003.6093139648438,6702.10546875,1570.4957275390625,1013.3651733398438,833.7596435546875,2390.35498046875,367.7888488769531,4897.65966796875,972.105712890625,66.49485778808594,2233.4365234375,2898.316650390625
2025-01-10,114.6629867553711,2376.438720703125,1930.711669921875,2525.578857421875,1255.5810546875,1696.5576171875,774.0825805664062,471.2864990234375,10978.53515625,1191.6444091796875,257.953125,2963.23828125,780.1317138671875,3573.671875,340.71923828125,3280.25439453125,424.7533264160156,963.7999877929688,138.24412536621094,6117.44091796875,2742.510009765625,133.68748474121094,25.909303665161133,200.6999053955078,224.5183868408203,5076.5615234375,2445.15478515625,4160.98681640625,1493.90576171875,3456.069091796875,507.5403442382813,281.43963623046875,667.4781494140625,13443.23828125,358.5596923828125,1348.6934814453125,2020.6812744140625,2691.69580078125,371.5829772949219,798.4248657226562,1038.5430908203125,755.1201171875,315.7720031738281,132.5401611328125,3592.478271484375,1835.544921875,796.6528930664062,4783.4560546875,96.61872100830078,230.7396545410156,539.9556274414062,218.98654174804688,52.8419075012207,172.6300506591797,334.93817138671875,1158.3267822265625,917.773193359375,9342.638671875,350.0,602.3992309570312,4079.021728515625,1076.11865234375,1292.010498046875,5150.9345703125,3809.681396484375,4813.86669921875,645.21630859375,579.9025268554688,377.5596618652344,251.72299194335935,303.55108642578125,1279.1312255859375,669.0977783203125,2623.465576171875,1735.5302734375,996.736328125,987.6155395507812,6507.189453125,1540.50537109375,1024.3583984375,811.7659912109375,2359.37646484375,359.4935913085937,4846.35302734375,955.7174072265624,66.13510131835938,2205.443359375,2860.3388671875
2025-01-13,116.06253814697266,2405.371826171875,1962.198974609375,2521.58251953125,1257.5804443359375,1690.55908203125,764.0841674804688,468.2897644042969,10818.5849609375,1181.1475830078125,260.6021423339844,2930.26904296875,776.1336669921875,3539.675048828125,341.3187255859375,3308.2392578125,430.8483276367188,968.0,138.7938995361328,6097.44970703125,2732.515380859375,135.7864990234375,25.707565307617188,200.39990234375,226.7175750732422,5081.55859375,2390.18505859375,4103.00146484375,1483.912841796875,3431.07568359375,493.9472961425781,282.4394226074219,643.9965209960938,13223.3486328125,363.8076477050781,1330.2047119140625,2006.6905517578125,2646.700927734375,368.0840759277344,797.6255493164062,1034.5447998046875,742.6264038085938,304.4765625,132.5401611328125,3553.49462890625,1828.5467529296875,786.4573974609375,4797.4482421875,96.27880096435548,228.04153442382807,532.962646484375,220.9836883544922,53.14168548583984,173.32933044433594,332.5386047363281,1160.32568359375,915.1748657226562,9344.63671875,347.5,595.0017700195312,4049.029052734375,1055.1358642578125,1269.5189208984375,5090.58056640625,3763.697021484375,4880.80908203125,624.6221313476562,567.3046875,382.4578552246094,252.5221405029297,307.5477905273437,1272.1334228515625,670.296875,2661.443359375,1731.5313720703125,986.5369873046876,983.4171752929688,6452.212890625,1545.5037841796875,1014.3645629882812,807.7671508789062,2361.375,359.99334716796875,4843.14599609375,949.5218505859376,66.89457702636719,2191.44677734375,2863.337158203125
2025-01-14,120.16121673583984,2424.496826171875,1954.2021484375,2521.58251953125,1257.5804443359375,1688.5596923828125,768.8834228515625,468.18988037109375,10626.646484375,1186.6458740234375,263.700927734375,2913.28515625,786.628662109375,3461.68212890625,342.5177307128906,3306.240234375,419.9072265625,955.5999755859376,138.54400634765625,6157.4248046875,2706.529296875,132.73793029785156,25.534645080566406,202.49989318847656,229.31661987304688,5041.58544921875,2335.715087890625,4081.0068359375,1511.8924560546875,3454.0693359375,493.5474853515625,282.9393310546875,654.4883422851562,12433.74609375,367.4562072753906,1292.7271728515625,2000.6942138671875,2662.698974609375,366.9844055175781,798.5248413085938,1034.5447998046875,735.6299438476562,309.2746276855469,133.13510131835938,3578.48388671875,1821.54833984375,800.4512329101562,4761.46826171875,90.1601333618164,229.24072265625,531.9636840820312,223.4801177978516,53.58137512207031,172.82984924316406,327.5395202636719,1146.333740234375,910.1782836914062,9022.822265625,351.5,602.9990844726562,4145.00634765625,1113.08837890625,1289.511474609375,5060.4033203125,3761.697998046875,4913.7802734375,626.62158203125,566.3047485351562,377.3597412109375,251.5232391357422,307.5477905273437,1273.133056640625,680.888916015625,2671.437255859375,1717.53515625,990.1367797851562,977.6194458007812,6432.2216796875,1543.5045166015625,1021.85986328125,828.7610473632812,2336.392333984375,356.3954162597656,4788.63232421875,936.9307861328124,67.35427856445312,2167.452880859375,2842.34912109375
2025-01-15,124.05995178222656,2400.9580078125,1982.6904296875,2597.509765625,1277.57373046875,1696.5576171875,780.6815795898438,485.271240234375,10644.640625,1187.6456298828125,280.8445129394531,2902.29541015625,797.6234741210938,3593.670166015625,356.306396484375,3330.2275390625,422.6549682617188,962.0,140.54319763183594,6197.408203125,2708.5283203125,133.3876190185547,25.67874526977539,209.99989318847656,238.9131317138672,5196.48095703125,2359.201904296875,4296.9541015625,1485.9114990234375,3517.05224609375,505.941162109375,287.4383544921875,665.479736328125,12793.5634765625,368.6057434082031,1326.706787109375,2026.6773681640625,2709.693603515625,366.8844299316406,803.7205200195312,1047.5390625,774.110595703125,316.8715209960937,132.73846435546875,3632.4609375,1839.5439453125,809.647216796875,4777.458984375,92.85954284667967,238.2344512939453,556.4390258789062,232.26754760742188,57.07884979248047,179.42332458496094,337.1377868652344,1181.8131103515625,934.9613037109376,9246.693359375,361.5,612.3958740234375,4262.9775390625,1162.04833984375,1294.509521484375,5016.6982421875,3827.6748046875,4929.76708984375,626.821533203125,563.3052978515625,380.7584228515625,256.717529296875,317.13995361328125,1288.628662109375,705.07080078125,2679.932373046875,1739.5291748046875,1012.4353637695312,1010.1068115234376,6642.13134765625,1581.9920654296875,1055.838623046875,880.2462768554688,2457.308837890625,360.3930969238281,4771.5302734375,979.3005981445312,69.11307525634766,2219.439697265625,2970.27490234375
