Date,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HSBA.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JD.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2019-01-02,1663.9005126953125,2068.429443359375,2017.51171875,768.715576171875,441.0302429199219,365.0018005371094,5892.06884765625,463.7578125,150.33975219726562,2465.3017578125,3583.4423828125,527.8159790039062,2353.706787109375,505.2313232421875,1722.80615234375,239.2550811767578,2458.694580078125,135.70008850097656,14.377094268798828,1712.9998779296875,6005.19482421875,2755.5625,1881.2742919921875,1100.4534912109375,281.5746459960937,1505.713623046875,1701.6224365234375,1352.19921875,644.0732421875,604.2640380859375,52.56306076049805,781.7866821289062,613.4884033203125,4807.9921875,124.4873046875,71.04851531982422,2715.5361328125,208.5642852783203,795.8427124023438,228.9588928222656,50.84356689453125,1791.8826904296875,375.00201416015625,770.7905883789062,4168.54296875,810.5999755859375,1135.46728515625,1930.5545654296875,940.747314453125,6255.77587890625,1614.2833251953125,3668.04150390625,438.5640563964844,277.6746520996094,330.9400329589844,260.4194641113281,418.96624755859375,598.3239135742188,596.169677734375,2110.985107421875,1379.9259033203125,458.6922302246094,1426.4237060546875,6152.41259765625,1065.0150146484375,605.10107421875,952.4730834960938,1843.1617431640625,241.41232299804688,136.155029296875,4418.814453125,744.4511108398438,154.1857147216797,847.19091796875,3946.476806640625
2019-01-03,1629.073974609375,2098.37744140625,1996.6097412109373,736.3863525390625,440.1520080566406,360.6856994628906,5998.87158203125,463.8575134277344,149.9207305908203,2471.268798828125,3597.929443359375,521.1177368164062,2310.785400390625,506.62548828125,1620.965576171875,239.35476684570312,2418.81298828125,136.99722290039062,14.324337005615234,1626.7498779296875,5875.51611328125,2734.60400390625,1848.42041015625,1084.4757080078125,268.1686706542969,1512.3372802734375,1676.1729736328125,1312.2225341796875,638.8936157226562,580.5086059570312,51.95362854003906,772.208984375,605.09814453125,4599.38330078125,124.93563842773438,69.8090591430664,2657.69482421875,211.4555206298828,798.2332763671875,226.3740081787109,51.04294967651367,1758.4564208984375,362.0909423828125,771.3885498046875,4341.1943359375,791.0,1108.1763916015625,1937.0211181640625,944.7394409179688,6195.53466796875,1600.3070068359375,3620.830810546875,438.1144714355469,270.4017028808594,323.7479553222656,261.9132385253906,413.20611572265625,571.1727294921875,597.5662841796875,2081.08447265625,1339.501220703125,441.1981506347656,1393.4832763671875,5942.67236328125,1060.0335693359375,585.4432373046875,937.5128784179688,1857.615966796875,251.2426300048828,137.00070190429688,4395.88525390625,747.83935546875,155.30018615722656,839.4166870117188,3932.753173828125
2019-01-04,1708.6494140625,2155.279296875,2008.5537109375,783.88232421875,445.4478454589844,372.3587036132813,6077.72509765625,471.8378601074219,154.7498016357422,2568.726806640625,3676.572998046875,529.0888671875,2351.710693359375,518.676513671875,1695.3492431640625,236.6133270263672,2434.765380859375,136.99722290039062,14.394681930541992,1712.2498779296875,6149.83935546875,2735.102783203125,1888.3758544921875,1105.446533203125,283.2690124511719,1523.978759765625,1662.699951171875,1340.206298828125,653.9345703125,590.689453125,53.47718811035156,802.53857421875,615.8855590820312,4819.970703125,126.03157043457033,72.74775695800781,2786.342041015625,214.7454071044922,807.1976318359375,233.830322265625,52.63804244995117,1859.8316650390625,383.0277404785156,780.4554443359375,4468.93505859375,816.7999877929688,1144.564208984375,1995.718994140625,961.1072387695312,6194.49658203125,1628.2596435546875,3770.41455078125,448.55413818359375,283.3008117675781,334.5361633300781,258.9256591796875,439.1267700195313,592.3345336914062,598.9630126953125,2186.733642578125,1368.447021484375,458.89208984375,1429.9176025390625,6102.474609375,1066.01123046875,606.498046875,968.4309692382812,1878.5496826171875,248.7850646972656,139.68698120117188,4428.4140625,758.4031982421875,157.21087646484375,849.7825317382812,4014.2392578125
2019-01-07,1722.6583251953125,2150.288330078125,1970.2337646484373,807.63037109375,448.0457763671875,374.0262145996094,5993.880859375,464.8550720214844,155.06906127929688,2460.826904296875,3668.294189453125,530.6831665039062,2346.7197265625,518.676513671875,1697.3460693359375,237.21144104003903,2426.78955078125,130.96055603027344,14.469426155090332,1744.4998779296875,6279.51904296875,2713.64501953125,1877.3876953125,1098.4561767578125,286.40869140625,1519.763671875,1684.1572265625,1368.1895751953125,639.5909423828125,595.4805297851562,52.89316177368164,800.5432739257812,618.2828979492188,4861.8916015625,125.63304901123048,74.96676635742188,2787.3388671875,219.7302398681641,811.7794189453125,233.830322265625,53.18635940551758,1828.0489501953125,386.8662109375,776.071533203125,4565.73779296875,837.0,1153.2476806640625,1997.7086181640625,974.2811889648438,6153.98974609375,1628.2596435546875,3807.687255859375,456.59613037109375,277.7431945800781,337.9324951171875,264.60211181640625,434.3830871582031,597.5252075195312,602.1552734375,2073.11083984375,1382.421142578125,466.6393737792969,1417.4400634765625,6192.36376953125,1051.0670166015625,593.3262329101562,968.0319213867188,1844.656982421875,255.21263122558597,138.9905242919922,4378.28564453125,750.2313232421875,156.63372802734375,863.1380004882812,4100.01318359375
2019-01-08,1707.2879638671875,2227.1552734375,2010.5443115234373,811.8211059570312,450.3439331054688,380.5002746582031,5887.078125,473.6334533691406,156.9647979736328,2492.651123046875,3736.590087890625,544.83203125,2390.639892578125,517.6803588867188,1733.7890625,230.28302001953125,2432.771484375,130.96055603027344,14.570549964904783,1774.4998779296875,6294.48193359375,2729.613525390625,1885.379150390625,1145.8896484375,287.95361328125,1524.5804443359375,1596.3314208984375,1389.17724609375,646.5634765625,595.8797607421875,54.26437377929688,804.7333374023438,639.458251953125,4944.736328125,130.91343688964844,74.76686096191406,2887.064697265625,224.11688232421875,826.5208129882812,237.6082000732422,53.53528594970703,1860.3797607421875,407.91937255859375,781.2526245117188,4805.2529296875,860.0,1178.885009765625,2029.544189453125,1003.0247192382812,6263.04638671875,1645.2313232421875,3838.001220703125,469.5831909179688,291.6029357910156,344.1257629394531,265.3988037109375,442.5151977539063,598.9227294921875,614.3259887695312,2200.68701171875,1391.4044189453125,471.2378234863281,1406.9591064453125,6407.0986328125,1082.4495849609375,611.6868896484375,982.3939208984376,1835.1871337890625,262.2704162597656,139.68698120117188,4372.42041015625,753.4204711914062,154.8424835205078,871.5103149414062,4166.0595703125
2019-01-09,1757.095947265625,2264.091064453125,2028.460205078125,844.7490234375,449.8442993164063,385.0126037597656,5899.05615234375,485.6039733886719,156.46591186523438,2483.202880859375,3865.9375,541.045654296875,2417.590087890625,520.767822265625,1787.20556640625,231.77838134765625,2453.709228515625,130.4117889404297,14.548565864562988,1805.9998779296875,6409.19873046875,2724.124267578125,1898.864013671875,1147.8868408203125,292.1897277832031,1542.4434814453125,1568.386962890625,1413.1632080078125,643.5752563476562,599.4729614257812,54.48020935058594,813.1140747070312,651.0447387695312,4944.736328125,137.3395538330078,79.08495330810547,2944.90576171875,229.89926147460935,822.7359619140625,239.19891357421875,53.64494323730469,1913.533447265625,411.17620849609375,786.9319458007812,4843.17578125,876.2000122070312,1182.1923828125,2095.2060546875,1018.4943237304688,6287.9736328125,1630.755615234375,3881.73388671875,466.3364868164063,296.68023681640625,348.5209045410156,271.4736022949219,448.952880859375,607.7069091796875,614.5255737304688,2256.5009765625,1424.8419189453125,481.8341674804688,1422.4307861328125,6521.95654296875,1119.8096923828125,613.7823486328125,982.59326171875,1832.19677734375,266.9335021972656,148.34283447265625,4368.68701171875,754.4168090820312,152.05612182617188,878.0885009765625,4254.4072265625
2019-01-10,1759.0418701171875,2243.12744140625,2027.464599609375,841.7556762695312,446.2472229003906,388.34771728515625,5912.03173828125,490.1926574707031,158.98020935058594,2491.158935546875,3864.9033203125,539.2522583007812,2437.554443359375,524.8510131835938,1739.280517578125,232.8251037597656,2471.656005859375,132.50714111328125,14.733224868774414,1825.4998779296875,6498.978515625,2728.11669921875,1910.3509521484373,1140.3973388671875,294.18316650390625,1541.440185546875,1591.84033203125,1409.1654052734375,648.8546752929688,593.683837890625,54.16279983520508,821.095458984375,647.448974609375,5050.53857421875,136.84136962890625,77.40570068359375,2945.903564453125,226.8086853027344,819.7481689453125,240.4913482666016,54.61196899414063,1941.48046875,411.0598449707031,798.48974609375,4777.30908203125,872.5999755859375,1198.7327880859375,2100.180419921875,1019.4923095703124,6332.63525390625,1638.7420654296875,3858.873291015625,463.0397338867188,294.9649963378906,353.815185546875,274.8595886230469,448.2752380371094,619.8850708007812,612.530517578125,2236.567626953125,1437.3187255859375,485.5328979492188,1443.393310546875,6501.9814453125,1147.7056884765625,619.6697998046875,983.7901611328124,1845.6539306640625,272.7309265136719,148.143798828125,4364.42138671875,765.578857421875,152.99151611328125,877.0917358398438,4258.6953125
2019-01-11,1765.267822265625,2239.135009765625,2015.52099609375,834.3717651367188,452.8420104980469,390.8981628417969,5701.4248046875,495.7789306640625,156.86500549316406,2532.926025390625,3880.42431640625,542.639892578125,2437.554443359375,519.07470703125,1748.7655029296875,232.32667541503903,2501.56689453125,134.90184020996094,14.658483505249023,1813.4998779296875,6503.96630859375,2741.59033203125,1910.3509521484373,1163.364990234375,294.6815185546875,1530.6016845703125,1591.3414306640625,1401.1700439453125,645.0693969726562,608.8553466796875,54.8103141784668,823.6893920898438,656.0390625,5028.58056640625,138.38563537597656,79.20490264892578,2916.982421875,225.51258850097656,829.9076538085938,241.9825897216797,54.54219055175781,1934.3563232421875,397.334716796875,798.5895385742188,4747.36865234375,861.2000122070312,1196.665283203125,2191.709228515625,1025.48046875,6415.72705078125,1635.747314453125,3843.96435546875,469.3834838867188,298.8072509765625,345.7240295410156,274.660400390625,446.2422790527344,606.9083862304688,614.9246215820312,2134.90576171875,1445.802978515625,479.4849853515625,1438.9012451171875,6397.1103515625,1150.1961669921875,615.5787353515625,986.183837890625,1843.66015625,274.7475280761719,155.2575225830078,4372.95263671875,762.3896484375,152.09585571289062,876.4937133789062,4252.69091796875
2019-01-14,1733.943115234375,2221.16552734375,2018.5068359375,812.6195068359375,445.8475036621094,392.663818359375,5498.79931640625,495.37994384765625,158.76072692871094,2486.1865234375,3880.42431640625,547.4227294921875,2411.601318359375,518.676513671875,1755.2557373046875,227.8904571533203,2512.53466796875,133.40512084960938,14.539772033691406,1795.4998779296875,6414.18603515625,2719.13427734375,1874.890625,1176.3468017578125,290.34576416015625,1496.08056640625,1535.951416015625,1395.173583984375,636.9015502929688,603.2659301757812,50.95795440673828,813.1140747070312,643.6534423828125,4905.8095703125,137.19009399414062,84.2426528930664,2920.9716796875,223.3192901611328,847.0397338867188,243.8715362548828,55.3696403503418,1942.028076171875,394.194091796875,783.643798828125,4639.587890625,878.0,1191.2899169921875,2217.57568359375,989.65087890625,6382.4912109375,1612.7857666015625,3837.504150390625,464.6880798339844,296.2000427246094,341.6284484863281,272.4694519042969,440.143310546875,590.9370727539062,618.715576171875,2156.833251953125,1437.3187255859375,475.8362731933594,1421.4329833984375,6317.2099609375,1144.2186279296875,611.6868896484375,972.4202270507812,1836.1842041015625,274.7475280761719,156.20269775390625,4296.69287109375,763.3861083984375,148.4736328125,880.8793334960938,4191.791015625
2019-01-15,1746.2005615234375,2227.1552734375,2054.33837890625,824.3935546875,441.4509582519531,393.644775390625,5546.7099609375,504.5573120117188,158.7407684326172,2490.163818359375,3854.554931640625,552.80322265625,2426.573974609375,520.5684204101562,1760.7467041015625,229.23626708984372,2525.495849609375,134.40293884277344,14.566152572631836,1685.9998779296875,6389.24755859375,2748.077392578125,1875.390380859375,1168.3580322265625,290.7943115234375,1513.94287109375,1554.41455078125,1411.1644287109375,639.2921142578125,594.0830688476562,54.63814163208008,833.865966796875,645.8507690429688,4899.81982421875,136.7915802001953,85.04230499267578,2933.935791015625,220.62750244140625,863.5739135742188,243.27500915527344,55.3696403503418,1961.2073974609373,393.49615478515625,794.80322265625,4650.56591796875,896.0,1198.319091796875,2189.71923828125,974.6805419921876,6493.626953125,1629.2584228515625,3878.2548828125,468.9338989257813,303.9532165527344,341.8282775878906,273.3657531738281,434.3830871582031,602.9155883789062,620.9102783203125,2174.77294921875,1432.8270263671875,482.7339172363281,1439.8997802734375,6317.2099609375,1150.6944580078125,612.5850219726562,967.4334106445312,1848.644287109375,274.8734436035156,154.4615936279297,4350.02197265625,772.7540893554688,147.9163360595703,877.6898193359375,4147.18798828125
2019-01-16,1735.4996337890625,2174.24658203125,2062.30126953125,821.4002075195312,447.1465148925781,404.4348449707031,5485.8232421875,504.15826416015625,161.03555297851562,2458.34130859375,3932.16357421875,558.5823974609375,2402.61767578125,513.89599609375,1755.2557373046875,227.0929718017578,2516.522705078125,134.85191345214844,14.341920852661133,1778.9998779296875,6439.1259765625,2713.146240234375,1872.3934326171875,1191.3258056640625,286.9568786621094,1489.6572265625,1560.4027099609375,1412.1634521484375,644.6710815429688,609.4542236328125,54.407318115234375,835.8612670898438,653.641845703125,4946.7333984375,136.7417755126953,88.16092681884766,2940.916748046875,224.41595458984372,861.3827514648438,251.82493591308597,55.95783233642578,1991.894287109375,385.3541564941406,797.4934692382812,4664.5380859375,893.4000244140625,1213.2049560546875,2308.10888671875,916.395263671875,6221.5009765625,1633.7506103515625,3855.394775390625,469.48333740234375,303.9532165527344,345.0246887207031,271.8719787597656,435.5690002441406,591.9353637695312,624.5016479492188,2146.865966796875,1425.84033203125,482.3839721679688,1443.393310546875,6307.22216796875,1160.1588134765625,610.4893798828125,967.4334106445312,1894.0006103515625,277.772216796875,163.16714477539062,4265.22998046875,791.0912475585938,147.478515625,873.9022827148438,4094.00927734375
2019-01-17,1741.3363037109375,2325.984130859375,2052.34765625,821.7992553710938,444.9481506347656,399.0397338867188,5499.79833984375,496.4772644042969,160.0178680419922,2498.616943359375,3911.4677734375,561.372314453125,2407.608642578125,508.9161987304688,1757.75146484375,231.13038635253903,2517.519775390625,134.4528350830078,14.394620895385742,1793.9998779296875,6344.35888671875,2727.11865234375,1905.85595703125,1167.359375,289.2992553710937,1487.048095703125,1546.929443359375,1384.18017578125,636.4035034179688,614.6444091796875,54.40107727050781,815.1093139648438,652.8425903320312,4936.75244140625,128.62193298339844,86.88150787353516,2970.83447265625,224.21653747558597,850.2269287109375,249.5383453369141,55.95783233642578,1979.29052734375,377.67724609375,792.2125244140625,4634.59912109375,900.2000122070312,1198.319091796875,2303.135009765625,905.2172241210938,6095.82373046875,1643.7337646484375,3873.284912109375,466.2865295410156,296.4058532714844,343.72625732421875,270.3781433105469,433.36663818359375,623.8778686523438,622.1072998046875,2164.806640625,1423.344970703125,482.3839721679688,1443.89208984375,6287.24609375,1122.0848388671875,601.7084350585938,957.8590087890624,1922.9093017578125,276.1337890625,161.17727661132812,4289.759765625,805.2428588867188,147.59793090820312,860.5467529296875,4066.560546875
2019-01-18,1771.688232421875,2346.948486328125,2090.169677734375,852.9310913085938,452.6420593261719,409.4375915527344,5559.6865234375,508.74700927734375,165.48550415039062,2527.456787109375,3974.58984375,569.1442260742188,2416.592529296875,521.1659545898438,1784.7093505859375,238.1584930419922,2538.457763671875,136.84754943847656,14.461617469787598,1762.4998779296875,6424.162109375,2748.077392578125,1941.3160400390625,1170.355224609375,296.7746276855469,1503.9078369140625,1544.4344482421875,1412.1634521484375,649.2529907226562,617.2395629882812,55.09356689453125,836.85888671875,675.4165649414062,5060.51904296875,132.15878295898438,89.16047668457031,3042.637451171875,226.1107635498047,855.008056640625,255.5033416748047,57.82209396362305,1987.510009765625,394.4267578125,801.77783203125,4736.392578125,883.0,1242.977294921875,2382.724853515625,923.5811157226562,6209.037109375,1664.1993408203125,3901.114990234375,474.4284057617188,307.109375,355.0139465332031,276.7516784667969,447.5975646972656,631.4641723632812,629.0905151367188,2212.6474609375,1457.2818603515625,489.03173828125,1452.376953125,6397.1103515625,1129.558837890625,622.364013671875,980.5985107421876,1948.8270263671875,282.939453125,166.35089111328125,4328.15771484375,827.965087890625,148.61293029785156,872.9056396484375,4134.32275390625
2019-01-21,1765.65673828125,2353.9365234375,2100.123046875,828.7840576171875,453.9411315917969,411.3013000488281,5629.556640625,513.7346801757812,164.58749389648438,2550.826416015625,3947.68505859375,559.9773559570312,2445.53955078125,519.9708251953125,1782.21337890625,237.2612762451172,2548.427978515625,133.85414123535156,14.519676208496094,1784.2498779296875,6513.94140625,2761.550537109375,1955.30029296875,1159.869873046875,295.08026123046875,1497.2843017578125,1544.4344482421875,1406.167236328125,647.460205078125,620.43359375,55.38054656982422,835.2626953125,675.6163940429688,5068.50439453125,133.2049102783203,88.1209487915039,3014.7138671875,217.0384521484375,841.8600463867188,256.3981018066406,57.82209396362305,1997.3734130859373,401.9873046875,794.3049926757812,4716.43310546875,885.5999755859375,1242.977294921875,2375.7607421875,932.3638916015624,6231.88623046875,1669.6903076171875,3907.077880859375,476.9259338378906,308.7560119628906,347.52203369140625,271.8719787597656,449.8000183105469,626.8724365234375,626.0977172851562,2158.825927734375,1459.277587890625,485.2329711914063,1468.34814453125,6477.0126953125,1122.0848388671875,624.1600952148438,981.3963623046876,1928.391845703125,278.1504211425781,164.9082489013672,4324.42431640625,811.6209716796875,148.43382263183594,870.912353515625,4164.34423828125
2019-01-22,1747.1732177734375,2381.887939453125,2107.090087890625,812.0206298828125,450.044189453125,408.5547790527344,5545.7119140625,510.343017578125,162.89137268066406,2515.523193359375,3917.676513671875,554.9952392578125,2405.612548828125,510.5096130371094,1773.227294921875,237.2612762451172,2535.466064453125,133.80426025390625,14.537540435791016,1746.7498779296875,6489.0029296875,2747.577880859375,1942.8143310546875,1232.7674560546875,289.0002136230469,1496.08056640625,1552.9176025390625,1410.16455078125,638.7939453125,618.0380859375,54.78163146972656,835.2626953125,683.6071166992188,4985.65966796875,132.05918884277344,88.26089477539062,3035.65625,221.4250640869141,832.4971313476562,255.0063018798828,57.25384140014648,1995.7296142578125,394.0778198242188,796.1981201171875,4739.3857421875,915.0,1242.14990234375,2377.750732421875,918.5910034179688,6262.00830078125,1673.6834716796875,3822.0986328125,471.3814392089844,305.3940734863281,348.9205322265625,275.556640625,441.83740234375,622.4803466796875,623.9029541015625,2142.87939453125,1453.787841796875,477.8356323242188,1441.39697265625,6427.07373046875,1119.0950927734375,621.8651123046875,965.4388427734376,1937.86181640625,277.772216796875,164.56002807617188,4289.2265625,809.0298461914062,147.4386749267578,876.4937133789062,4211.51904296875
