Date,AAF.L,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BEZ.L,BKG.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,EXPN.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,HWDN.L,IAG.L,IHG.L,III.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,NG.L,NXT.L,OCDO.L,PRU.L,PSH.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2023-01-03,114.162353515625,3201.39111328125,1625.26416015625,2159.0498046875,1560.9112548828125,520.1586303710938,447.74896240234375,11525.50390625,861.5086669921875,163.3889617919922,3333.482177734375,667.4028930664062,4021.681884765625,423.0257568359375,2795.324462890625,482.48284912109375,2065.399169921875,114.61358642578124,1936.1839599609373,91.8437728881836,18.023622512817383,377.9999084472656,232.6207275390625,4133.1806640625,3608.59326171875,2818.310546875,1775.8443603515625,2822.313720703125,227.5836639404297,720.0,900.6129150390625,543.5542602539062,1449.0086669921875,1619.019287109375,2029.4171142578125,322.7978515625,528.5813598632812,581.3883056640625,128.78701782226562,62.14361953735352,1338.8096923828125,1303.234130859375,625.8787231445312,4086.713134765625,129.65341186523438,239.10006713867188,639.55078125,251.32244873046875,47.04624938964844,126.61000061035156,1555.6326904296875,997.2401733398438,5949.546875,648.5999755859375,1176.1549072265625,2918.54052734375,944.1795654296876,6037.03857421875,2305.308837890625,5826.60302734375,522.4838256835938,98.89337921142578,520.8366088867188,224.43435668945312,442.7662963867188,743.0076293945312,783.8897705078125,2363.72802734375,3131.44873046875,1597.22998046875,716.4778442382812,1121.4351806640625,10706.7197265625,1661.300537109375,639.3511962890625,1109.335205078125,2669.825439453125,228.69178771972656,104.37457275390624,4479.1328125,922.9189453125,1003.8539428710938,85.70030212402344,1657.94775390625,833.0326538085938,2672.91259765625
2023-01-04,118.55705261230467,3116.138671875,1670.715576171875,2218.940185546875,1552.916748046875,525.1561279296875,455.628662109375,11593.4541015625,849.3184204101562,167.86317443847656,3340.46337890625,682.3894653320312,4135.58154296875,443.9676818847656,2857.26513671875,465.0142517089844,2180.31005859375,120.40416717529295,1964.64990234375,89.50621795654297,17.903467178344727,401.9999084472656,236.81748962402344,4322.91259765625,3654.543212890625,2842.296142578125,1836.73583984375,2890.27294921875,228.83274841308597,736.0,966.3408813476562,505.8130187988281,1445.812744140625,1604.037841796875,2075.403564453125,322.3481140136719,542.1473388671875,599.96875,134.4637908935547,62.92812728881836,1348.3011474609375,1336.2147216796875,636.4699096679688,4200.59423828125,135.20143127441406,246.88706970214844,655.1155395507812,256.0079040527344,47.360687255859375,131.6083984375,1588.555908203125,1027.6865234375,6091.39404296875,707.2000122070312,1238.6099853515625,2923.5380859375,953.5714721679688,5989.20751953125,2363.26611328125,5832.58984375,526.2815551757812,101.38294982910156,530.2301025390625,235.2120056152344,449.0545043945313,753.7990112304688,801.0653686523438,2281.841552734375,3255.2294921875,1617.7137451171875,726.6761474609375,1143.9136962890625,10816.6337890625,1633.337646484375,659.5244750976562,1127.31640625,2766.674072265625,234.68370056152344,107.71575164794922,4514.91455078125,937.893310546875,1037.299072265625,87.59564971923828,1664.943603515625,852.7955322265625,2698.882080078125
2023-01-05,117.75802612304688,3252.347412109375,1742.6390380859375,2198.9765625,1609.3773193359375,534.1804809570312,447.5494689941406,11701.3720703125,846.92041015625,172.19754028320312,3326.9990234375,686.885498046875,4161.46728515625,446.1614990234375,2858.26416015625,470.9035949707031,2191.301513671875,123.59898376464844,1971.1422119140625,90.5051727294922,17.880359649658203,410.9999084472656,239.81517028808597,4324.91015625,3648.5498046875,2832.30224609375,1830.746826171875,2843.437744140625,226.59228515625,761.0,945.1640625,513.2014770507812,1429.6351318359375,1645.487060546875,2056.40966796875,312.8041076660156,563.8932495117188,615.951904296875,138.28163146972656,64.03417205810547,1349.3001708984375,1370.19482421875,636.4699096679688,4162.63330078125,139.34994506835938,253.4760284423828,655.1155395507812,257.2042541503906,48.229148864746094,136.10699462890625,1601.1767578125,1027.6865234375,6510.93896484375,712.5999755859375,1216.126220703125,2928.535400390625,897.6200561523438,6061.9931640625,2325.2939453125,5927.38818359375,533.0773315429688,102.64273834228516,520.0371704101562,239.40328979492188,446.6589660644531,753.5993041992188,780.8939819335938,2308.304443359375,3244.248779296875,1618.2130126953125,728.4757690429688,1154.9033203125,10701.72265625,1647.8184814453125,704.2650756835938,1128.814697265625,2744.708740234375,238.17898559570312,107.86536407470705,4487.14306640625,921.4215698242188,1027.8145751953125,88.55331420898438,1659.9466552734375,855.59033203125,2754.81787109375
2023-01-06,118.15753173828124,3438.53125,1769.110595703125,2219.93798828125,1653.8463134765625,539.5782470703125,454.8307189941406,11773.3212890625,857.1122436523438,171.87799072265625,3334.4794921875,685.3868408203125,4231.8779296875,448.75433349609375,2897.2265625,476.1940612792969,2198.296142578125,126.44434356689452,1975.6368408203125,92.40319061279295,17.64466667175293,410.39990234375,240.4147491455078,4261.9990234375,3642.556396484375,2874.276611328125,1909.6065673828125,2849.43408203125,228.3410797119141,758.0,963.9435424804688,525.0830688476562,1430.234375,1672.4539794921875,2062.407958984375,317.35125732421875,567.18505859375,624.9425048828125,140.4404296875,65.59032440185547,1373.7786865234375,1384.1866455078125,638.867919921875,4229.5625,142.49880981445312,253.07672119140625,657.3104858398438,257.6029968261719,47.91969299316406,137.50657653808594,1635.1976318359375,1042.66015625,6474.97900390625,718.0,1229.1168212890625,2898.550048828125,901.81640625,6095.26708984375,2341.282470703125,6045.1376953125,538.074462890625,102.88270568847656,501.0504150390625,243.0956573486328,447.8567504882813,767.7880249023438,783.6900634765625,2346.751220703125,3340.078857421875,1627.7056884765625,723.876708984375,1158.8995361328125,10826.626953125,1672.785400390625,696.8748168945312,1145.7972412109375,2787.641357421875,241.07508850097656,108.5635223388672,4487.6767578125,928.9086303710938,1046.284423828125,88.49345397949219,1691.4266357421875,861.5791015625,2798.76708984375
2023-01-09,114.36211395263672,3509.575439453125,1748.1328125,2203.967529296875,1725.29638671875,546.9752807617188,453.8333129882813,11727.35546875,834.5303955078125,172.39730834960938,3275.63818359375,666.40380859375,4222.55908203125,446.3609619140625,2916.20849609375,478.4400329589844,2210.286865234375,127.84207916259766,1969.14453125,90.36532592773438,17.561479568481445,413.9999084472656,241.0142517089844,4244.0244140625,3631.068603515625,2886.269775390625,1910.604736328125,2865.42578125,231.3389892578125,739.0,930.7799072265624,541.757080078125,1419.44921875,1663.4649658203125,2082.40185546875,321.2987976074219,561.7984619140625,625.7416381835938,145.41761779785156,66.33625030517578,1386.76708984375,1424.1630859375,642.0652465820312,4220.57275390625,140.5495147705078,253.9752349853516,666.0906372070312,260.19500732421875,48.16425704956055,141.05543518066406,1640.6849365234375,1035.6722412109375,6447.00830078125,743.2000122070312,1246.104736328125,2908.54541015625,905.8128662109376,6124.38037109375,2330.29052734375,6078.0673828125,544.8703002929688,103.7425537109375,506.4466247558594,246.58839416503903,451.3501892089844,777.180419921875,803.6617431640625,2375.711181640625,3381.0068359375,1623.7088623046875,751.471923828125,1167.3914794921875,11031.4677734375,1669.2900390625,684.4913330078125,1158.783203125,2733.7255859375,242.87266540527344,106.61863708496094,4480.7353515625,937.893310546875,1025.3187255859375,88.4735107421875,1708.91552734375,883.7374267578125,2804.76025390625
2023-01-10,110.36693572998048,3423.343017578125,1752.628173828125,2267.850830078125,1753.2769775390625,549.5741577148438,457.2245788574219,11793.3056640625,838.72705078125,171.37863159179688,3144.991455078125,667.4028930664062,4241.19677734375,447.7571105957031,2930.195068359375,474.2476196289063,2236.266845703125,124.94677734375,1952.664306640625,90.52516174316406,17.723228454589844,398.9999084472656,246.0103912353516,4280.9716796875,3627.572509765625,2838.298828125,1913.599609375,2880.41748046875,230.8393402099609,722.0,940.369384765625,533.2702026367188,1412.05908203125,1670.95556640625,2089.400146484375,312.3544311523437,562.6962280273438,615.752197265625,143.67857360839844,66.79924774169922,1397.75732421875,1414.1688232421875,642.8645629882812,4240.55224609375,140.84938049316406,250.08169555664065,665.0928955078125,257.5032653808594,47.94964218139648,141.25538635253906,1615.4437255859375,1020.6987915039062,6259.21240234375,720.4000244140625,1240.1090087890625,2928.535400390625,915.2047729492188,6136.859375,2340.282958984375,6060.1064453125,552.865478515625,101.00300598144533,510.6437072753906,245.2910919189453,452.048828125,776.98046875,789.8812866210938,2373.21484375,3338.08251953125,1626.70654296875,744.273193359375,1181.3780517578125,11066.44140625,1671.7867431640625,686.8881225585938,1148.793701171875,2728.733642578125,241.7741851806641,105.97035217285156,4483.939453125,924.9154663085938,1023.3219604492188,87.5058822631836,1722.4068603515625,878.9464111328125,2836.723388671875
2023-01-11,110.76644897460938,3462.04931640625,1761.61865234375,2113.1337890625,1739.286865234375,551.3733520507812,447.5494689941406,11625.4287109375,824.3384399414062,173.31610107421875,3120.05908203125,665.9042358398438,4327.13916015625,450.6490478515625,2958.16845703125,477.6914367675781,2242.26220703125,126.44434356689452,1933.1876220703125,91.70392608642578,17.579965591430664,405.89990234375,248.40855407714844,4361.85791015625,3664.532470703125,2854.288818359375,1922.58349609375,2888.413330078125,233.08782958984372,751.0,936.5734252929688,534.5682983398438,1407.865478515625,1678.4466552734375,2132.3876953125,310.9053039550781,568.1825561523438,638.72802734375,146.97669982910156,67.4422836303711,1424.7333984375,1428.160888671875,645.062744140625,4292.498046875,150.69586181640625,257.1698608398437,673.4739379882812,251.4221343994141,47.98957443237305,143.3546905517578,1615.4437255859375,1026.1890869140625,6395.06494140625,732.0,1243.6064453125,2973.51318359375,924.9961547851562,6163.8935546875,2363.26611328125,6113.9912109375,548.4681396484375,102.56275177001952,516.6395874023438,241.399169921875,461.7306518554688,782.3762817382812,817.0428466796875,2402.674072265625,3380.00830078125,1629.7041015625,761.0703125,1159.8984375,11351.220703125,1690.26220703125,686.4887084960938,1194.2462158203125,2766.674072265625,243.3719787597656,107.61602783203124,4475.92822265625,953.865966796875,1038.796630859375,87.60563659667969,1767.8780517578125,900.1065673828125,2851.705810546875
2023-01-12,114.06246948242188,3548.282470703125,1799.5780029296875,2165.038818359375,1761.2713623046875,552.373046875,450.5417785644531,11439.5673828125,832.531982421875,176.85154724121094,3163.93994140625,654.9140625,4525.9453125,430.9949035644531,2947.178955078125,484.12982177734375,2250.255859375,128.14158630371094,1924.1983642578125,95.18029022216795,17.626178741455078,419.39990234375,247.00961303710935,4521.6337890625,3638.06103515625,2862.2841796875,1936.5587158203125,2856.430908203125,235.8358612060547,762.0,966.9402465820312,542.8553466796875,1429.0360107421875,1695.426025390625,2105.395263671875,313.4037170410156,580.3521728515625,654.5113525390625,152.7734375,68.70264434814453,1409.7464599609375,1457.1436767578125,646.4615478515625,4261.52880859375,159.6426239013672,263.2596740722656,690.0363159179688,258.7992858886719,48.66337585449219,145.2541046142578,1653.8543701171875,1034.1749267578125,6604.8369140625,757.7999877929688,1271.5863037109375,2998.500244140625,936.7859497070312,6153.4951171875,2350.275634765625,6274.64892578125,545.469970703125,103.98251342773438,520.0371704101562,243.9937438964844,467.0206604003906,767.1070556640625,848.1987915039062,2429.137451171875,3416.942626953125,1630.7032470703125,764.669677734375,1147.9097900390625,11401.18359375,1668.077880859375,698.4728393554688,1241.6962890625,2772.664794921875,245.6688995361328,112.35352325439452,4470.05419921875,986.3103637695312,1043.78857421875,91.82530975341795,1778.3714599609375,917.8731689453124,3016.515380859375
2023-01-13,118.15753173828124,3496.3466796875,1793.0850830078125,2180.01123046875,1749.279541015625,559.170166015625,443.06103515625,11647.4140625,832.1322021484375,180.5068359375,3115.571044921875,656.912353515625,4605.67529296875,438.7767639160156,2967.159912109375,483.4809875488281,2265.244384765625,126.79377746582033,1926.1961669921875,96.69869232177734,17.79717254638672,409.4999084472656,247.6091766357422,4511.64794921875,3675.520751953125,2868.28076171875,1959.5179443359373,2899.4072265625,236.33551025390625,768.0,947.9610595703124,557.5325927734375,1432.631103515625,1704.414794921875,2124.39013671875,324.796630859375,589.7286987304688,663.7017211914062,157.2309112548828,69.73152160644531,1436.222900390625,1472.134765625,653.8554077148438,4275.515625,160.04251098632812,265.1565246582031,698.0183715820312,258.1014404296875,49.52683639526367,145.85391235351562,1634.6490478515625,1031.1802978515625,6576.8671875,768.2000122070312,1292.07177734375,2993.5029296875,927.7937622070312,6247.07666015625,2375.257568359375,6205.79638671875,550.2669677734375,108.74171447753906,521.6361083984375,240.5010223388672,468.61767578125,774.302490234375,838.2129516601562,2437.1259765625,3427.923583984375,1653.1854248046875,776.4676513671875,1151.9061279296875,11441.15234375,1665.5806884765625,707.0614013671875,1241.197021484375,2758.686767578125,245.2694396972656,114.44798278808594,4502.63134765625,981.3189086914062,1035.3023681640625,91.3863754272461,1798.358642578125,921.8656005859376,3029.50048828125
2023-01-16,119.25621795654295,3481.15771484375,1826.549072265625,2157.05322265625,1738.7869873046875,565.1678466796875,442.7617492675781,11667.3984375,830.9332275390625,182.2645568847656,3130.531005859375,632.9337768554688,4614.99365234375,443.1665649414063,2957.16943359375,480.1370239257813,2271.23974609375,130.0884246826172,1942.67626953125,96.37902069091795,17.65390968322754,416.6998901367188,247.6091766357422,4502.66015625,3697.49658203125,2906.2578125,1963.5108642578125,2953.377685546875,236.085693359375,770.0,953.3551025390624,551.6416625976562,1434.2288818359375,1718.3978271484375,2165.37841796875,323.7972412109375,594.6166381835938,685.0791015625,159.00990295410156,69.75723266601562,1439.2203369140625,1457.1436767578125,653.0559692382812,4370.416015625,161.69190979003906,269.9484558105469,703.2064819335938,257.80242919921875,49.66159057617188,150.05259704589844,1652.2081298828125,1020.1997680664062,6626.81396484375,808.0,1324.5484619140625,3023.488037109375,921.7990112304688,6230.43994140625,2401.238525390625,6083.05712890625,553.0654296875,107.14198303222656,522.235595703125,242.7962646484375,471.2127685546875,771.3043212890625,852.1930541992188,2422.14697265625,3487.817138671875,1667.6739501953125,779.267333984375,1150.9068603515625,11750.912109375,1680.5634765625,700.8695068359375,1265.171630859375,2748.7021484375,247.1668701171875,117.04115295410156,4518.11865234375,1002.2830200195312,1027.3155517578125,93.07225799560548,1808.85205078125,939.0332641601562,3059.466064453125
