Date,AAL.L,ABF.L,ADM.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,DCC.L,DGE.L,EXPN.L,EZJ.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,INF.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MNDI.L,MRO.L,NG.L,NXT.L,OCDO.L,PRU.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2018-01-02,1550.804443359375,2773.670654296875,1938.2645263671875,998.4357299804688,352.654541015625,492.9281921386719,5093.5556640625,573.769775390625,202.6958923339844,4909.8291015625,4366.6796875,681.3209838867188,2039.8616943359373,515.0980224609375,1779.8519287109375,273.97393798828125,2371.447021484375,140.77923583984375,13.586196899414062,3750.210205078125,7470.166015625,2672.078125,1597.3111572265625,1498.5284423828125,1431.787841796875,392.7354431152344,1325.5888671875,1105.60546875,1253.1177978515625,761.7088623046875,1446.4862060546875,667.2474365234375,58.996368408203125,916.0990600585938,719.967041015625,5111.6220703125,167.09109497070312,3058.8779296875,342.2245483398437,990.5608520507812,268.47198486328125,67.45994567871094,299.6602478027344,2116.978515625,491.1761474609375,858.3466186523438,4489.1689453125,392.5,1555.90869140625,2734.533447265625,732.9938354492188,7060.9501953125,1711.684326171875,3961.950927734375,450.2933654785156,288.9554443359375,307.12371826171875,240.12535095214844,594.951904296875,786.0064086914062,577.4574584960938,2461.0771484375,1472.7738037109375,448.2181701660156,1260.4703369140625,5607.2138671875,1294.2384033203125,775.90478515625,1233.2130126953125,2130.26806640625,262.73291015625,206.8788909912109,4312.80615234375,813.390380859375,232.49197387695312,1331.4195556640625,3404.43505859375
2018-01-03,1538.3592529296875,2831.5595703125,1916.8775634765625,972.7018432617188,358.0492553710937,493.124267578125,5154.41845703125,572.971923828125,203.19468688964844,4906.35009765625,4370.818359375,683.1134033203125,2042.855224609375,521.7669067382812,1786.34033203125,271.38360595703125,2370.449462890625,139.28372192382812,13.43571662902832,3646.850830078125,7425.2861328125,2680.5595703125,1633.2620849609375,1528.97802734375,1396.8662109375,388.501220703125,1347.0501708984375,1111.093505859375,1262.111328125,760.0162353515625,1422.527587890625,666.249755859375,58.83342361450195,920.0883178710938,712.17822265625,5191.458984375,170.17799377441406,3107.732177734375,341.0287170410156,990.4614868164062,267.6770935058594,67.23074340820312,303.8314208984375,2114.788330078125,496.99029541015625,850.7779541015625,4788.44775390625,423.0,1558.3892822265625,2736.521728515625,734.5903930664062,7007.99169921875,1704.69775390625,3959.9638671875,453.6894836425781,291.9739990234375,305.5256652832031,242.41510009765625,596.3068237304688,793.3915405273438,581.646240234375,2453.10595703125,1496.721435546875,456.21484375,1262.46630859375,5597.2265625,1291.251708984375,775.7052001953125,1233.2130126953125,2118.31201171875,264.1190795898437,207.873046875,4327.201171875,802.0354614257812,232.1439208984375,1298.0465087890625,3407.864990234375
2018-01-04,1560.527587890625,2836.550048828125,1918.3697509765625,983.673583984375,357.96832275390625,498.6142883300781,5159.408203125,572.3737182617188,203.99267578125,4884.48388671875,4339.78271484375,662.4735107421875,2046.8475341796875,527.5399780273438,1750.4039306640625,268.04608154296875,2366.462890625,141.37745666503906,13.457212448120115,3792.285888671875,7440.24658203125,2668.087158203125,1633.859375,1507.513671875,1397.364990234375,389.54730224609375,1343.4403076171875,1112.0911865234375,1265.1092529296875,762.704345703125,1421.529541015625,663.0570678710938,58.84597396850586,931.2576293945312,712.7772827148438,5243.35400390625,169.82948303222656,3156.58642578125,340.33111572265625,966.9666137695312,268.27325439453125,67.81866455078125,292.7398681640625,2123.001953125,500.7112731933594,856.0560913085938,4737.0166015625,437.7999877929688,1569.1365966796875,2737.515625,732.1954956054688,6949.84326171875,1708.1912841796875,3959.9638671875,452.3909301757813,294.7182006835937,306.62432861328125,241.02137756347656,599.6937866210938,797.982177734375,577.8563232421875,2463.069580078125,1525.1591796875,460.2132873535156,1254.9814453125,5607.2138671875,1294.2384033203125,789.772705078125,1240.1917724609375,2112.33349609375,266.1352233886719,207.07774353027344,4340.52783203125,796.6566162109375,233.9835662841797,1313.98583984375,3431.019287109375
2018-01-05,1558.9716796875,2876.473388671875,1862.166748046875,979.284912109375,356.0700988769531,496.6535034179688,5192.3330078125,570.3795166015625,198.68589782714844,4939.64501953125,4370.818359375,672.0340576171875,2058.8232421875,527.1419067382812,1779.3526611328125,269.98876953125,2375.433837890625,145.71450805664062,13.48301124572754,3872.7783203125,7530.00927734375,2666.09130859375,1646.8427734375,1509.010986328125,1391.3785400390625,387.15625,1364.901123046875,1126.56005859375,1289.092529296875,760.1158447265625,1404.558837890625,662.4585571289062,58.79583740234375,941.2305297851562,720.965576171875,5307.224609375,170.17799377441406,3189.48828125,338.4375915527344,981.2030639648438,269.9623413085937,67.82862854003906,297.3850402832031,2112.0498046875,506.0602722167969,864.8198852539062,4842.77197265625,437.2000122070313,1587.738037109375,2761.3720703125,733.5924682617188,7103.52197265625,1710.1873779296875,3933.143310546875,456.28656005859375,296.3646240234375,310.5195617675781,239.9262542724609,603.25048828125,805.3672485351562,585.0370483398438,2455.098876953125,1541.623046875,461.8126525878906,1282.9254150390625,5677.1162109375,1318.132080078125,792.1669921875,1247.17041015625,2132.260986328125,264.2450866699219,209.96072387695312,4363.45068359375,814.585693359375,235.4752197265625,1334.407958984375,3425.015869140625
2018-01-08,1581.9178466796875,2846.53076171875,1877.5853271484373,991.4537963867188,354.7713317871094,496.2614440917969,5141.4482421875,570.3795166015625,199.6036529541016,4894.92041015625,4365.64501953125,677.8103637695312,2044.8511962890625,524.9519653320312,1766.8748779296875,266.95025634765625,2376.430908203125,144.61778259277344,13.298134803771973,3734.66064453125,7520.03515625,2661.601806640625,1647.8411865234375,1521.9896240234375,1404.349365234375,393.5823364257813,1357.279541015625,1076.6680908203125,1285.09521484375,754.64013671875,1396.5726318359375,661.0617065429688,58.72063064575195,917.6946411132812,734.945556640625,5273.29345703125,168.83372497558594,3176.527099609375,336.24517822265625,994.244384765625,269.266845703125,67.81866455078125,294.6358642578125,2098.360595703125,513.2697143554688,861.0353393554688,4920.591796875,429.0,1574.0968017578125,2731.55126953125,726.2086791992188,7060.9501953125,1696.713623046875,4010.624267578125,454.1888732910156,297.94244384765625,310.419677734375,239.9262542724609,605.6213989257812,800.5769653320312,586.0344848632812,2417.23583984375,1521.6669921875,466.2108154296875,1282.4263916015625,5672.1220703125,1323.607666015625,793.5639038085938,1240.1917724609375,2123.293212890625,270.04156494140625,207.37600708007807,4362.3857421875,808.8086547851562,236.3204040527344,1323.947998046875,3392.4296875
2018-01-09,1630.532470703125,2836.550048828125,1900.4642333984373,997.4382934570312,352.1737670898437,506.0651245117188,5152.42431640625,570.9777221679688,201.2994079589844,4929.21044921875,4386.33544921875,682.7899169921875,2018.9036865234373,525.5492553710938,1773.862548828125,272.57916259765625,2372.443603515625,140.97866821289062,13.341129302978516,3739.234130859375,7644.70458984375,2654.11767578125,1667.81494140625,1505.017578125,1402.852783203125,396.7205810546875,1350.6605224609375,1072.676513671875,1305.0811767578125,762.9033203125,1404.558837890625,662.4585571289062,58.83342361450195,916.298583984375,748.9254760742188,5263.3134765625,169.03289794921875,3210.425537109375,339.733154296875,992.5521240234376,269.36627197265625,68.15746307373047,301.7457580566406,2112.0498046875,503.7347106933594,847.19287109375,5008.38720703125,424.3999938964844,1577.40380859375,2698.7490234375,736.5859375,7110.79248046875,1690.724853515625,4066.747802734375,453.8892822265625,297.32501220703125,309.6206359863281,247.2933349609375,614.597412109375,803.5709228515625,585.835205078125,2479.011474609375,1539.128662109375,470.0093688964844,1275.939208984375,5667.1298828125,1304.1942138671875,790.9699096679688,1251.656494140625,2055.5390625,270.16766357421875,207.6742248535156,4354.3876953125,779.125732421875,236.66847229003903,1334.906005859375,3381.28173828125
2018-01-10,1653.2841796875,2835.55224609375,1895.98779296875,1011.9012451171876,346.0793762207031,514.6923217773438,5124.48583984375,576.1630249023438,200.70086669921875,4934.6767578125,4360.47265625,671.8351440429688,2000.9403076171875,528.0376586914062,1776.3580322265625,271.7821044921875,2373.440673828125,140.0813446044922,13.298134803771973,3690.755859375,7699.55859375,2643.142333984375,1674.3067626953125,1476.564453125,1414.3271484375,403.8439636230469,1334.8155517578125,1006.8193359375,1289.092529296875,791.9739990234375,1412.5450439453125,655.8738403320312,58.87104034423828,943.823486328125,745.7300415039062,5207.4267578125,167.4894256591797,3122.687744140625,340.5304870605469,979.0126953125,271.1547546386719,68.73538970947266,307.1493835449219,2077.552490234375,497.68798828125,835.0430297851562,5028.341796875,409.1000061035156,1629.074462890625,2657.000244140625,725.6100463867188,7046.4130859375,1675.2547607421875,4061.7822265625,453.6894836425781,287.7892761230469,309.5207214355469,252.76878356933597,612.7344970703125,797.5831298828125,573.468017578125,2469.0478515625,1558.585693359375,467.8101806640625,1253.4842529296875,5662.13671875,1299.216064453125,816.8101196289062,1253.650390625,2040.59375,267.01727294921875,199.02525329589844,4270.69091796875,765.5792236328125,231.29869079589844,1321.9556884765625,3344.406982421875
2018-01-11,1712.204833984375,2812.596435546875,1893.500732421875,1023.3716430664062,352.37359619140625,516.8490600585938,5120.49658203125,584.1404418945312,195.6135711669922,5019.1552734375,4284.953125,663.6686401367188,2045.848876953125,530.5260620117188,1776.3580322265625,269.8393859863281,2393.37744140625,141.02850341796875,13.263738632202148,3664.22998046875,7734.46533203125,2654.616943359375,1663.820556640625,1533.9698486328125,1416.821533203125,405.23876953125,1334.4141845703125,1015.3009643554688,1292.0899658203125,792.4718017578125,1411.546875,666.4491577148438,59.472652435302734,946.4164428710938,744.9313354492188,5197.4482421875,167.0413360595703,3092.776611328125,340.729736328125,968.0618286132812,270.5584716796875,69.58238220214844,285.5351257324219,2083.028076171875,500.01361083984375,841.3171997070312,4951.51904296875,410.0,1629.9013671875,2627.179443359375,721.6187744140625,7060.9501953125,1658.2877197265625,4137.77197265625,451.39208984375,290.6019287109375,310.3197631835937,247.49241638183597,611.7183837890625,806.1655883789062,571.4732666015625,2486.9833984375,1564.0738525390625,468.0101318359375,1254.482421875,5652.1494140625,1312.158447265625,827.4854736328125,1235.7054443359375,2028.6370849609373,254.9202117919922,195.34698486328125,4273.888671875,764.9815673828125,227.17189025878903,1318.967041015625,3289.52490234375
2018-01-12,1719.205322265625,2819.58251953125,1877.0877685546875,1029.3563232421875,354.6713256835937,523.1234741210938,5120.49658203125,587.9295043945312,194.01751708984372,4937.65673828125,4267.3662109375,670.2415771484375,2036.867431640625,532.3177490234375,1787.837890625,273.874267578125,2392.380615234375,142.7234344482422,13.332529067993164,3847.1669921875,7679.61083984375,2635.159912109375,1674.3067626953125,1526.9814453125,1433.28466796875,406.0357666015625,1356.8782958984375,1011.3096313476562,1286.0943603515625,788.1907958984375,1398.569091796875,667.2474365234375,59.91134262084961,948.0120239257812,745.130859375,5201.4384765625,167.29026794433594,3154.592529296875,346.9085388183594,970.0527954101562,272.9432373046875,70.25000762939453,293.1191101074219,2106.57421875,529.0842895507812,838.8273315429688,4978.45751953125,428.7999877929688,1631.5545654296875,2631.156005859375,721.4191284179688,7063.0263671875,1655.7923583984375,4142.2431640625,453.6894836425781,295.2669372558594,310.61944580078125,251.5740966796875,613.919921875,809.7584838867188,573.0692138671875,2524.84619140625,1648.3892822265625,467.8101806640625,1263.9632568359375,5697.0888671875,1315.14501953125,831.0770874023438,1238.696533203125,2007.7130126953125,258.1964416503906,196.68907165527344,4247.76708984375,762.7902221679688,228.06689453125,1349.35107421875,3345.264892578125
2018-01-15,1734.1787109375,2822.576416015625,1858.68505859375,1035.839599609375,349.6759948730469,519.3980712890625,5118.49951171875,589.7244873046875,195.05496215820312,4984.37109375,4241.50341796875,669.44482421875,2040.859130859375,530.227294921875,1767.8729248046875,274.6713256835937,2369.452880859375,143.07241821289062,13.16915225982666,3850.82568359375,7659.66357421875,2614.206298828125,1660.3251953125,1509.5101318359375,1424.8033447265625,408.02838134765625,1356.8782958984375,1006.8193359375,1280.0987548828125,781.4208984375,1390.5830078125,652.8807983398438,59.99906539916992,938.0392456054688,744.9313354492188,5177.48876953125,171.22360229492188,3199.458251953125,345.8122253417969,974.73193359375,272.54571533203125,70.34966278076172,291.033447265625,2114.24072265625,536.293701171875,838.5286865234375,4992.4248046875,428.0,1623.70068359375,2603.32373046875,727.8052368164062,7029.7978515625,1643.8160400390625,4144.7265625,454.0890502929688,293.4832763671875,308.4220886230469,249.7821502685547,618.6619262695312,808.760498046875,570.6755981445312,2532.816650390625,1669.3433837890625,465.41119384765625,1255.4803466796875,5677.1162109375,1324.10546875,814.2160034179688,1239.194580078125,2018.67333984375,261.976806640625,196.5399475097656,4264.82763671875,760.0014038085938,226.7244415283203,1386.7083740234375,3344.406982421875
