Date,AAF.L,AAL.L,ABF.L,ADM.L,ALW.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BEZ.L,BKG.L,BLND.L,BNZL.L,BP.L,BT-A.L,CCH.L,CNA.L,CPG.L,CPI.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,EXPN.L,EZJ.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,HSX.L,HWDN.L,IAG.L,IHG.L,III.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,MKS.L,MNDI.L,NG.L,NXT.L,PRU.L,PSH.L,PSN.L,PSON.L,RKT.L,REL.L,RIO.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2024-01-02,129.60125732421875,1929.6737060546875,2369.09912109375,2677.28125,1101.39404296875,1650.868896484375,702.7769165039062,432.9274291992188,10782.271484375,1115.4061279296875,155.15267944335938,2327.263427734375,525.64404296875,4876.40673828125,396.7481689453125,3162.62255859375,470.3641357421875,124.97637176513672,2312.955810546875,141.1888427734375,20.119739532470703,326.69989013671875,241.66778564453125,5694.146484375,2817.120849609375,3448.599365234375,1754.7198486328125,3120.603271484375,503.3017578125,239.1547088623047,570.46923828125,9840.5546875,468.40728759765625,1478.3492431640625,1784.7869873046875,2223.56689453125,324.0393981933594,629.357666015625,1054.27783203125,804.6033935546875,155.91165161132812,93.00833129882812,2342.552001953125,1660.3182373046875,772.6915283203125,4224.64794921875,160.55259704589844,238.32943725585935,707.4415893554688,247.9343719482422,48.01018905639648,189.70553588867188,275.92364501953125,1683.749755859375,1056.1494140625,8035.55859375,855.7159423828125,3566.7197265625,1376.8082275390625,967.0145263671876,5674.853515625,3065.3984375,5881.955078125,556.9491577148438,298.0498962402344,432.2550964355469,298.3235168457031,427.50006103515625,1164.839111328125,875.26513671875,2572.960205078125,1737.5677490234375,787.912841796875,1066.792724609375,10208.5947265625,1836.5726318359373,658.099609375,658.43505859375,2545.048828125,292.8199157714844,143.8863067626953,4086.55029296875,1039.583251953125,1042.753173828125,69.65975189208984,1897.6671142578125,744.7540893554688,3611.74267578125
2024-01-03,128.40219116210938,1832.4154052734373,2368.099853515625,2680.277099609375,1095.3974609375,1591.8914794921875,696.978759765625,429.0343933105469,10734.296875,1133.396728515625,152.9944610595703,2328.7607421875,526.1436767578125,4855.69091796875,394.35150146484375,3146.634765625,471.3127746582031,122.82849884033205,2308.95947265625,145.63531494140625,20.16681289672852,324.89990234375,238.86929321289065,5630.2119140625,2784.648193359375,3352.63818359375,1713.77294921875,3055.63232421875,481.4147644042969,236.6557159423828,552.685791015625,9615.76953125,458.2136535644531,1518.9095458984375,1812.2606201171875,2149.581298828125,327.98748779296875,624.2669067382812,1062.272216796875,778.6226806640625,150.41476440429688,91.675537109375,2312.5703125,1604.34130859375,768.694091796875,4195.67138671875,155.40411376953125,234.5337371826172,696.060302734375,243.8437042236328,47.39595413208008,187.10958862304688,282.4218444824219,1674.4168701171875,1061.1429443359375,8075.52685546875,830.5302124023438,3424.77099609375,1356.3333740234375,971.0121459960938,5710.2177734375,3060.401123046875,5769.12890625,552.950927734375,294.7504272460937,410.86724853515625,302.8163146972656,421.6082763671875,1150.8472900390625,867.4735107421875,2590.443359375,1710.0823974609375,764.3153686523438,1048.804443359375,9839.8271484375,1828.578857421875,646.511962890625,646.841552734375,2552.040283203125,297.515380859375,142.53875732421875,4117.00341796875,1028.5982666015625,1052.7413330078125,69.41010284423828,1860.18359375,728.377197265625,3569.781005859375
2024-01-04,127.70272064208984,1836.533203125,2372.096923828125,2696.255126953125,1095.3974609375,1603.8870849609375,695.2113647460938,432.2287292480469,10858.2294921875,1154.88525390625,155.45245361328125,2362.199951171875,548.6284790039062,4945.802734375,395.250244140625,3181.6083984375,472.8108520507813,121.4798355102539,2306.961181640625,147.23406982421875,20.082077026367188,340.4999084472656,242.4673614501953,5710.1298828125,2806.130126953125,3372.6298828125,1691.8016357421875,3049.7763671875,496.9055480957031,234.1651153564453,542.4952392578125,9390.9853515625,458.9631652832031,1538.2904052734375,1848.7255859375,2144.582275390625,329.4867553710937,631.3539428710938,1069.2674560546875,771.8277587890625,153.2131805419922,93.13898468017578,2335.556640625,1611.3382568359375,774.4903564453125,4272.6103515625,119.66465759277344,232.73577880859372,695.2615356445312,245.63958740234372,47.50581359863281,185.11268615722656,283.92144775390625,1688.1416015625,1077.1224365234375,8543.1513671875,835.1275024414062,3458.759033203125,1385.2978515625,982.6051635742188,5739.3408203125,3105.3779296875,5745.166015625,558.748291015625,297.7499084472656,413.76556396484375,307.70849609375,431.0950317382813,1147.349365234375,863.2780151367188,2591.94140625,1719.0775146484375,762.1156616210938,1050.3035888671875,9849.8203125,1844.5665283203125,650.70751953125,654.03759765625,2578.01025390625,302.1109619140625,143.93621826171875,4105.78369140625,1030.595458984375,1062.22998046875,70.3487548828125,1859.183837890625,741.1591796875,3577.7734375
2024-01-05,125.9040756225586,1834.1802978515625,2344.119384765625,2684.271728515625,1091.3995361328125,1615.8822021484375,691.6122436523438,432.5281372070313,10752.287109375,1152.386474609375,155.47244262695312,2355.711669921875,543.6318969726562,4970.6611328125,394.8507690429688,3160.624267578125,473.2102966308594,121.2300796508789,2301.965576171875,151.58062744140625,20.100908279418945,335.9999084472656,244.6661376953125,5698.14208984375,2762.6669921875,3344.641357421875,1574.953369140625,3090.759521484375,498.9043884277344,232.9155731201172,543.4942626953125,9420.9560546875,462.7108154296875,1539.68896484375,1857.217529296875,2120.586669921875,330.6861572265625,633.1506958007812,1063.2716064453125,765.0327758789062,152.11380004882812,92.61631774902344,2291.58349609375,1555.361083984375,767.4949340820312,4208.6611328125,120.06453704833984,229.0399932861328,693.8638305664062,243.24505615234372,47.2011947631836,183.51516723632807,284.121337890625,1646.41845703125,1073.6270751953125,8459.21875,820.3358764648438,3478.751708984375,1395.2855224609375,974.6100463867188,5733.10009765625,3098.381103515625,5691.24853515625,550.552001953125,296.5501403808594,411.7666931152344,308.5072631835937,424.4043884277344,1137.3548583984375,866.6743774414062,2568.46435546875,1700.087646484375,753.7164916992188,1041.3095703125,9793.8544921875,1856.5572509765625,650.9073486328125,642.8438110351562,2570.019287109375,300.6123962402344,144.13583374023438,4091.35888671875,1029.596923828125,1056.2371826171875,70.29883575439453,1850.687744140625,769.1198120117188,3555.79345703125
2024-01-08,128.0024871826172,1810.650146484375,2361.10546875,2717.22607421875,1089.4007568359375,1608.8851318359375,704.8087158203125,435.1235046386719,10766.2802734375,1144.3907470703125,154.69308471679688,2366.692138671875,551.6264038085938,5018.306640625,399.9437255859375,3186.60498046875,460.8270263671875,122.17914581298828,2318.950439453125,155.37765502929688,20.308034896850582,333.89990234375,249.063720703125,5696.1435546875,2768.162353515625,3382.6259765625,1538.0013427734375,3143.73828125,508.6985778808594,232.6656646728516,539.6978759765625,9765.6259765625,456.8145446777344,1547.4814453125,1860.214599609375,2163.578369140625,335.0339660644531,638.8403930664062,1074.2640380859375,782.0202026367188,152.2637176513672,92.6424560546875,2317.5673828125,1590.346923828125,774.2904663085938,4195.67138671875,119.31476593017578,230.8379364013672,697.8573608398438,250.02957153320312,47.50581359863281,184.8131561279297,290.41961669921875,1660.692138671875,1066.6358642578125,8499.1865234375,841.1241455078125,3482.75,1452.2156982421875,980.0066528320312,5737.26123046875,3137.361083984375,5676.271484375,559.5479736328125,305.148681640625,414.4651794433594,309.9049987792969,427.000732421875,1149.84765625,877.66259765625,2488.543212890625,1699.587890625,762.3156127929688,1069.790771484375,9879.8017578125,1858.555419921875,649.3090209960938,647.441162109375,2563.027587890625,303.2099609375,147.97879028320312,4094.564697265625,1044.5765380859375,1044.251708984375,69.87944030761719,1861.682861328125,770.118408203125,3585.76611328125
2024-01-09,129.30149841308594,1788.100341796875,2348.115966796875,2718.224365234375,1103.3929443359375,1595.3902587890625,709.0075073242188,432.82763671875,10896.2109375,1145.8900146484375,154.1535186767578,2368.688232421875,527.6426391601562,4957.19677734375,398.345947265625,3191.60107421875,458.7297668457031,120.88042449951172,2335.935546875,157.02635192871094,20.45867347717285,326.69989013671875,247.26470947265625,5694.146484375,2765.16455078125,3368.6318359375,1509.0391845703125,3118.748291015625,515.6944580078125,235.66456604003903,540.0974731445312,9685.7021484375,451.517822265625,1574.654541015625,1892.683349609375,2164.578125,338.2823791503906,633.350341796875,1058.2750244140625,777.2236328125,151.1143798828125,92.30272674560548,2278.591552734375,1582.350341796875,778.4876708984375,4192.67333984375,114.31623077392578,225.8436279296875,696.060302734375,250.12936401367188,47.540771484375,184.01438903808597,286.2208251953125,1648.065185546875,1072.6282958984375,8419.2509765625,845.3218383789062,3510.739990234375,1389.7923583984375,977.6080932617188,5797.5869140625,3114.373046875,5563.4453125,558.748291015625,308.7480773925781,413.9654541015625,305.4122009277344,422.7067260742188,1149.3480224609375,868.4723510742188,2478.553466796875,1689.59326171875,774.5142211914062,1082.7821044921875,9913.7802734375,1882.037353515625,636.3228149414062,632.849365234375,2613.96875,300.2127990722656,145.78282165527344,4124.48291015625,1037.5860595703125,1053.24072265625,69.90939331054688,1847.189208984375,753.741455078125,3544.802978515625
2024-01-10,129.70120239257812,1787.5120849609375,2334.127197265625,2565.43701171875,1107.390625,1582.395263671875,709.8072509765625,426.6386413574219,10894.212890625,1154.88525390625,152.5148468017578,2348.225341796875,512.1531372070312,5073.20263671875,395.1504211425781,3193.599609375,455.8337707519531,116.48477172851562,2315.953125,154.2785186767578,20.562238693237305,300.59991455078125,247.66448974609372,5656.185546875,2785.147705078125,3368.6318359375,1462.10009765625,3143.73828125,508.8984680175781,235.9144744873047,523.7127685546875,9820.5703125,447.6702575683594,1569.26025390625,1888.6871337890625,2176.57568359375,337.03302001953125,629.557373046875,1040.287353515625,777.8233642578125,150.26487731933594,93.89685821533205,2295.5810546875,1582.350341796875,784.6836547851562,4286.59814453125,113.2665557861328,224.34532165527344,689.2713623046875,248.83230590820312,46.9365234375,183.814697265625,277.6231994628906,1618.4200439453125,1067.1353759765625,8537.1572265625,838.32568359375,3548.726318359375,1476.685546875,979.4071044921876,5832.95068359375,3160.348876953125,5496.54833984375,561.3471069335938,309.1480407714844,413.6656188964844,286.0431213378906,422.6069030761719,1157.84326171875,870.4702758789062,2445.08642578125,1690.5928955078125,777.9138793945312,1077.785400390625,9989.7333984375,1861.5533447265625,625.734130859375,632.449462890625,2616.964599609375,296.11669921875,148.12850952148438,4094.564697265625,1034.5899658203125,1052.7413330078125,68.52139282226562,1854.6859130859373,758.3350830078125,3546.80126953125
2024-01-11,129.60125732421875,1803.787109375,2252.193115234375,2567.433837890625,1101.39404296875,1587.3931884765625,697.810546875,421.8472595214844,10824.2490234375,1162.880859375,145.46063232421875,2345.230712890625,502.6595764160156,4931.30126953125,394.95068359375,3191.60107421875,453.5868225097656,115.3359146118164,2329.94091796875,152.23013305664062,20.562238693237305,293.5498962402344,243.466796875,5594.2490234375,2813.1240234375,3324.649169921875,1423.1507568359375,3111.751220703125,513.8955688476562,236.16441345214844,517.1188354492188,9810.5830078125,444.9219665527344,1554.8741455078125,1901.1751708984373,2175.57568359375,335.3837890625,610.292236328125,1049.28125,767.2311401367188,148.51585388183594,93.42646026611328,2275.59326171875,1563.35791015625,765.0964965820312,4288.59765625,110.26744079589844,217.45314025878903,683.4808959960938,247.13616943359372,45.183712005615234,186.0112762451172,263.22711181640625,1573.4029541015625,1054.1519775390625,8449.2265625,823.5341186523438,3568.7197265625,1444.2254638671875,964.21630859375,5822.55029296875,3158.349853515625,5443.6298828125,549.5524291992188,296.9500732421875,419.7621765136719,280.6517333984375,419.4113464355469,1155.4718017578125,869.4713134765625,2442.08935546875,1677.0999755859375,778.3139038085938,1066.2928466796875,9733.8935546875,1803.7918701171875,612.7479248046875,632.6494140625,2540.05419921875,292.1205444335937,143.2873992919922,4055.5634765625,1021.6077270507812,1031.7664794921875,67.01356506347656,1830.696533203125,727.9776611328125,3628.7275390625
2024-01-12,131.4998321533203,1810.0618896484373,2263.183837890625,2578.418701171875,1105.3917236328125,1635.3748779296875,704.4087524414062,427.2375793457031,10856.232421875,1188.8671875,145.42066955566406,2343.7333984375,505.6575622558594,4938.55224609375,401.5414733886719,3250.556640625,453.536865234375,116.78447723388672,2361.91259765625,149.8820037841797,20.505748748779297,298.4999084472656,246.06536865234372,5646.19482421875,2803.132568359375,3378.627685546875,1477.08056640625,3164.72998046875,502.7021179199219,237.4139404296875,532.9041748046875,9800.5927734375,447.8701171875,1571.4578857421875,1927.6500244140625,2202.571044921875,337.3328552246094,608.9945678710938,1061.2730712890625,783.21923828125,144.2682647705078,94.44566345214844,2322.564453125,1557.360595703125,754.103759765625,4350.5478515625,114.41620635986328,218.2522125244141,683.6804809570312,250.7280120849609,44.92403030395508,190.1049041748047,261.9275207519531,1585.4805908203125,1062.1416015625,8555.142578125,822.7345581054688,3598.70849609375,1427.246337890625,972.2113647460938,5864.154296875,3226.314453125,5477.57763671875,562.74658203125,304.94873046875,420.7616271972656,286.3426818847656,421.9078674316406,1172.4638671875,871.0696411132812,2458.573486328125,1692.591796875,776.9139404296875,1075.7867431640625,9989.7333984375,1794.2982177734375,612.9476928710938,637.0469970703125,2598.985595703125,296.6162414550781,143.7864990234375,4108.9892578125,1036.5872802734375,1048.246826171875,67.38302612304688,1846.689453125,727.7779541015625,3657.701416015625
2024-01-15,130.40065002441406,1789.080810546875,2281.169921875,2621.359130859375,1115.386474609375,1623.3795166015625,707.4078979492188,431.7295837402344,10846.2373046875,1177.373291015625,144.86111450195312,2345.729736328125,511.15380859375,4956.16015625,398.0463562011719,3240.564208984375,452.388427734375,116.18507385253906,2381.89501953125,149.68212890625,20.618730545043945,299.9999084472656,246.8649444580078,5634.2080078125,2802.633056640625,3364.633056640625,1468.09228515625,3124.745849609375,502.3023681640625,238.1636657714844,526.7100219726562,9785.609375,444.7220458984375,1578.450927734375,1931.1466064453125,2172.57666015625,333.9345092773437,595.3193359375,1058.2750244140625,774.4258422851562,145.41761779785156,94.34111785888672,2319.566162109375,1556.36083984375,747.3082275390625,4321.57080078125,113.2665557861328,214.6562957763672,675.294189453125,251.9252471923828,43.770469665527344,193.10028076171875,259.9280700683594,1587.127685546875,1069.1326904296875,8477.2060546875,815.338623046875,3602.70703125,1448.719970703125,979.2071533203124,5876.63525390625,3200.327880859375,5431.64794921875,564.5457153320312,299.9495544433594,419.3624267578125,287.3410339355469,418.6124877929688,1157.970703125,866.074951171875,2457.57373046875,1683.5965576171875,773.5143432617188,1065.7933349609375,9823.8359375,1788.30224609375,604.3568115234375,627.4522705078125,2606.9765625,300.312744140625,144.48521423339844,4078.536376953125,1032.5927734375,1049.7449951171875,67.06348419189453,1837.193603515625,731.5726318359375,3669.6904296875
