Date,005930,005380,012330,005490,000660,035420,000270,055550,015760,032830,051910,009540,017670,105560,096770,086790,023530,000810,066570,003550,033780,034220,010140,086280,051900,010950,030200,011170,139480,006400,004020,034730,000720,042660,035250,024110,088350,036460,010130,090430,001800,009150,036570,078930,021240,011210,002380,047050,032640,010060,029780,018880,005830,069960,034020,002790,097950,016360,001040,000210,030000,009830,138930,047040,000880,000150,006800,047810,012450,012750,011780,004990,028050,008770,006260,004800,004170,052690,000670,000120,071050,060980,007070,000240,000100,005940,011200,010120,001740,005300,003490,073240,012630,011070,000080,006360,004370,006280,003240,001680,120110,007310,002350,108670,001120,011790,006120,004000,093050,069260,003620,001430,128940,069620,005180,001230,020000,105630,103140,097230,003920,004490,007860,034120,044820,029530,000070,000640,002960,082740,006650,017800,019680,003300,000430,002240,003030,004150,084870,007570,008000,033920,005850,003000,079980,004130,005740,007340,008060,009680,010690,010780,014830,020150,020760,025540,064960,003570,000140,093370,003520,004710,006380,007690,007810,009580,013570,016800,025000,025860,033530,078520,000990,000700,001440,001630,002020,004430,104700,005690,005950,009420,077970,005090
2014-01-15,25980,231000,280000,310000,36650,138600,51800,43950,35100,100500,269000,153100,51473,40000,124073,41700,394000,246500,68700,67026,74900,24746,25645,114250,549000,69700,31000,202369,261500,158500,79200,130000,57400,319831,33000,12350,7180,68300,322000,97700,42786,69100,223500,53200,64900,174000,553393,40550,11050,179612,34900,7210,54500,149500,28419,46600,265500,42956,102609,112799,27900,22859,14469,6400,33595,148446,8686,28850,58315,77600,87800,76400,69300,74400,83900,45894,240500,68500,107263,108000,39650,51194,33316,22100,26735,9470,73776,13900,8040,154100,20649,12450,13438,86400,21950,33761,268000,129000,1303000,36650,51200,369000,15650,146500,28850,30450,34932,42600,31400,22650,118122,24850,94778,76700,196640,3047,31300,19200,26350,62983,92900,53900,6440,40800,41380,62700,77993,123480,438000,6529,74300,27221,7240,20880,6740,20108,180024,7470,24600,25650,10750,17503,16750,5859,10400,16100,46589,9758,21855,11550,11050,15900,51730,10515,10588,40700,13550,11408,11750,3445,1770,19990,5990,39596,12500,4730,10850,30900,68667,7040,14700,21027,7830,7626,92610,41600,16150,9450,5160,3775,5528,4640,36040,48000
2014-01-16,26020,233000,281500,311500,36550,144000,51500,43700,35450,100000,270500,150815,51023,39500,124073,41400,391000,245000,69100,67026,75200,24652,25645,114250,555000,69800,30700,201410,265000,156500,79300,128500,58700,319831,33400,12700,7160,68500,322500,98000,43277,71000,228000,53100,64700,172500,547723,40150,11150,184678,34850,7120,55700,150000,28379,46550,267000,42956,106522,114298,27550,23020,14469,6400,33729,147346,8736,29700,59093,75900,87000,76280,69400,74400,85100,45638,234000,67300,106609,108000,40000,49826,33316,22250,26938,9620,74079,13820,8270,154600,20649,12600,13630,86700,21800,33621,269500,128000,1331000,36100,51300,371500,15650,151500,29600,31000,35235,44050,31500,22650,119656,24850,93693,75500,200342,2982,30700,19250,26700,64802,93900,54800,6334,41450,42986,61300,78325,123480,412000,6521,74400,28737,7330,20904,6710,20163,182562,7623,24150,25500,10850,17503,16750,5838,10400,16150,47574,9781,21800,11450,10950,15950,51636,10467,10787,40450,13425,11359,11800,3570,1780,19465,5980,39221,12900,4800,10650,31050,69778,7090,14950,21317,7780,7676,93027,43100,16200,9220,5160,3795,5731,4490,35840,47750
2014-01-17,25840,228500,283500,311500,36000,143000,50300,43200,34750,99600,270000,150162,50347,39100,123599,40350,388500,243000,68400,66587,74700,24606,25202,114000,565000,69800,30700,201889,253000,157500,79800,128500,59100,321569,33600,12500,7120,67000,324500,98400,43719,70100,217000,53000,66000,171500,538651,40350,11000,185138,34850,7070,54800,150000,28696,46450,266500,42663,103478,112935,27100,22698,14469,6180,33595,144597,8667,29800,58760,76700,86200,75000,68700,76800,83900,45254,231500,68700,108383,106000,40050,50021,32815,21850,26464,9580,73474,13780,8020,154500,20187,12900,13465,86700,22100,32453,273000,132000,1338000,36000,51400,375000,15100,146500,30450,30900,34388,44000,31900,23050,121957,24800,95502,76000,200342,3060,29950,19200,26800,62301,93800,54700,6165,42050,43063,61900,78215,120181,402500,6536,74000,28549,7390,21256,6790,20358,181293,7654,24750,25500,10750,17359,16950,5796,10400,16250,48634,9591,21555,11550,10650,15800,52861,10369,10906,40200,13425,11699,11700,3490,1715,19684,6080,39071,12950,4790,10550,30450,69778,7090,14950,21426,7810,7844,93027,43450,16150,9110,5200,3855,5663,4350,35840,47700
2014-01-21,26480,236000,292500,309500,36400,140000,51400,43900,33950,101500,273000,154405,49784,39250,123126,40500,380000,245000,69600,67574,73900,25167,26309,114750,565000,69900,30850,208123,252500,155000,79400,132500,59500,323307,33700,12600,7210,68300,333500,104000,43179,70400,210500,53400,66700,172000,546589,40150,10700,188362,34700,7110,55100,147000,29329,47550,265500,42663,103043,113208,27200,23128,14469,6240,33058,146247,8726,30100,59870,75400,86900,74240,71900,77000,83200,44358,222000,67100,110717,108000,40350,49630,32502,21550,26532,9550,74079,13700,8330,158500,20464,12850,13823,88400,20900,34648,272000,132000,1346000,36100,52900,382500,15200,154500,30550,31700,34026,44450,29400,22450,123491,24550,100204,73700,200124,3086,29100,19400,27250,59800,93700,54200,6883,42050,41763,61900,77993,119710,413000,6600,73300,28612,7270,20317,6810,20191,185312,7439,25250,26750,10700,17551,17300,5754,10350,16900,49392,9686,21473,11400,11100,15950,53991,10905,11304,40300,13150,11699,11600,3470,1725,20209,6070,39296,13100,4770,10550,30650,71111,7080,15000,21209,7700,7601,90946,44200,16000,9260,5200,3755,5686,4220,34240,48000
2014-01-22,26560,236500,292000,310500,36300,140800,53100,44350,34800,102000,276000,155058,49333,38700,124546,40800,382000,248500,69600,67245,73600,25214,26457,115000,562000,70100,30850,207644,253000,156500,79700,132500,59300,318962,33200,12300,7390,68700,332000,103900,43081,70500,216500,53400,65700,174500,547723,41200,10600,190665,35450,7310,54400,148000,29052,46850,267000,42566,102174,109666,27550,23074,14749,6240,32611,147896,8726,30750,60537,74500,87500,73440,72300,77100,82800,44230,227000,69200,109317,108000,40650,49435,33378,22100,26464,9420,72567,13580,8400,160900,20711,12900,13878,88600,22300,34228,268500,132500,1311000,35800,52200,383000,15300,152500,31000,32150,34751,44100,29750,22550,122417,24550,98757,74700,204697,3099,29000,19450,27700,61846,92200,53600,6862,42000,41992,61600,77219,118767,413500,6560,77800,28706,7190,21162,6810,20080,180447,7439,25000,26600,10650,17455,17500,5796,10200,16900,48255,9639,21719,11350,11050,16050,53897,10905,11304,40500,13525,11602,11650,3415,1750,19946,6050,39446,13000,5020,10500,30400,71667,7120,15150,21136,7610,7626,89072,43650,15950,9210,5120,3785,5641,4220,34640,48250
2014-01-23,25980,232000,292000,305000,35400,140000,53300,43350,34300,101500,272000,154079,48545,37800,125020,39850,377000,246000,69600,66368,73700,25120,26162,112250,563000,70400,30400,206685,245500,153000,80300,132000,58600,313747,34000,12250,7110,69300,325500,103700,43474,70500,213500,53000,64600,170500,550558,40450,10350,184678,36100,7370,52800,145500,28854,47100,263500,42517,102609,114706,27250,22645,14562,6170,32611,145697,8657,31750,60204,74500,87600,72040,71700,77200,83500,44230,223000,67300,108757,107000,40450,48849,32564,21650,25652,9410,70148,13500,8350,156500,20649,12650,13933,89300,22050,33901,268500,134000,1330000,35150,52000,375000,15150,154500,30450,32100,34630,43900,28700,22400,122724,24100,96225,74400,200995,3073,28350,19250,27200,60482,92200,53200,6925,41300,41610,61900,75449,116882,414500,6576,76700,29115,7160,20716,6630,19941,175793,7409,24950,26050,10600,17359,17100,5775,10200,16950,47346,9663,21418,11100,10850,16150,55122,11051,11145,39850,13425,11650,11850,3415,1745,19596,5940,38546,13200,5010,10700,30250,71111,7120,14900,20302,8180,7601,88864,42200,16650,9160,5200,3715,5955,4095,33920,47650
2014-01-24,26140,228000,292500,304500,35900,135800,52700,44200,33950,101500,268500,150162,47869,37800,124073,40550,369000,246000,69800,66697,74800,25027,25977,111500,491000,69900,30200,201889,244000,150500,79300,131000,58400,312444,34300,12350,7170,68800,331000,103000,42393,69300,206500,53100,65000,168000,545455,40450,10300,177309,35650,7400,53000,143500,28538,47750,264500,42615,103478,110892,27350,22269,14796,6100,33013,145147,8647,31700,59870,74900,88000,72640,71700,75000,83600,43910,218000,67600,107356,107000,39700,48653,31813,21850,25991,9340,73776,13360,8440,157200,20834,13100,13548,88900,21750,31099,270500,132000,1339000,35350,52000,372000,15400,153500,30800,31850,34207,43100,29200,22350,120576,24300,99119,72000,200995,3125,28400,20000,26450,60482,91000,54000,6735,40300,41151,62300,74453,119710,412500,6473,76900,28580,7310,21068,6780,19886,176004,7378,25200,26400,10600,17551,17150,5713,10150,16600,48180,9591,21609,11300,11150,16300,55782,10856,11105,41000,13700,11602,11700,3400,1705,19509,5850,38246,12750,5010,10400,31100,71000,7210,14850,19940,7550,7601,88656,44650,16650,9080,5250,3620,5686,4115,34200,47800
2014-01-27,25840,223500,294000,299000,35250,131800,53500,44400,33400,99700,262000,146571,46292,36850,121705,40200,367500,241500,68900,65161,75300,24465,25276,108500,456000,68600,29850,196135,247000,143000,75700,125500,57800,299407,33600,12200,6970,67200,340000,102400,42196,67900,196500,52200,64000,162500,519373,39650,10200,171322,35250,7540,51900,142000,27825,45600,260000,42420,102174,109666,26450,21518,14236,5930,32476,140749,8557,30950,58760,73100,87100,72720,70200,75500,80800,43333,219000,66700,109223,106000,39500,48067,31687,21750,25381,9210,84661,13160,8130,157200,20279,13100,13438,86000,21250,30119,269000,129500,1350000,35300,50800,373500,14950,153500,30200,31300,33724,41450,28600,22700,123031,23900,96948,70500,197293,3073,27950,20050,25600,59800,88500,52900,6545,39650,41916,62800,72904,118296,399000,6157,73800,30058,7200,20904,6620,19580,171350,7225,24600,25700,10500,17455,17000,5650,10150,16150,49013,9615,21064,11000,10850,16350,56253,10418,10588,41000,13750,11456,11550,3330,1675,18721,5550,38396,12150,5000,10300,30800,71222,7500,14850,19287,7190,7374,84494,43900,16050,8800,5140,3550,5506,4020,32400,46800
2014-01-28,25660,230500,304500,297500,36800,135400,54200,44250,34000,99500,260000,144939,47982,35900,121231,39800,371500,242500,66200,63296,74800,23670,24464,112250,464500,68500,31200,199971,259000,145500,75500,124000,57100,295931,34350,12300,6950,65800,338000,102200,42049,66900,198500,51900,65000,159500,541486,39800,10500,173164,34700,7660,51300,143500,28182,47050,260000,42371,102174,106396,26850,21357,14422,6450,32208,141298,8508,31350,58982,75800,86700,71800,67200,78400,82000,42949,226000,65300,110810,103000,38950,47481,31374,22050,26397,9080,82847,13020,8070,158700,20279,13300,13603,83500,20900,30025,270500,130500,1380000,35600,50000,385500,15100,152500,29500,30950,34872,40650,28850,22950,123184,23500,100566,73400,192938,3099,27600,19200,25750,58435,87300,54000,7052,40300,41839,61300,74343,120181,395000,6228,77200,28706,7290,20904,6590,19664,169446,7225,25300,25800,10450,17696,17300,5692,10000,16100,48710,9591,21036,11100,11250,16350,56535,10272,10827,41250,13750,11262,11450,3340,1660,19334,5460,38246,11950,4885,10500,30850,72111,7360,16000,19106,7380,7332,84494,44750,16350,9070,5210,3540,5438,3995,28880,46500
2014-01-29,25600,234500,310000,298500,37850,135000,54000,45650,35300,103500,260000,146571,48770,37200,120284,40900,378000,248000,66100,63077,75700,23717,24870,114000,478000,68600,30800,202848,260000,143500,76400,125000,58400,299842,33850,12500,7320,66600,348000,101200,42884,66700,198500,51300,69400,161500,552259,41450,10950,175006,34850,7860,53800,144000,29013,47450,265500,42371,103478,112799,28000,21464,14796,6820,32297,150095,8547,32000,58871,77800,88200,74400,71700,78000,84100,43333,228500,67800,113424,107000,39450,47676,31750,21200,26397,9140,85568,13340,8430,162000,21790,13850,13356,85000,21400,31426,273500,131000,1404000,35400,50200,394000,14800,156000,29750,31050,35416,40900,29300,23050,126559,23650,101651,74200,197075,3164,28750,20350,26300,61164,87400,54100,7031,40550,41916,62200,75891,120181,379000,6394,76000,28769,7400,21186,6800,19719,173466,7439,25500,25650,10600,17937,17300,5796,10250,16050,50073,9639,21200,11400,11050,16500,56535,10418,10906,41400,13825,11650,11500,3375,1675,19552,5610,38621,12100,5060,10550,30850,73000,7460,16450,19468,7450,7584,85535,45400,16150,9550,5330,3630,5528,4000,30880,47350
