2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
EXPN.L,EXPN.L,FRES.L,FRES.L,EXPN.L,DLG.L,FRES.L,GKN.L,FRES.L,GLEN.L,GLEN.L,EXPN.L,ECM.L,EDV.L,EXPN.L,ECM.L
FRES.L,FRES.L,GFS.L,GFS.L,EZJ.L,EXPN.L,GKN.L,GLEN.L,GLEN.L,GSK.L,GSK.L,FRES.L,EDV.L,EXPN.L,EZJ.L,EDV.L
GFS.L,GFS.L,GKN.L,GKN.L,FRES.L,EZJ.L,GLEN.L,GSK.L,GSK.L,HIK.L,GVC.L,GLEN.L,EXPN.L,FCIT.L,FCIT.L,EXPN.L
GKN.L,GKN.L,GLEN.L,GLEN.L,GFS.L,FRES.L,GSK.L,HL.L,GVC.L,HL.L,HIK.L,GSK.L,FCIT.L,FRAS.L,FRES.L,EZJ.L
GSK.L,GLEN.L,GSK.L,GSK.L,GKN.L,GKN.L,HIK.L,HLMA.L,HIK.L,HLMA.L,HL.L,GVC.L,FRAS.L,FRES.L,GAW.L,FCIT.L
HMSO.L,GSK.L,HL.L,HL.L,GLEN.L,GLEN.L,HL.L,HMSO.L,HL.L,HSBA.L,HLMA.L,HIK.L,FRES.L,GLEN.L,GLEN.L,FRES.L
HSBA.L,HL.L,HMSO.L,HMSO.L,GSK.L,GSK.L,HMSO.L,HSBA.L,HLMA.L,IAG.L,HSBA.L,HL.L,GLEN.L,GSK.L,GSK.L,GAW.L
IAG.L,HMSO.L,HSBA.L,HSBA.L,HL.L,HIK.L,HSBA.L,IAG.L,HSBA.L,IHG.L,IAG.L,HLMA.L,GSK.L,GVC.L,GVC.L,GLEN.L
IAP.L,HSBA.L,IAG.L,IAG.L,HMSO.L,HL.L,IAG.L,IHG.L,HSX.L,III.L,ICP.L,HSBA.L,GVC.L,HIK.L,HIK.L,GSK.L
IHG.L,IAG.L,IHG.L,IHG.L,HSBA.L,HMSO.L,IHG.L,III.L,IAG.L,IMT.L,IHG.L,IAG.L,HL.L,HLMA.L,HL.L,GVC.L
III.L,IAP.L,IMI.L,IMI.L,IAG.L,HSBA.L,III.L,IMT.L,IHG.L,INF.L,III.L,ICP.L,HLMA.L,HLN.L,HLMA.L,HIK.L
IMI.L,IHG.L,IMT.L,IMT.L,IHG.L,IAG.L,IMT.L,INF.L,III.L,ITRK.L,IMT.L,IHG.L,HLN.L,HSBA.L,HLN.L,HL.L
IMT.L,IMI.L,ITRK.L,ITRK.L,III.L,IHG.L,INF.L,ITRK.L,IMT.L,ITV.L,INF.L,III.L,HSBA.L,HWDN.L,HSBA.L,HLMA.L
INVP.L,IMT.L,ITV.L,ITV.L,IMT.L,III.L,INTU.L,ITV.L,INF.L,JD.L,ITRK.L,IMT.L,HSV.L,IAG.L,HSX.L,HLN.L
IPR.L,IPR.L,JMAT.L,JMAT.L,INTU.L,IMT.L,ITRK.L,JE.L,ITRK.L,JE.L,JD.L,INF.L,IAG.L,ICP.L,HWDN.L,HSBA.L
ISAT.L,ITRK.L,KGF.L,KGF.L,ITRK.L,INTU.L,ITV.L,JMAT.L,ITV.L,JMAT.L,JET.L,ITRK.L,IHG.L,IHG.L,IAG.L,HSX.L
