2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BAC,BAC,BA,AZO,AVY,AVY,AVY,ARNC,ARNC,ATO,AVY,AWK,AWK,AXP,AXP,AXON
BALL,BALL,BAC,BA,AXP,AXP,AWK,ATVI,ATVI,ATVI,AWK,AXP,AXP,AZO,AZO,AXP
BAX,BAX,BALL,BAC,AZO,AZO,AXP,AVB,AVB,AVB,AXP,AZO,AZO,BA,BA,AZO
BBBY,BBBY,BAX,BALL,BA,BA,AYI,AVGO,AVGO,AVGO,AZO,BA,BA,BAC,BAC,BA
BBWI,BBWI,BBBY,BAX,BAC,BAC,AZO,AVY,AVY,AVY,BA,BAC,BAC,BALL,BALL,BAC
BBY,BBY,BBWI,BBBY,BALL,BALL,BA,AWK,AWK,AWK,BAC,BALL,BALL,BAX,BAX,BALL
BCR,BCR,BBY,BBWI,BAX,BAX,BAC,AXP,AXP,AXP,BALL,BAX,BAX,BBWI,BBY,BAX
BDX,BDX,BCR,BBY,BBBY,BBBY,BALL,AYI,AZO,AZO,BAX,BBWI,BBWI,BBY,BDX,BBY
BEAM,BEAM,BDX,BCR,BBWI,BBWI,BAX,AZO,BA,BA,BBWI,BBY,BBY,BDX,BEN,BDX
BEN,BEN,BEAM,BDX,BBY,BBY,BBBY,BA,BAC,BAC,BBY,BDX,BDX,BEN,BF.B,BEN
BF.B,BF.B,BEN,BEAM,BCR,BCR,BBWI,BAC,BALL,BALL,BDX,BEN,BEN,BF.B,BG,BF.B
BHI,BHI,BF.B,BEN,BDX,BDX,BBY,BALL,BAX,BAX,BEN,BF.B,BF.B,BG,BIIB,BG
BIG,BIG,BHI,BF.B,BEN,BEN,BCR,BAX,BBWI,BBWI,BF.B,BIIB,BIIB,BIIB,BKNG,BIIB
BIIB,BIIB,BIG,BHI,BF.B,BF.B,BDX,BBWI,BBY,BBY,BIIB,BIO,BIO,BIO,BKR,BKNG
BKNG,BKNG,BIIB,BIIB,BHI,BHI,BEN,BBY,BDX,BDX,BIO,BKNG,BKNG,BKNG,BLDR,BKR
BMC,BLK,BKNG,BKNG,BIIB,BIIB,BF.B,BCR,BEN,BEN,BKNG,BKR,BKR,BKR,BLK,BLDR
BMS,BMC,BLK,BLK,BKNG,BKNG,BHI,BDX,BF.B,BF.B,BKR,BLK,BLK,BLDR,BMY,BLK
BMY,BMS,BMC,BMS,BLK,BLK,BIIB,BEN,BHF,BIIB,BLK,BMY,BMY,BLK,BNY,BMY
BNY,BMY,BMS,BMY,BMY,BMY,BKNG,BF.B,BIIB,BKNG,BMY,BNY,BNY,BMY,BR,BNY
BRCM,BNY,BMY,BNY,BNY,BNY,BLK,BHF,BKNG,BKR,BNY,BR,BR,BNY,BRK.B,BR
BRK.B,BRCM,BNY,BRCM,BRCM,BRCM,BMY,BIIB,BKR,BLK,BR,BRK.B,BRK.B,BR,BRO,BRK.B
BSX,BRK.B,BRCM,BRK.B,BRK.B,BRK.B,BNY,BKNG,BLK,BMY,BRK.B,BRO,BRO,BRK.B,BSX,BRO
BTU,BSX,BRK.B,BSX,BSX,BSX,BRK.B,BKR,BMY,BNY,BSX,BSX,BSX,BRO,BWA,BSX
BXP,BTU,BSX,BTU,BWA,BWA,BSX,BLK,BNY,BR,BWA,BWA,BWA,BSX,BX,BX
C,BWA,BTU,BWA,BXP,BXLT,BWA,BMY,BR,BRK.B,BXP,BXP,BXP,BWA,BXP,BXP
CA,BXP,BWA,BXP,C,BXP,BXP,BNY,BRK.B,BSX,C,C,C,BX,C,C
CAG,C,BXP,C,CA,C,C,BRK.B,BSX,BWA,CAG,CAG,CAG,BXP,CAG,CAG
CAH,CA,C,CA,CAG,CA,CA,BSX,BWA,BXP,CAH,CAH,CAH,C,CAH,CAH
